SNP,Chr,Pos,Effect,SE,ERG11_ORM2_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0624087350843028,0.0945597469410023,0.509688957261994
2,1,1035,0.0194857487814371,0.0956475619714136,0.83868621146973
3,1,1074,0.227963859140282,0.161191140729756,0.158171180264643
4,1,1470,-0.121760471955067,0.160934602420739,0.449804044909301
5,1,1475,0.0293219790653412,0.118872779212591,0.805309412692975
6,1,1491,-0.0477802680975095,0.103961153489822,0.646088195039742
7,1,21249,-0.129766222377314,0.596975286250185,0.828043369986355
8,1,27243,-0.0109649030925578,0.0814431200969186,0.892979055519318
9,1,27272,-0.0226884790254376,0.0802129993468551,0.777455394175628
10,1,27498,0.295496776960182,0.732402109746125,0.686852302860772
11,1,27561,-0.191051426162894,0.553342311380337,0.730098501403475
12,1,27816,0.134743975531832,0.081544243105416,0.099341496999799
13,1,27822,0.138550244355966,0.081421707174266,0.089703817226859
14,1,27823,0.10925285830934,0.0832360710980464,0.190181888744368
15,1,27825,0.121733168192597,0.0814978184744353,0.136147727145707
16,1,27843,0.151934594954377,0.0779054281394928,0.0519382292957822
17,1,27848,0.151934594954377,0.0779054281394928,0.0519382292957822
18,1,28495,0.189036165365516,0.077676361551276,0.0154434744819141
19,1,28975,0.163251161682057,0.077314994038955,0.0354311196721873
20,1,29283,-0.352024571974341,0.173347923338524,0.0430304651523878
21,1,29752,-0.26154793534079,0.181246178182087,0.149892165943969
22,1,29787,-0.0774006779536078,0.491859357008881,0.875048399168991
23,1,30057,0.302295503596292,0.158670361303419,0.057569103679805
24,1,30479,0.262602731111269,0.467097956214206,0.574336194011243
25,1,30706,0.138409476133431,0.0800113776416577,0.0845271486094318
26,1,31435,0.160914332726433,0.0771214732228975,0.037650152913061
27,1,35128,-0.0649227060594315,0.10689413163756,0.544005698106699
28,1,35129,-0.0496732082123139,0.107191248783981,0.643358026584473
29,1,36146,0.0880002747861136,0.0770532412991599,0.254198569875169
30,1,37255,0.0453863486088135,0.155795190969772,0.770977237263377
31,1,37409,0.14125774514453,0.0772478366734022,0.0682986313867283
32,1,37478,0.138087800549358,0.0773310918717073,0.0750110733051437
33,1,39144,0.0587342975975669,0.0772618801061695,0.447643892169709
34,1,41499,0.0114684374621406,0.0771081987652746,0.881850233811332
35,1,45359,-0.200768480913736,0.12937735534459,0.121604845227617
36,1,45634,-0.0579422468429471,0.119201738683428,0.627208092257844
37,1,51248,0.0849950902859202,0.0773065834808497,0.272319012085215
38,1,51462,0.0939912442783064,0.0773823027593542,0.225317252695868
39,1,52124,0.059864808297112,0.0773732545047391,0.439617482747189
40,1,52667,0.0544708134867937,0.0772603503774849,0.481256904571536
41,1,55470,-0.00274915576491588,0.0794186491949074,0.972405510305178
42,1,59265,-0.00486320169632223,0.0772752901330742,0.949855106750273
43,1,60165,-0.000365793116394876,0.0772173264263393,0.996222959627683
44,1,62308,0.0708450535609235,0.0770401840930875,0.358417241130611
45,1,62869,0.0401099194074148,0.0770931662132057,0.603195598059985
46,1,65431,0.0660329493470231,0.0804702812969822,0.412434749990359
47,1,65451,0.0587523992174778,0.0793433073873983,0.459498984963093
48,1,65719,0.0441990310454585,0.0827711771956784,0.593684139312912
49,1,66841,0.0305332887093727,0.0771419502456625,0.692486860739457
50,1,66948,0.0492974702831378,0.0775882474894072,0.525596884067213
51,1,68621,0.0859681656783058,0.0772869651751855,0.266755696937523
52,1,69417,0.0936415111021268,0.0770563123780897,0.225088719124579
53,1,69820,-0.271130148934689,0.301808955641482,0.369611186899195
54,1,69821,-0.0509278158732771,0.187455103779445,0.786026844322938
55,1,70906,0.0378321619072794,0.124024275438366,0.76051670918991
56,1,74327,0.073159314117421,0.0775441600682788,0.346094213681637
57,1,74572,0.0448375749540804,0.0773983738130246,0.56275018760576
58,1,75211,0.0669792720557635,0.0772117443418076,0.386271009619679
59,1,76030,0.0694316651258354,0.0772056071673585,0.36910135929076
60,1,80108,-0.000889209106649747,0.0772757091488985,0.990825470969399
61,1,81262,-0.0552525167292101,0.0771905109992866,0.474591670774406
62,1,81999,-0.0779268113724982,0.0773239980697298,0.31424273540212
63,1,82431,-0.0817221453692082,0.0776800323946756,0.293502919959263
64,1,83284,-0.0965954669950049,0.0770642567078532,0.210874950928266
65,1,83613,-0.0863116259344486,0.0770902952823833,0.263638113706321
66,1,84112,-0.0891887789568018,0.0770895440965297,0.248074927977941
67,1,84701,-0.0582619641070804,0.0826477218036108,0.48131033250844
68,1,84858,-0.0355122795344537,0.0774304793319227,0.64677898868417
69,1,85751,-0.0614768878707512,0.0777030363787436,0.429371725466278
70,1,87445,-0.0235885141457594,0.0779261910693246,0.762294286232938
71,1,87467,-0.061711050745625,0.0782754224615047,0.431001538843188
72,1,89070,-0.0241119762302162,0.077843393658493,0.756933992954528
73,1,89616,0.0315752191525878,0.0774169175905158,0.683624141316691
74,1,89679,0.0127458674856663,0.0774419910688863,0.869364055297856
75,1,89880,0.0244658984502277,0.0774536394238672,0.752281812770005
76,1,91472,0.00854124362314129,0.0780382637967834,0.912908220249968
77,1,93789,-0.0287010009205105,0.0772204547572364,0.71035698437098
78,1,94351,0.00355443937635401,0.0774386022389034,0.963415831631952
