SNP,Chr,Pos,Effect,SE,HUG1_ADE17_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0477572389959565,0.162661711280368,0.769237239258123
2,1,1035,-0.0659572800311166,0.164423821492741,0.688558380961193
3,1,1074,-0.00457470846130459,0.277927902001383,0.986876668625978
4,1,1470,-0.0147588031451198,0.276926035899523,0.957526925096433
5,1,1475,0.1259775622318,0.204291509022414,0.537859209109629
6,1,1491,-0.034411718660549,0.178789689054906,0.847484449396008
7,1,21249,-0.480356309961853,1.02615964264573,0.639994318335476
8,1,27243,-0.0957351646819922,0.139940078651703,0.494351146242379
9,1,27272,-0.0131930330119059,0.137928052898788,0.923851592695891
10,1,27498,-1.17297698365815,1.25799760566236,0.351758914467895
11,1,27561,1.55356950388514,0.94795013548907,0.102130705859151
12,1,27816,0.02785359535258,0.140736465542313,0.843226946388676
13,1,27822,0.0311014646511715,0.140555645319698,0.825006175669053
14,1,27823,0.0390613859359574,0.143445671727827,0.785544510617469
15,1,27825,0.0315249694448816,0.140555378041562,0.822662504544298
16,1,27843,0.0330874096887497,0.134654855677197,0.80604168446423
17,1,27848,0.0330874096887497,0.134654855677197,0.80604168446423
18,1,28495,0.0500383096687579,0.134642213967465,0.710384553360933
19,1,28975,0.0828841842313426,0.133695607640108,0.535692685214354
20,1,29283,-0.398713868651817,0.299029562192447,0.18327368314665
21,1,29752,-0.195208694103769,0.312370667256254,0.53242306284252
22,1,29787,1.82132059095792,0.840133814772853,0.0308345547332433
23,1,30057,-0.0602083647179859,0.27419013525601,0.826320375069514
24,1,30479,0.331752054138414,0.803270238627555,0.679856043798163
25,1,30706,0.00325456304397977,0.138149310213593,0.981218244972681
26,1,31435,0.101383595485027,0.133304782512809,0.447439665734866
27,1,35128,0.376732801558733,0.182787904077086,0.0400314509874586
28,1,35129,0.132115387452088,0.184221159011918,0.473751842986581
29,1,36146,0.0656966830231831,0.132679946723501,0.620801205233431
30,1,37255,0.138785077708581,0.267796786637927,0.604610106916889
31,1,37409,0.158232030888145,0.133177622722802,0.235581837231042
32,1,37478,0.147522070303642,0.133327358249178,0.269278713802034
33,1,39144,0.0424631018049452,0.132929686822074,0.749581598727253
34,1,41499,-0.0466657849398099,0.132556860161732,0.725015685708361
35,1,45359,-0.10319191652596,0.22313480680603,0.644033212532549
36,1,45634,-0.26665213336308,0.20452624768017,0.193166684999527
37,1,51248,-0.0892985517497709,0.133059591040306,0.502584902561914
38,1,51462,-0.0933061016862306,0.133232471271456,0.484185335183815
39,1,52124,-0.0524821227723542,0.133115145274072,0.693626356560583
40,1,52667,-0.122752751492154,0.132770413597965,0.355832131883959
41,1,55470,-0.116694389729512,0.136407348904821,0.392863189240002
42,1,59265,0.0298162685125961,0.132854529872497,0.822554177166312
43,1,60165,-0.0134133035969015,0.132761687186459,0.919581671208492
44,1,62308,0.0353505346278306,0.132604247933886,0.789943019607345
45,1,62869,0.0355614792810833,0.132587430138336,0.788693153720854
46,1,65431,0.124524264738782,0.138329782216167,0.368628315565796
47,1,65451,0.103587133394008,0.136413445305022,0.448143054424369
48,1,65719,0.202004928227677,0.141963525597648,0.155638007919321
49,1,66841,0.13587132407058,0.132466180367023,0.305732648589973
50,1,66948,0.117402690797841,0.133331258066798,0.379169243684723
51,1,68621,-0.0288574128344558,0.133107149008912,0.828490722836427
52,1,69417,-0.00427000090493151,0.132763412175683,0.974360652523416
53,1,69820,-0.590984064701323,0.518554902193686,0.255194448565332
54,1,69821,-0.386773304287538,0.321676578996072,0.23002727492296
55,1,70906,-0.0297357905975835,0.213263355570134,0.889188101095336
56,1,74327,0.112809509478591,0.133358433887054,0.39817483446601
57,1,74572,0.119539258564567,0.132986017220991,0.369326157261162
