SNP,Chr,Pos,Effect,SE,ERG11_HYR1_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0454473825137544,0.0765362908884713,0.553025039805236
2,1,1035,0.0109989611403983,0.0774100113931909,0.887092295749119
3,1,1074,-0.123705617547123,0.130655415813946,0.344384194214187
4,1,1470,-0.0606572270210346,0.13031011809432,0.6418722001978
5,1,1475,-0.0935578554609393,0.0960832097614426,0.330863831077397
6,1,1491,-0.15757805930962,0.0837420961786102,0.0606984534060924
7,1,21249,0.160968459356617,0.483089108292294,0.739176185605879
8,1,27243,0.0101751808777312,0.0659114717968584,0.877401122416996
9,1,27272,-0.04807824803888,0.0648733729863359,0.459119999187213
10,1,27498,0.424797325061258,0.592439186119381,0.473829065605013
11,1,27561,0.320888803997903,0.447570385220389,0.473874619916344
12,1,27816,-0.0279319061272625,0.0662318982571261,0.673479604812749
13,1,27822,-0.0243954424224666,0.0661516400215003,0.712512334611859
14,1,27823,-0.03101295951953,0.0675070480246267,0.646227370779267
15,1,27825,-0.0358605108122724,0.0661368462175641,0.588011261103454
16,1,27843,-0.0137488497392874,0.0633834776006853,0.828399618929438
17,1,27848,-0.0137488497392874,0.0633834776006853,0.828399618929438
18,1,28495,0.00478790553715702,0.0633882158532936,0.939833387012704
19,1,28975,-0.0318400063590743,0.0629422009588219,0.613269955229116
20,1,29283,-0.296989379622884,0.140219582103955,0.0348709104140514
21,1,29752,-0.00654603220030903,0.147114330156669,0.964534021304114
22,1,29787,0.0930031435294685,0.398045489334224,0.815392506198189
23,1,30057,0.01599784451668,0.129067792724875,0.901426075789479
24,1,30479,0.327289966474852,0.377790675240723,0.386899735816418
25,1,30706,-0.0236238752674157,0.0650150210448423,0.716553280318242
26,1,31435,0.00578660703303283,0.0627974312493647,0.92663336409279
27,1,35128,-0.0691402873247753,0.0864764600729329,0.424522412181087
28,1,35129,-0.0750052771915865,0.0866844985541162,0.387479645078932
29,1,36146,-0.00909070098044329,0.0624724989421588,0.884387133950606
30,1,37255,-0.0748953520244013,0.12603734819165,0.55273797703193
31,1,37409,0.0328267378740187,0.0627878579981188,0.601427615157897
32,1,37478,0.026623114310863,0.0628501868887513,0.672118146525542
33,1,39144,-0.00749872153718581,0.0625780115537405,0.904686005971978
34,1,41499,-0.0107027694828304,0.0624031032768388,0.863920875813225
35,1,45359,-0.228502731085927,0.104355454706653,0.029203133068852
36,1,45634,-0.0258108072617803,0.0964925968385325,0.789248108511828
37,1,51248,0.0871492034348444,0.0624994414642269,0.164073880298761
38,1,51462,0.0826256488574819,0.0626020365241982,0.187738510921719
39,1,52124,0.0792690538508079,0.0625291547972641,0.205735843798108
40,1,52667,0.00978418182011067,0.062568724554568,0.875826864929096
41,1,55470,0.0179143695140304,0.0642666343432733,0.780599372376327
42,1,59265,0.0448958573621133,0.062493657933934,0.47298182986923
