SNP,Chr,Pos,Effect,SE,ERG11_MID2_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.201419429382882,0.139984272701559,0.151072897457396
2,1,1035,0.269464598535112,0.141203575900259,0.0571580602123359
3,1,1074,0.294725133045945,0.239338328279683,0.218986924541505
4,1,1470,-0.278816533235124,0.23852691559331,0.243228576220751
5,1,1475,-0.0283330311767971,0.176392039039141,0.872480376264573
6,1,1491,-0.0421141329332984,0.154287296721137,0.785044212992507
7,1,21249,-0.669463572059411,0.885133573092821,0.449948713066124
8,1,27243,-0.0767808173200506,0.120779187806829,0.525375854088886
9,1,27272,-0.0553754678456317,0.118996942868697,0.641966338901971
10,1,27498,-0.0771896984176736,1.08698013169557,0.943427639023416
11,1,27561,0.703962399800312,0.820332049973561,0.391395658207509
12,1,27816,0.0482148487900671,0.121435180796426,0.69157654357485
13,1,27822,0.0369724996942463,0.121291956733046,0.760681093164951
14,1,27823,0.0232444874931005,0.12380041910837,0.851174440230925
15,1,27825,0.0507454370755281,0.121277847495742,0.675892339284723
16,1,27843,0.0472429746131636,0.11618985868546,0.684547073799077
17,1,27848,0.0472429746131636,0.11618985868546,0.684547073799077
18,1,28495,0.0571643817278281,0.116179112503773,0.622999275327298
19,1,28975,0.0738321840061077,0.115375185013056,0.522632420335385
20,1,29283,-0.218526109900552,0.258449935328875,0.398390033291758
21,1,29752,-0.10380126909498,0.269668342370964,0.700527040759529
22,1,29787,1.38506203232688,0.726113285237954,0.0572670084442735
23,1,30057,0.037968819937884,0.236633588626447,0.872615187768074
24,1,30479,1.25034689763221,0.69018861528167,0.0708974847353612
25,1,30706,0.0346351433728929,0.119208680958726,0.771572143595677
26,1,31435,0.078341910273579,0.115060698464225,0.496397194343592
27,1,35128,0.271489021123391,0.158032987214358,0.0866869905326482
28,1,35129,0.114310980335722,0.15898223950105,0.47260595343033
29,1,36146,0.0361646679214636,0.114526362253008,0.752359207534391
30,1,37255,0.0272752872137652,0.231191943284307,0.906153135731581
