SNP,Chr,Pos,Effect,SE,ALO1_UIP4_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0565336597035167,0.197821587677512,0.77521345175423
2,1,1035,0.137501212678049,0.199874934544173,0.491944716655811
3,1,1074,0.144451315095321,0.337913461915793,0.669290247060987
4,1,1470,0.271181250286723,0.336474295036196,0.420814623582382
5,1,1475,0.371170405667666,0.247795747293934,0.135055867376595
6,1,1491,0.269174546318264,0.21697321510037,0.215581579617065
7,1,21249,-0.950499197316013,1.24732126454699,0.446549516115661
8,1,27243,-0.0329149870416445,0.170291276482639,0.846845844333798
9,1,27272,0.048240718185431,0.167723111789785,0.773805513919426
10,1,27498,-1.64230751241732,1.52929496607498,0.283601720872992
11,1,27561,1.61816009949542,1.15401352213561,0.161733681640303
12,1,27816,-0.0674554369470799,0.17112786584417,0.693685069944658
13,1,27822,-0.0645401203792261,0.170913462037984,0.705940808076676
14,1,27823,-0.0922113335424786,0.174400094447796,0.597321971669207
15,1,27825,-0.0589423638019235,0.170919190408706,0.730408642126775
16,1,27843,-0.0613633404793254,0.163741340516679,0.708065660082345
17,1,27848,-0.0613633404793254,0.163741340516679,0.708065660082345
18,1,28495,-0.0635254593593013,0.163741657043509,0.698278367733391
19,1,28975,-0.0707175325519494,0.16263826125488,0.663962511666853
20,1,29283,-0.439584663865474,0.363826587285646,0.227769205758006
21,1,29752,-0.172057203033668,0.379987950138311,0.650973468479026
22,1,29787,3.10747661501956,1.01511835379074,0.00237349871045226
23,1,30057,-0.292234447844312,0.333114956696042,0.380932272110419
24,1,30479,1.56223902100571,0.973585261522523,0.109470656077583
25,1,30706,-0.0998413210462159,0.167925742973427,0.55252092593618
26,1,31435,-0.100083383494827,0.162163319851554,0.537516221529918
27,1,35128,0.376565208543155,0.222730265965156,0.0917809913665173
28,1,35129,-0.0456362715366634,0.224189738830258,0.838813921853195
29,1,36146,-0.236859331375945,0.160921095983438,0.141939551760452
30,1,37255,-0.465335018054944,0.324860991667089,0.152910658112416
31,1,37409,-0.158636153503474,0.162067106863968,0.328334302172367
32,1,37478,-0.180997585563424,0.162140471853063,0.265052554107264
33,1,39144,-0.0897907050665599,0.161614568173567,0.578846202051007
34,1,41499,-0.0672899427343696,0.161196952634271,0.676610887963865
35,1,45359,-0.38387561626226,0.270676568347632,0.157012297173687
36,1,45634,-0.356142926510792,0.248610227656435,0.152875624997722
37,1,51248,-0.222462963206886,0.161489538139183,0.169209177951773
38,1,51462,-0.205465947978274,0.161773392538588,0.204890916681479
39,1,52124,-0.146403257025106,0.161735429869135,0.365975702902316
