SNP,Chr,Pos,Effect,SE,SRO9_DHH1_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.178907665335555,0.181801642015925,0.325749353914172
2,1,1035,0.11787263642552,0.183935506928264,0.522044538090907
3,1,1074,0.327913376027086,0.31052873424114,0.291697684914424
4,1,1470,-0.04036618753954,0.309891345767666,0.896435583313252
5,1,1475,0.0680534127194194,0.228709392904575,0.766218562154161
6,1,1491,0.00836800188987574,0.200086841686407,0.966664361096525
7,1,21249,-2.05927286210006,1.14345219528996,0.0725679077660958
8,1,27243,-0.185987019300861,0.156392499407515,0.235147570580236
9,1,27272,-0.0977324728335924,0.154264437574427,0.526792253032097
10,1,27498,-2.16509857945761,1.40479193547072,0.124158283476773
11,1,27561,0.657756072678422,1.06426793064467,0.536950026944834
12,1,27816,-0.0247677492867937,0.157496124059147,0.875130308865363
13,1,27822,-0.0310068424583854,0.157292804775957,0.843840693420034
14,1,27823,-0.0319594161147919,0.160532521553838,0.842311852724334
15,1,27825,-0.0276985828459915,0.157294553663359,0.860321292289826
16,1,27843,-0.046788098601957,0.150679511119923,0.756353366991789
17,1,27848,-0.046788098601957,0.150679511119923,0.756353366991789
18,1,28495,-0.0347978460460402,0.150691146835491,0.817509462831579
19,1,28975,-0.00185182670770612,0.149695135652791,0.9901368864064
20,1,29283,-0.232284964697324,0.335246497104173,0.488841620954777
21,1,29752,-0.083328567829974,0.34972749509921,0.811812159819419
22,1,29787,2.10262544846821,0.939760083010324,0.0258833090113673
23,1,30057,-0.230997803494891,0.306610453136534,0.451716686864879
24,1,30479,2.2755899562962,0.890931820621824,0.0110634900466866
25,1,30706,-0.132688447091721,0.15443644319461,0.390825193654695
26,1,31435,-0.0974912510150359,0.149208355403899,0.513930222109361
27,1,35128,0.211254150603629,0.205470739969376,0.304584599747191
28,1,35129,0.019583805400524,0.206302487599284,0.924426175099087
29,1,36146,-0.209409916300779,0.14810992236177,0.158277921604369
30,1,37255,-0.224352938690155,0.299557424316055,0.454387295818115
31,1,37409,-0.136739119188401,0.149154327682745,0.359892906832351
