SNP,Chr,Pos,Effect,SE,HUG1_ALO1_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.11061215834872,0.069487394906761,0.112317843336565
2,1,1035,0.0572386985643772,0.0704334023502044,0.416958387434685
3,1,1074,0.0553784893191294,0.119102317004132,0.642242717526351
4,1,1470,-0.308102064731989,0.117571635362976,0.00915819267272399
5,1,1475,-0.127836164066143,0.0873557658604652,0.144248628511292
6,1,1491,-0.120696841885101,0.0763757103954756,0.114932848779946
7,1,21249,-0.409710196418184,0.439477401487518,0.351835835558132
8,1,27243,-0.071994846694758,0.0599051257591143,0.230241054023695
9,1,27272,-0.139312866763731,0.0586592943646938,0.0180850927407544
10,1,27498,-0.380429365757839,0.539546902565778,0.481218923486868
11,1,27561,0.224482102967833,0.407723666202453,0.582273891993964
12,1,27816,-0.000408428379347514,0.0603325317496385,0.994602489170417
13,1,27822,-0.00266451216590613,0.0602556883828737,0.964753968653643
14,1,27823,0.000686121374089244,0.0614969852458981,0.991104495675719
15,1,27825,2.26451085306723e-05,0.0602558552614877,0.999700354590375
16,1,27843,0.00468738422613787,0.0577265956017167,0.935329128751008
17,1,27848,0.00468738422613787,0.0577265956017167,0.935329128751008
18,1,28495,0.0316789986262504,0.0577034405903899,0.583354798968099
19,1,28975,0.011852654986591,0.0573387200335439,0.836353237568336
20,1,29283,-0.0472055121027575,0.128482163585993,0.713534080090796
21,1,29752,-0.320000114518444,0.132890290675101,0.0165522638948344
22,1,29787,0.149023128500585,0.362440993750246,0.681200893753101
23,1,30057,0.232912174905233,0.116888978337197,0.0470756926858861
24,1,30479,-0.261476487332259,0.344137966537283,0.447880464384816
25,1,30706,0.00519996676406709,0.0592195583098003,0.930078857911996
26,1,31435,0.0341773384253123,0.0571613262191786,0.550283261886085
27,1,35128,-0.149955256801419,0.0784202180693382,0.0566595333987099
28,1,35129,-0.0885944188069687,0.0788863782109877,0.262173716761593
29,1,36146,0.0260508200419714,0.0568784689145645,0.647228166082877
30,1,37255,0.0415685747119348,0.114818203299638,0.717540119636086
31,1,37409,0.00237234591479873,0.057202852406337,0.966942654011957
32,1,37478,0.00987478898805522,0.0572497532416146,0.863154205626619
33,1,39144,-0.0371120086730292,0.0569566683278556,0.515094059954457
34,1,41499,-0.0533882980177772,0.0567617473810164,0.347569333468898
35,1,45359,-0.147683132702933,0.0953562507663693,0.122337512851205
