SNP,Chr,Pos,Effect,SE,noPPI_reference_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0149757022086175,0.228311667347286,0.947738801743814
2,1,1035,0.0283031781356249,0.23080586873549,0.902471752756611
3,1,1074,0.217159242547333,0.389882691976277,0.577889886076567
4,1,1470,-0.0365714434618916,0.388644463485637,0.925083109746958
5,1,1475,0.246027231056462,0.28656527311784,0.391177931935971
6,1,1491,0.214943108138325,0.25067200479933,0.391768317729712
7,1,21249,-2.07476595311179,1.43635690684531,0.149495481148224
8,1,27243,0.0536586150766757,0.196506243727805,0.784964346433281
9,1,27272,0.0234411512261757,0.193571586117349,0.903682235262976
10,1,27498,-3.2357198548334,1.75928164680745,0.0667213611072792
11,1,27561,2.60294436305091,1.32823273773967,0.0508167896701739
12,1,27816,-0.0805179033828192,0.197478986562662,0.683719834469683
13,1,27822,-0.0952630235436275,0.197209264694293,0.629355769602817
14,1,27823,-0.118715420377038,0.201238690199498,0.55561939126625
15,1,27825,-0.0984465460721687,0.197204835427238,0.617942705144086
16,1,27843,-0.128552453825912,0.188871645937831,0.496549327552628
17,1,27848,-0.128552453825912,0.188871645937831,0.496549327552628
18,1,28495,-0.107639786335327,0.18891174668041,0.569183419758756
19,1,28975,-0.0390005855293739,0.187723775314053,0.835539940783349
20,1,29283,-0.395616529037488,0.420196871614748,0.347091110895048
21,1,29752,-0.409511346491184,0.438092589297468,0.350551081250345
22,1,29787,3.16537020049886,1.1748783581946,0.00739266001622863
23,1,30057,-0.407066044365297,0.384224021777666,0.290119384100987
24,1,30479,1.09114605679245,1.12611359471061,0.333234302369606
25,1,30706,-0.201808939027245,0.193586009760725,0.297904053868542
26,1,31435,-0.175546713201371,0.187004582502452,0.34851151160208
27,1,35128,0.38071401882867,0.257273124582222,0.1398172085832
28,1,35129,0.13724682497099,0.258627611747672,0.595978728335106
29,1,36146,-0.255481022342974,0.185775388942448,0.169937056391401
30,1,37255,-0.463238201043575,0.375169115425979,0.217746674085893
31,1,37409,-0.231853194442411,0.186872514720709,0.215539622656124
32,1,37478,-0.232547923288242,0.187031414688037,0.214559266684419
33,1,39144,-0.183830539100084,0.186328461627659,0.324517465931603
34,1,41499,-0.215188850804618,0.185714792940339,0.247359289384203
35,1,45359,-0.392901578361629,0.312551310991214,0.209556260507722
36,1,45634,-0.321620061589111,0.287219945098373,0.263573416965162
37,1,51248,-0.0909646638009751,0.186796888334819,0.62658113120782
38,1,51462,-0.0992812469981432,0.187038374981164,0.595886432455219
39,1,52124,-0.0288980049509934,0.186853291361484,0.877180811994177
40,1,52667,-0.107089193705729,0.186473063764868,0.566138871280906
41,1,55470,-0.117793050048591,0.191534653387938,0.538953582393848
42,1,59265,-0.028626154200405,0.186459813718677,0.878072377408565
43,1,60165,-0.107218402846595,0.186237721558995,0.565179906655672
44,1,62308,-0.266713814744212,0.185578057324842,0.151545368886484
45,1,62869,-0.241052871725282,0.185654049044211,0.194998164803325
46,1,65431,-0.265083902130709,0.193846827054707,0.172341312197807
47,1,65451,-0.24590546003724,0.191156203299623,0.19914267953233
48,1,65719,-0.220700517180296,0.199461604725783,0.269271760333968
49,1,66841,-0.229931672444774,0.185781902781978,0.216671036091402
50,1,66948,-0.25559395449639,0.18683256407097,0.172170522660628
51,1,68621,-0.512144414280755,0.184820363255774,0.00588363705123444
52,1,69417,-0.410267412140299,0.185041156353641,0.0272481300696959
53,1,69820,-0.3535130405558,0.728853088979538,0.627958421919036
54,1,69821,-0.658566961999454,0.451015734827102,0.145128300830995
55,1,70906,-0.12269373004183,0.299238315540726,0.682039909948853
56,1,74327,-0.316600916017572,0.18659017328329,0.0906213474942991
57,1,74572,-0.28137405461811,0.186249620642335,0.131750277470805
58,1,75211,-0.197572525691584,0.186213455185727,0.289415151933277
59,1,76030,-0.15499240640947,0.186327610761386,0.406068737827492
60,1,80108,-0.245212940400302,0.186008723813525,0.188262226364211
61,1,81262,-0.255759276397323,0.185897805151056,0.169754050403955
62,1,81999,-0.332455836090171,0.186011008656647,0.074748269119758
63,1,82431,-0.380004098030671,0.186642574860618,0.042496630414744
64,1,83284,-0.177044232436157,0.186130755031544,0.34216276817677
65,1,83613,-0.187229058696449,0.186081953690137,0.315025629915441
66,1,84112,-0.217376409859192,0.18600965904117,0.243341455779411
67,1,84701,-0.142916444739737,0.199423957755407,0.474066224053694
68,1,84858,-0.0875210909734039,0.186837060333835,0.639762385714089
69,1,85751,-0.213981046177366,0.187317396764684,0.254084971893946
70,1,87445,-0.231218739849723,0.187656919051027,0.21871856887755
71,1,87467,-0.308168007117479,0.188331624151004,0.102666957271828
72,1,89070,-0.262686895757503,0.187340349762516,0.161737061131825
73,1,89616,-0.195621643776955,0.186560433144991,0.295093520693818
74,1,89679,-0.265454160135896,0.186339543191576,0.15516430653345
75,1,89880,-0.227596203607021,0.186528824402949,0.223216308578922
76,1,91472,-0.215544219435297,0.187959456238241,0.252257883977201
77,1,93789,-0.13642133714624,0.186227632966278,0.464318123890983
78,1,94351,-0.177946565674637,0.186619440858589,0.340975892714185
79,1,99148,-0.108384420108313,0.186279829564776,0.561048137091756
80,1,101281,0.919441683082042,2.0376812292824,0.652108358685705
81,1,106011,0.0126113252986399,0.194230438560971,0.948266722500272
82,1,106800,-0.0264718441264001,0.186615202757005,0.887277389818595
83,1,107970,0.0718592736081986,0.186028318461423,0.699521017192986
84,1,109000,-0.0321436569495353,0.186387693826205,0.863177962391136
85,1,112549,-0.217915198190674,0.18582292796703,0.241705480365198
86,1,112742,-0.206615891078395,0.186586127475198,0.268897214071664
87,1,113050,-0.177610925040092,0.186355869792578,0.341204752268405
88,1,113135,-0.162102558992339,0.185920129989663,0.383859083839459
89,1,114076,-0.0783649546526402,0.186073473982364,0.673901424237846
