SNP,Chr,Pos,Effect,SE,MID2_TPO4_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.148813846396881,0.118059515799822,0.20832212883785
2,1,1035,-0.00162368918584421,0.119619344592868,0.989177674458334
3,1,1074,0.156185802910765,0.201977326104479,0.439871918875135
4,1,1470,0.201839829359645,0.201133667832415,0.316301800587398
5,1,1475,0.284481157091947,0.147896464132627,0.0552192947382846
6,1,1491,0.22465208729376,0.129496972237362,0.0836480711477343
7,1,21249,-1.12863029850545,0.744178631170808,0.130259630711112
8,1,27243,0.298217245616857,0.100607168282639,0.00324111791547513
9,1,27272,0.211128132246505,0.0996906373953472,0.0348877665162856
10,1,27498,1.10578411574357,0.914226314800257,0.227268722233901
11,1,27561,0.435127275202431,0.691713117202671,0.529718321281167
12,1,27816,-0.165230802088713,0.101990571020601,0.106112430454724
13,1,27822,-0.173608102091159,0.101820500778613,0.0890666143435328
14,1,27823,-0.203127752936774,0.103783210607744,0.0511080165959249
15,1,27825,-0.177777929683755,0.101800115993467,0.0816211968448428
16,1,27843,-0.13729189951714,0.0976753624586724,0.160724244196307
17,1,27848,-0.13729189951714,0.0976753624586724,0.160724244196307
18,1,28495,-0.174529139935559,0.097508429184166,0.0743289629594181
19,1,28975,-0.137794797510109,0.0970183521142656,0.156404072451033
20,1,29283,0.2845826949721,0.217516614288113,0.191613911530276
21,1,29752,-0.675540056868031,0.224464028175583,0.00280428476480421
22,1,29787,0.190564839005696,0.615034134595424,0.756862169454293
23,1,30057,-0.183835700767576,0.199203079389203,0.356712739395877
24,1,30479,-0.00418348515563238,0.584392153380547,0.994292280469972
25,1,30706,-0.105938505930016,0.100323352882483,0.291703823835658
26,1,31435,-0.172645667364603,0.0966013267052934,0.0747634044171451
27,1,35128,-0.267783075789527,0.132985020002844,0.044806494154839
28,1,35129,-0.328535940024347,0.132944050343638,0.0139361175232717
29,1,36146,-0.216480191098243,0.0958469499547591,0.0245179169126967
30,1,37255,-0.0715613119369731,0.194816331143473,0.713595183027344
31,1,37409,-0.106365396635761,0.096893735660854,0.273060547561838
32,1,37478,-0.133445973806583,0.0968824138023484,0.169260877212533
33,1,39144,0.00238212315091399,0.0966990484428273,0.980360498996125
34,1,41499,0.0643402465611789,0.0963700847420917,0.504801485669386
35,1,45359,0.103713605343724,0.16225028563524,0.523094482428287
36,1,45634,0.178568279458198,0.148814780584342,0.230968726518118
37,1,51248,0.10034972409568,0.0966939643846083,0.300070026989953
38,1,51462,0.0982085559126633,0.0968317011088025,0.311172889010023
39,1,52124,0.0423708808470123,0.0968151023291996,0.661909530531643
40,1,52667,0.0732410062613827,0.0966075460770836,0.448879444779263
41,1,55470,0.00873478137478689,0.0993163094528111,0.929966991898545
42,1,59265,0.0597743586835938,0.0965850031698342,0.536395725955175
43,1,60165,0.121004968870131,0.0963493463814572,0.209983485172752
44,1,62308,0.033237341126282,0.0964419380370309,0.730573447328636
45,1,62869,0.0826612557514174,0.0963456450739705,0.391493569793348
46,1,65431,0.145111440348716,0.100431743023891,0.149379719128178
47,1,65451,0.161358029602318,0.0989279574333056,0.103768209384884
48,1,65719,0.158329693604197,0.103208074518433,0.125905117366767
49,1,66841,0.118420709331218,0.0962854257472141,0.219556459194895
50,1,66948,0.0867081399114407,0.0969739281704032,0.371856910139333
51,1,68621,0.0549261151203616,0.0967765334682536,0.570697173810165
