SNP,Chr,Pos,Effect,SE,ALO1_HYR1_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0897973764969745,0.0846921529798209,0.289742252102418
2,1,1035,0.0885806042746489,0.08562520331815,0.301603400039441
3,1,1074,-0.0846228437561862,0.144849742937036,0.559451368586029
4,1,1470,-0.480051516015516,0.142119367906603,0.000812172876519442
5,1,1475,-0.163288436326633,0.106225961037716,0.125145035683168
6,1,1491,-0.128360907231632,0.0929803782297276,0.168301312683187
7,1,21249,0.138833592464259,0.53518453530552,0.79546815558589
8,1,27243,0.109214265899762,0.0727854352761809,0.134379795167416
9,1,27272,0.0417837888740771,0.0718862399762765,0.561443741058298
10,1,27498,-1.58015939032056,0.651356547843805,0.0157688358752306
11,1,27561,-0.297475549997412,0.495913004806577,0.548988186911569
12,1,27816,-0.0418120037542381,0.0733544098533081,0.569040372804981
13,1,27822,-0.046313556744499,0.0732534230433218,0.52764100668359
14,1,27823,-0.0532963982590601,0.0747507982691355,0.476324429478888
15,1,27825,-0.0514580152310575,0.073243696725126,0.482793671452118
16,1,27843,-0.0760044262625726,0.0701023427501254,0.279019439456279
17,1,27848,-0.0760044262625726,0.0701023427501254,0.279019439456279
18,1,28495,-0.0223196399233684,0.0702100520647136,0.750750229581108
19,1,28975,-0.0389420700924117,0.0697199181420645,0.576822893096173
20,1,29283,-0.0399409932652794,0.156300409852982,0.798454951187825
21,1,29752,-0.0870749252053464,0.162903317316281,0.593318969231567
22,1,29787,-0.46079470470936,0.440294214865559,0.296018223022713
23,1,30057,0.00599775634426081,0.142980122865995,0.966563721999185
24,1,30479,0.0960576743609822,0.418918461311417,0.818769159416503
25,1,30706,-0.0440274521639282,0.0719970016148645,0.541250414271934
26,1,31435,-0.0208486724636065,0.0695570666584658,0.764555876136661
27,1,35128,-0.0510380970847786,0.0958441976120496,0.594707097910657
28,1,35129,0.0138193841103789,0.0961254107572073,0.885768778963693
29,1,36146,-0.0273676470220542,0.0691918754299088,0.692688745560872
30,1,37255,-0.124239300186829,0.139533548724603,0.373862848631129
31,1,37409,-0.00112602953709268,0.0695813741023493,0.987097607174491
32,1,37478,0.00408078739676748,0.0696408761688646,0.95330578843577
33,1,39144,-0.0869117103491482,0.069168914439148,0.209760528390582
34,1,41499,-0.057511086208902,0.0690633352372274,0.405560256534671
35,1,45359,0.0206229015124757,0.116379045990301,0.859449320086839
36,1,45634,0.0202685699479943,0.10689694775996,0.849724903452578
37,1,51248,-0.00226992234004447,0.0694252855757941,0.973935570700539
