SNP,Chr,Pos,Effect,SE,SSH1_PIS1_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.09518023800137,0.126628728733267,0.452763573370389
2,1,1035,-0.0569249016231221,0.128080607824215,0.65699258640096
3,1,1074,-0.163985704698222,0.216331763311435,0.448939503495877
4,1,1470,-0.243363642891783,0.215338869721041,0.259183426875732
5,1,1475,0.0778654506916432,0.159176192956264,0.625019671353061
6,1,1491,-0.0112600246724543,0.139284372373866,0.935613434693018
7,1,21249,-0.223716628095715,0.799544583123727,0.779790944136418
8,1,27243,0.101057751305158,0.10895380535167,0.354285982996657
9,1,27272,0.0119934301546138,0.107446364361299,0.911186184786523
10,1,27498,0.386304924933331,0.980979087549236,0.693969955556885
11,1,27561,-0.427787167321839,0.740913743478948,0.564052310235418
12,1,27816,-0.0210378409768101,0.109635004798379,0.847938847745039
13,1,27822,-0.0239461688459784,0.109493955867606,0.827011267516797
14,1,27823,0.0132777723655886,0.111754631382211,0.905492017474701
15,1,27825,-0.0238459297409356,0.109494017840003,0.827724066166295
16,1,27843,0.0403493135184614,0.104884012095031,0.70068829446659
17,1,27848,0.0403493135184614,0.104884012095031,0.70068829446659
18,1,28495,0.0492180953993355,0.104874983161532,0.639143134262032
19,1,28975,0.0584246514367275,0.104160039469703,0.575213158106143
20,1,29283,0.238107545463745,0.233187755355299,0.307907293158865
21,1,29752,-0.367396018258498,0.242686861729952,0.130953985304728
22,1,29787,0.464353705699253,0.658348390189069,0.481069261850552
23,1,30057,0.354976757025865,0.212773331117592,0.0961363596944761
24,1,30479,-0.311345347068586,0.62568460281616,0.619070543651457
25,1,30706,0.0478407917416644,0.107589186203506,0.656836747868377
26,1,31435,-0.0117416490602604,0.103928475810074,0.910112083359325
27,1,35128,-0.0916878090129511,0.14316403191777,0.522302823851245
28,1,35129,0.0280712037514683,0.143606239971728,0.845134805527891
29,1,36146,-0.0851852981943612,0.103294988864218,0.410110263347538
30,1,37255,-0.0585974786189976,0.208671514972788,0.779019062690727
31,1,37409,-0.0224427539596188,0.103946622133318,0.829185313735971
32,1,37478,-0.0506088478274926,0.10400797329128,0.626853543519152
33,1,39144,-0.0433880190368526,0.103542324691103,0.675444279646457
34,1,41499,0.035614484320368,0.103263402368773,0.730382689287077
35,1,45359,-0.106140471070872,0.173784346484282,0.541751736137497
36,1,45634,-0.100735209448706,0.159620420395699,0.528388615065081
37,1,51248,0.062065460879709,0.103667791199394,0.549759803668317
38,1,51462,0.0540604324771182,0.103821191374503,0.60289727340013
39,1,52124,0.0467231525812409,0.10369059345663,0.652553311008824
40,1,52667,0.119314467936479,0.103359279200598,0.249130919207305
41,1,55470,0.0743131936310828,0.106298765024881,0.484951505784014
42,1,59265,0.00216005029460262,0.10350187951876,0.983361410739517
43,1,60165,0.0063275213965242,0.103423181972962,0.951249779809165
44,1,62308,-0.0863455129010242,0.103207716917899,0.403372881357724
45,1,62869,-0.0225557812054064,0.103290034865978,0.827264490481996
46,1,65431,-0.0245973100833992,0.107875491519911,0.819766021377565
47,1,65451,-0.00851630789367053,0.106352771680654,0.936222162685641
48,1,65719,-0.0303393037443783,0.110895482178561,0.784563820237066
49,1,66841,0.0633145091556304,0.103290737042473,0.540288415911445
50,1,66948,0.0353517432090815,0.103962913444602,0.7340272450131
51,1,68621,0.0664503084057297,0.10363792349181,0.521823400666088
52,1,69417,0.0391386603563625,0.103402749069129,0.705281555957709
53,1,69820,-0.767739729868453,0.402631964315521,0.0573577568618046
54,1,69821,-0.100569299177446,0.251043738204777,0.688953537458664
55,1,70906,-0.0341494653837833,0.166128200724183,0.837252399693504
56,1,74327,0.0268873915260451,0.103982499056622,0.796113010099985
57,1,74572,0.0888471360211259,0.103607624464704,0.391731254434502
58,1,75211,0.0456895595085945,0.103497856121901,0.659154519390178
59,1,76030,0.131399912320743,0.103289921669067,0.20415845153004
60,1,80108,0.0507373778527488,0.103466708169071,0.624173968006135
61,1,81262,-0.0913327753337241,0.103348552040274,0.377440535009098
62,1,81999,-0.0532981791555739,0.103676683146095,0.607517249847517
63,1,82431,-0.0569641629178194,0.104162331135293,0.58480758425587
64,1,83284,-0.0602644725130866,0.103398413534696,0.56037482502412
65,1,83613,-0.0124680129357824,0.103434624779479,0.904123949104301
66,1,84112,0.0226031247228721,0.10344115724972,0.827156553177005
67,1,84701,0.00552273048509944,0.110774618015705,0.960265689139664
68,1,84858,0.0235348438604728,0.103732552440817,0.820648366120527
69,1,85751,-0.0532550749324418,0.104127942504875,0.609363554315569
70,1,87445,-0.0498606303571878,0.104352975743715,0.633082984322562
71,1,87467,-0.0168746740141351,0.104929340443663,0.872327635900399
72,1,89070,-0.0155433108619927,0.104273158543398,0.881588732322621
73,1,89616,-0.0322939928198667,0.103701241694603,0.755669930285072
74,1,89679,-0.0270884131681085,0.103718598809567,0.794112031695478
75,1,89880,-0.0438041869771667,0.103728703376488,0.673066276323512
76,1,91472,-0.0373909124711078,0.104506104441089,0.720716647067011
77,1,93789,-0.0856774231988867,0.10334759487077,0.407652204412208
78,1,94351,-0.0733639867314123,0.103646882349579,0.479520223137488
79,1,99148,-0.0998563946431009,0.103311533810023,0.334427702705009
80,1,101281,-0.908933761528303,1.13034968715148,0.421870407078939
81,1,106011,-0.0859034402620252,0.107715389015368,0.425694567481018
82,1,106800,-0.0788121769964627,0.103502725097505,0.446896568464077
83,1,107970,-0.0689707368007913,0.103215539679177,0.504429548202326
84,1,109000,-0.056444087994978,0.103419189258564,0.585562145181108
85,1,112549,-0.112076551541838,0.103173390572603,0.278090527023884
86,1,112742,-0.100992574235139,0.103608986277852,0.330353133155388
87,1,113050,-0.0936856957386353,0.103453694547726,0.365775364859279
88,1,113135,-0.104222725266224,0.103160950742694,0.313047211581472
89,1,114076,-0.129716219405654,0.10307903180369,0.209073311133856
90,1,114628,-0.12912171962982,0.10334308109294,0.212329377304619
91,1,116283,-0.0623557181803044,0.104094501637695,0.549537180077493
92,1,126880,5.65006094906264,1.93082493381273,0.00365297849338677
93,1,127853,-0.126455431273159,0.103735369497868,0.223650780406214
94,1,128302,-0.163638951160459,0.103187264331771,0.113669956856205
95,1,128704,-0.129207842284227,0.103428887832663,0.212403830747599
96,1,128911,-0.0958934419490517,0.10354302157007,0.355015442520073
97,1,130267,-0.0448735733913125,0.103592067267328,0.665151643784219
98,1,130271,-0.0451513266582933,0.103714741298549,0.66358065285817
99,1,130613,-0.0273809743543977,0.104701906321925,0.793848965316362
100,1,132012,-0.15969274056473,0.104143518835833,0.126075250705643
101,1,133231,-0.191248934732715,0.10324776334227,0.0648130652634148
102,1,137074,-0.10486478610154,0.103450322499398,0.31143314999174
103,1,137304,-0.0883777612440497,0.103529982764948,0.393881090588417
