SNP,Chr,Pos,Effect,SE,ADE17_HYR1_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.341034975971508,0.184681781223688,0.0656407351913733
2,1,1035,0.124084189916776,0.187485499013138,0.508509711449536
3,1,1074,0.68173768723357,0.314950501093027,0.0310891713171558
4,1,1470,-0.360721782558885,0.315308138872792,0.253386613257102
5,1,1475,-0.119156022490406,0.233075517822384,0.60950714221379
6,1,1491,-0.0206265480567822,0.203954000395525,0.919502034218252
7,1,21249,0.544737750751869,1.17054945602958,0.641953997631194
8,1,27243,0.272256797076044,0.15907746609646,0.0878722084380301
9,1,27272,0.0771689585823858,0.157283609474067,0.623988954679944
10,1,27498,0.705891010750801,1.43627861757395,0.623397950832379
11,1,27561,-0.12060635587454,1.0854182912783,0.911588228932642
12,1,27816,0.00641401923847784,0.160547303482937,0.968154806827566
13,1,27822,-0.0236985353578499,0.160338655089661,0.882582622782701
14,1,27823,0.0156043435016727,0.163644241878716,0.92408673745897
15,1,27825,-0.00885202000181173,0.160342924168894,0.956004942548609
16,1,27843,-0.0411938279895651,0.153598926400449,0.788709061788729
17,1,27848,-0.0411938279895651,0.153598926400449,0.788709061788729
18,1,28495,0.0447495193778928,0.153598595961461,0.770961894621018
19,1,28975,0.0294274438034899,0.152582180548129,0.847177243098932
20,1,29283,0.166371638305094,0.341847672618451,0.626784636055296
21,1,29752,-0.172580397221104,0.356401415670215,0.628522657083366
22,1,29787,0.601933538298432,0.96417103050825,0.532832781484011
23,1,30057,0.0959468685010769,0.312749670380339,0.759188005460874
24,1,30479,0.0182882989982094,0.916515039968165,0.98409120432689
25,1,30706,-0.0259871248626319,0.157581633116345,0.869107529180773
26,1,31435,-0.0122661169150662,0.152184534918727,0.935805515442426
27,1,35128,-0.0231890196612605,0.209754204218196,0.912033407403839
28,1,35129,-0.0796272497041377,0.210252277780693,0.705121684935213
29,1,36146,-0.0471714670159146,0.15138038175233,0.755521760188339
30,1,37255,0.0213934791059156,0.305591144170538,0.944227834130512
31,1,37409,0.0880307110497559,0.152147678841686,0.563236652736118
32,1,37478,0.0864749990463634,0.152281120239673,0.570488172462107
33,1,39144,0.203501770145749,0.151268161723426,0.179390411895446
34,1,41499,0.180614174208239,0.150928951722965,0.23223305407342
35,1,45359,0.217824448097238,0.254343941243999,0.392348203817842
36,1,45634,-0.0152675378473317,0.233863690011958,0.947984902429148
37,1,51248,0.0793357254758897,0.151819800619594,0.601604748878749
38,1,51462,0.0277140899229657,0.152077306695773,0.855501458978771
39,1,52124,-0.026856511168404,0.151871784970793,0.859738045488215
40,1,52667,0.031746026042917,0.151625691689079,0.834279387206444
41,1,55470,-0.0438049971761663,0.155744280468552,0.778674004290559
42,1,59265,0.0424095468092896,0.151541799584457,0.779753594991391
43,1,60165,0.0321250699322768,0.151434428971613,0.832121434724139
44,1,62308,-0.0483476407338644,0.151255638281409,0.749428890483969
45,1,62869,-0.116817906417791,0.151130682917507,0.440063566795643
46,1,65431,-0.16526705518371,0.157729372765449,0.29545283945598
47,1,65451,-0.128852799955326,0.15558343084206,0.408121906858884
48,1,65719,-0.0619856151791458,0.162368719895758,0.702870311381875
49,1,66841,-0.113531613899241,0.151209121130613,0.453258084653231
50,1,66948,-0.103475826712013,0.152158901946602,0.496917853135562
51,1,68621,-0.18020514231073,0.151542848533302,0.235185205177416
