SNP,Chr,Pos,Effect,SE,MID2_RSN1_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0986858722571684,0.064593542134775,0.127458264582501
2,1,1035,0.107237319797345,0.0652666321852797,0.10125987010749
3,1,1074,0.169892651793429,0.110347093707985,0.124548766197046
4,1,1470,-0.123551838884545,0.110122092156913,0.262644900724715
5,1,1475,0.0140779039565793,0.0814230931795379,0.862830560813441
6,1,1491,0.0116335637239948,0.0712247151245721,0.87034732003161
7,1,21249,0.219908740288788,0.408746057593921,0.590910409131976
8,1,27243,-0.0667854831239378,0.0556708948959262,0.231080599276979
9,1,27272,-0.0960221482110843,0.054708310267003,0.0800984080893121
10,1,27498,0.412262669886068,0.501279759547435,0.411392885642927
11,1,27561,-0.121860963270148,0.379009206030566,0.748002809103886
12,1,27816,0.0389196512233969,0.0560294032881283,0.487744729701515
13,1,27822,0.036662678290363,0.0559624124131934,0.512810474332806
14,1,27823,0.0263201339222059,0.0571326567432409,0.645308597652701
15,1,27825,0.0343342509324143,0.0559665963478667,0.539955707119466
16,1,27843,0.059708877199453,0.053552241912534,0.265623899931864
17,1,27848,0.059708877199453,0.053552241912534,0.265623899931864
18,1,28495,0.0763260429953734,0.0534932901248753,0.154511641385302
19,1,28975,0.0698435676047881,0.0531589023301485,0.189745177854959
20,1,29283,-0.0194541212033679,0.119418213621646,0.870684493431536
21,1,29752,-0.178674967035471,0.124142838600066,0.150960390036034
22,1,29787,-0.18485701507412,0.336757310277309,0.583398847728669
23,1,30057,0.213318115648294,0.108643738900133,0.0503768671512344
24,1,30479,0.298058227681396,0.319679183587914,0.351784298146744
25,1,30706,0.0440548274828386,0.0549840075331312,0.423537571951907
26,1,31435,0.0523736892831089,0.0530743814546175,0.324417600306198
27,1,35128,-0.0990181343004854,0.0730634059500852,0.176209024999065
28,1,35129,-0.0899976090141066,0.0732844425014038,0.220243069212355
29,1,36146,0.0368882421420754,0.0528370187075468,0.485542109354691
30,1,37255,0.00175875239074408,0.106721574554892,0.986860911094531
31,1,37409,0.0456299453229858,0.0531038574661834,0.390780992176082
32,1,37478,0.0374309376594834,0.05316774902639,0.481887051834118
33,1,39144,0.0128507261971669,0.0529578566899287,0.808410126156777
34,1,41499,0.0378397410857347,0.0527769538745248,0.473863821716791
35,1,45359,-0.11919550073103,0.0886895498207135,0.179823396630944
36,1,45634,0.0762787240829632,0.081571187104292,0.350366492387386
37,1,51248,0.0483584096432052,0.0529776874828234,0.36196698750823
38,1,51462,0.0469381616640601,0.0530533086988087,0.376901362764839
39,1,52124,0.038830645233722,0.0529998931728769,0.464254978641119
40,1,52667,-0.0121228463151892,0.0529512394597548,0.819045348443899
41,1,55470,0.018652373157793,0.0543872419904845,0.731836500400298
42,1,59265,0.0189178236209972,0.0529188775798012,0.720940711527202
43,1,60165,9.57972317307092e-05,0.052888459298295,0.998555810133215
44,1,62308,-0.0131141769205868,0.0528256825778136,0.804082389842815
45,1,62869,-0.0125091234241676,0.0528194624441952,0.812927662584702
46,1,65431,0.0627140792265426,0.0550679763592431,0.255538633478581
47,1,65451,0.0784564266939889,0.0542262499483487,0.148830579668364
48,1,65719,0.0147989711045037,0.0567098794457317,0.794276058692492
49,1,66841,0.0247025827139764,0.0528321963644965,0.640382897023453
50,1,66948,0.0106802149249504,0.0531698529757675,0.840916109146201
51,1,68621,0.022144492758824,0.0530157451013135,0.676422957525788
52,1,69417,0.0187527787756401,0.0528790405549193,0.723074530962545
53,1,69820,-0.258454299430918,0.206496464520965,0.211538538575159
54,1,69821,-0.0324661351249409,0.128395405733718,0.800523144984743
55,1,70906,-0.034004500958531,0.0849398531982142,0.689151048310217
56,1,74327,-0.0853915357903696,0.0529846653538031,0.107936758309686
57,1,74572,-0.07805985333765,0.0528746762936114,0.140749935758607
58,1,75211,-0.0794711465923597,0.0527717278534276,0.132976420341555
59,1,76030,-0.0383027662632973,0.0529017066037702,0.469522888157138
60,1,80108,-0.0554625966937532,0.0528460715368699,0.294660432955898
61,1,81262,-0.0970483563251819,0.0526556998231519,0.0661564118041537
62,1,81999,-0.0835095159550653,0.0528510838401478,0.114981650088352
63,1,82431,-0.05967267250318,0.0531939903929092,0.262712740686639
64,1,83284,-0.0490300057564715,0.0528365435646557,0.354064268730223
65,1,83613,-0.0289248131677281,0.0528727108000813,0.58467969812595
66,1,84112,-0.0210908203469303,0.0528890371189117,0.690300186639376
67,1,84701,0.000970091590798805,0.0566477062746184,0.986346574927009
68,1,84858,-0.000680419976700208,0.0530502390259344,0.989773894763067
69,1,85751,-0.0362508550073609,0.0532333470791979,0.496330474775951
70,1,87445,-0.0569643145546198,0.0532947353234607,0.285865619270363
71,1,87467,-0.0638786656055677,0.0535525410709273,0.233740113579747
72,1,89070,-0.0537022076570388,0.0532478560204809,0.313889565296201
73,1,89616,-0.0559207004692175,0.0529540770048528,0.291680090159236
74,1,89679,-0.0361615541401041,0.0530094429810497,0.495577606006648
75,1,89880,-0.0527777616045953,0.0529833991335985,0.319874732718563
76,1,91472,-0.0453875441248165,0.0533970321573984,0.39590052435907
77,1,93789,-0.053780338769778,0.0528234494666397,0.309320646272799
78,1,94351,-0.0521463871776335,0.0529675077070097,0.325545172796634
79,1,99148,-0.033785791544696,0.0528703765340386,0.523217413827444
80,1,101281,0.0714069618866029,0.578550883783307,0.901841736799116
81,1,106011,-0.0271938726262635,0.0551137108155044,0.622026967781177
82,1,106800,0.0168195519087841,0.0529647409552659,0.751005491021958
83,1,107970,0.0256980825920982,0.0527976541519277,0.626753349925391
84,1,109000,0.0254126225357478,0.0528911545655582,0.631190721830001
85,1,112549,0.0297002656378838,0.0528249065432696,0.574309479305191
86,1,112742,0.0337513418830187,0.0530240302948938,0.524844103096041
87,1,113050,0.0183371172879512,0.0529562060016636,0.729346509168014
88,1,113135,0.0132998827861423,0.0528255510518472,0.801365450253917
89,1,114076,0.0240679942708894,0.0528147607510598,0.648881724979059
90,1,114628,0.0345555622396681,0.0529320016614993,0.51429125078602
91,1,116283,0.0107258167990023,0.0532554654543239,0.840499381259358
92,1,126880,-2.64136806336981,0.989343580893907,0.0079400357096818
93,1,127853,0.0329918930873476,0.0531303537037712,0.535025829405412
94,1,128302,0.0313089346518758,0.0529289446040012,0.554545540830449
95,1,128704,0.0287902508827697,0.0529857302977404,0.587225893476949
96,1,128911,0.036265836439609,0.0529785985285666,0.494085009387808
97,1,130267,0.0282617339805526,0.0529672659340954,0.593974999610847
98,1,130271,0.0294842112422835,0.0530282962369904,0.57855692999144
99,1,130613,0.0301521890212799,0.0535232206332305,0.573555729228681
100,1,132012,0.0367983113926716,0.0533977083230838,0.491190063727326
101,1,133231,-0.00166911058630376,0.0530543773783711,0.974920172889552
102,1,137074,0.00778135414063182,0.0529773785367861,0.883310039485969
103,1,137304,0.0141385112873832,0.0529920692497839,0.789775643743666
104,1,139686,0.0174605511876759,0.0530589208224323,0.742291492031865
105,1,149562,0.0510003488851872,0.0531188105323738,0.337652777592953
106,1,150447,0.0557309837597545,0.0536962312160281,0.300029927077793
