SNP,Chr,Pos,Effect,SE,PLM2_SNA3_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.117065432881421,0.0837150503771561,0.162876934939332
2,1,1035,0.121814498655563,0.0846169439553316,0.150866967652476
3,1,1074,0.156867783001476,0.143172588178885,0.273976669748233
4,1,1470,-0.265370014846981,0.142199632229115,0.0628453465816122
5,1,1475,-0.159773604322657,0.105131469251672,0.12946883790835
6,1,1491,0.00206964951557898,0.0922634551696971,0.98211606612608
7,1,21249,-0.170276224410551,0.52960353147369,0.748009371196676
8,1,27243,0.0145414009189844,0.0722552945429093,0.840618761806766
9,1,27272,-0.000124768692638555,0.0711742664146069,0.998602297024649
10,1,27498,-0.245129849176098,0.649817219359629,0.70623017093228
11,1,27561,-0.161093711408049,0.490941801411424,0.74300640888846
12,1,27816,0.0147657874624099,0.0726223123199561,0.838999719935967
13,1,27822,0.00792878105543632,0.0725330313609478,0.913016591909636
14,1,27823,0.00324753329650912,0.0740281066841472,0.965033691642105
15,1,27825,-0.00302778157562433,0.07253407997413,0.966727268409883
16,1,27843,0.00432055392509427,0.0694898776899452,0.950458421758982
17,1,27848,0.00432055392509427,0.0694898776899452,0.950458421758982
18,1,28495,0.0436879862838895,0.0694524689923174,0.529733435401858
19,1,28975,0.0167091530447993,0.0690211439089882,0.808852979283467
20,1,29283,-0.0102918735801296,0.154691718623428,0.946992336884097
21,1,29752,-0.198951507119221,0.160929991811255,0.217183433933011
22,1,29787,0.215989609700059,0.436249022684715,0.620833169593529
23,1,30057,0.0494996450916814,0.141472151403008,0.726630155925741
24,1,30479,-0.651669137798014,0.413148571525132,0.115616696786064
25,1,30706,-0.0283354060486695,0.0712716184414616,0.691188007458784
26,1,31435,-0.0113414263767756,0.0688413417621662,0.869237170073569
27,1,35128,-0.0358332598455089,0.0948684821809046,0.705869242334717
28,1,35129,-0.0928110703716216,0.0950023002281017,0.329270357882806
29,1,36146,-0.00550043105375123,0.068488373969392,0.936034710026989
30,1,37255,0.000690313021364908,0.13824049119503,0.996018548083519
31,1,37409,0.0488619403155067,0.0688101820469034,0.478112482012234
32,1,37478,0.0391738823586229,0.0688869576930676,0.569942337224854
33,1,39144,-0.064817113732938,0.0685172155235964,0.344796951856157
34,1,41499,-0.0304372092553031,0.0683945360177537,0.656575174553052
35,1,45359,-0.107161801646199,0.115035118305985,0.352202037593931
36,1,45634,0.0578642683500137,0.105748159334971,0.584594400325818
37,1,51248,-0.091057631106106,0.0685337680444526,0.184820553880645
38,1,51462,-0.0953378002005775,0.0686106965650446,0.165542200683624
39,1,52124,-0.0684208083840275,0.0686083393802841,0.319318209618854
40,1,52667,-0.0729300811667636,0.0684848937722792,0.287645621343896
41,1,55470,0.01460538206811,0.0704572741329963,0.835899657288899
42,1,59265,0.0461299296352641,0.0685162291664051,0.501216004547954
43,1,60165,-0.0163385375968652,0.0685028782452295,0.811624906261417
44,1,62308,-0.0437631503852912,0.0683934007252196,0.522669666323864
45,1,62869,-0.0447684627336278,0.0683829572935054,0.513104767715803
46,1,65431,0.0238994048373163,0.071451206641014,0.738211746501284
47,1,65451,0.0292274496368587,0.0704320719737295,0.678413329066901
48,1,65719,0.025054733730755,0.0734534070696785,0.733233522196752
49,1,66841,-0.0183850927879939,0.0684497121139331,0.788400032983117
50,1,66948,-0.0100422254152145,0.0688747592590395,0.884159225298565
51,1,68621,0.00373413879564255,0.0686899566979193,0.956677328423261
52,1,69417,0.0200796971289084,0.0685000610271661,0.76959197255362
53,1,69820,-0.235344444868074,0.267782637275131,0.380073011112935
54,1,69821,0.0226292663405623,0.166326066939849,0.891856433093616
55,1,70906,-0.0677512545426966,0.109991644135469,0.538313078871115
56,1,74327,-0.039894941086155,0.0688523169738513,0.562670189829179
57,1,74572,-0.0728799293452724,0.0685920628307248,0.288729387915308
58,1,75211,-0.045278840470511,0.0685340618104353,0.509250745236753
59,1,76030,-0.0180354910197375,0.0685697018719128,0.792685376480171
60,1,80108,-0.0273135687965286,0.0685447919362591,0.690519028235806
61,1,81262,-0.108226880485384,0.06829177899516,0.11391361525728
62,1,81999,-0.14166220644233,0.068286656165274,0.0387550555021501
63,1,82431,-0.0987480569939354,0.0688264883135432,0.152246782999811
64,1,83284,-0.1567022486994,0.0680151073543644,0.0218066627508198
65,1,83613,-0.125753375413872,0.0681893247214197,0.0659947350038736
66,1,84112,-0.120309019052658,0.0682247304876043,0.0786943608395112
67,1,84701,-0.125722112421207,0.0730721761926184,0.0862143559638033
68,1,84858,-0.0931890632469731,0.0685387382127415,0.174806835442203
69,1,85751,-0.113270283472704,0.0687365413401047,0.100264926803687
70,1,87445,-0.126977670482057,0.0688152118562423,0.0658461873405225
71,1,87467,-0.15283707699879,0.0690306161492236,0.027464042336038
72,1,89070,-0.108411357189947,0.0688318051176373,0.116147970642614
73,1,89616,-0.116171047024135,0.068422849263791,0.0904192632948528
74,1,89679,-0.0858929019923704,0.0685581034951095,0.21109021371522
75,1,89880,-0.105351416499286,0.0684986444329301,0.12494267670299
76,1,91472,-0.0909052200150816,0.0690686562544571,0.188975234567339
77,1,93789,-0.0858994482334682,0.0683718841612302,0.209817606651997
78,1,94351,-0.0771013518489211,0.0685822552112849,0.261684784372187
79,1,99148,-0.0982590973961234,0.0683247141912932,0.151286110066823
80,1,101281,1.40760272960203,0.745680603084819,0.0598896208761198
81,1,106011,-0.12955692338393,0.0710817753816284,0.0692028215807408
82,1,106800,-0.063264555532832,0.0685343373582436,0.356581749563958
83,1,107970,-0.0989558866349736,0.0682106798990399,0.147740583282678
84,1,109000,-0.0956932209328371,0.0683447692913624,0.162345413801398
85,1,112549,-0.0670011949024512,0.0683637583891827,0.327723304590168
86,1,112742,-0.042312907511982,0.0686865028482516,0.538272107944178
87,1,113050,-0.0702972016402032,0.0685057022334874,0.305523013456712
88,1,113135,-0.0760492022414505,0.0683132417394555,0.266361784176516
