SNP,Chr,Pos,Effect,SE,SSH1_ERV25_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0822859837232169,0.197107345125782,0.676590011850982
2,1,1035,0.296352953099939,0.198687751139734,0.136709924535606
3,1,1074,0.412982835198733,0.336106723308744,0.219993320916823
4,1,1470,0.169149693166313,0.335490983866576,0.614445558659674
5,1,1475,0.246252772966162,0.247369979265195,0.320182970966338
6,1,1491,0.47112988941718,0.215233214096188,0.029256642321747
7,1,21249,-1.48454025342005,1.24149081848203,0.23258807887232
8,1,27243,0.0141872427378797,0.169705983497156,0.933422685358507
9,1,27272,0.0851992712842242,0.167097519270702,0.610455892075476
10,1,27498,0.190614789401371,1.52642688648073,0.900692435620429
11,1,27561,0.390233554169058,1.15300887007953,0.735226813659473
12,1,27816,0.0349271722754576,0.170559758510767,0.83786228912212
13,1,27822,0.0194527714528437,0.170349954722635,0.909149725950086
14,1,27823,0.0308430994642486,0.173854257760844,0.859289841912465
15,1,27825,0.0361308842752269,0.170342246449114,0.83214551216557
16,1,27843,0.0628229348275234,0.163169740110041,0.700457552756804
17,1,27848,0.0628229348275234,0.163169740110041,0.700457552756804
18,1,28495,0.0550331801606624,0.163180352423243,0.736126084928384
19,1,28975,0.100231739360983,0.162027895714464,0.536573644287872
20,1,29283,-0.145177528439421,0.363227234950314,0.689628137382719
21,1,29752,-0.366548840462036,0.378272822932551,0.333205373157519
22,1,29787,2.02589782011195,1.01923715440607,0.0476214632999503
23,1,30057,0.209972414996091,0.332129457840834,0.527665103059696
24,1,30479,1.00820165664573,0.972249509247652,0.300455774420327
25,1,30706,0.0161051719442329,0.167422955157573,0.923420664908075
26,1,31435,-0.00589278236916213,0.16168587081527,0.97094743974164
27,1,35128,0.363977061549699,0.222008388119633,0.102005342020121
28,1,35129,0.190664275657873,0.22319211320522,0.393539848490778
29,1,36146,-0.0477602419183641,0.160832365425099,0.766674255569399
30,1,37255,0.2315868944954,0.324435925227433,0.475813907581301
31,1,37409,0.110894915646552,0.161614415384558,0.493056532055471
32,1,37478,0.0976056475465185,0.1617777923134,0.546675600329056
33,1,39144,0.137702260138855,0.160955787865743,0.39283895590622
34,1,41499,0.148313432435938,0.160481620555958,0.356025439177054
35,1,45359,0.0779313468214333,0.270470195197614,0.773414151249263
36,1,45634,-0.108840890383807,0.248396638964753,0.661528337267953
37,1,51248,-0.0991698363511476,0.161273207811312,0.539004896197037
38,1,51462,-0.108992824877108,0.161474194136915,0.500126500284917
39,1,52124,0.0163210844487918,0.161357222221304,0.919489790350209
40,1,52667,0.00456089593684161,0.161100777200764,0.977430245260196
41,1,55470,-0.080813986951011,0.165429281347315,0.625491423829676
42,1,59265,0.0452270086159258,0.161001693966217,0.778943895248299
43,1,60165,0.058397401088656,0.160867986707735,0.716811374418869
44,1,62308,0.00393229283593255,0.160720921956606,0.98049425803292
45,1,62869,-0.0104884713608988,0.160699902593282,0.94799801168701
46,1,65431,-0.17506627773023,0.167577196906878,0.296880971352164
47,1,65451,-0.102522295812851,0.165366266836905,0.535676845611718
48,1,65719,-0.115059305271266,0.172431514636576,0.505032203364506
49,1,66841,-0.117140461412899,0.160655674676384,0.466399585074374
50,1,66948,-0.152450246782525,0.161559682644194,0.346011459475115
51,1,68621,-0.384320084670296,0.160023019474074,0.0168374054265484
52,1,69417,-0.260286165705348,0.160300488879608,0.105324103043846
53,1,69820,-1.2297232795036,0.626187479907182,0.0503347198498616
54,1,69821,-0.236326814634388,0.390439110828631,0.545378779684324
55,1,70906,0.0161485668582184,0.258462433603478,0.950216461504373
56,1,74327,-0.228524718072793,0.161324743423385,0.157496108139028
57,1,74572,-0.185018604953857,0.161051113722324,0.251408393118201
58,1,75211,-0.26378181132508,0.160444669995726,0.101052590899538
59,1,76030,-0.111874835947413,0.160947659105648,0.487449465526057
60,1,80108,-0.109953434123784,0.160913304055707,0.494860139160338
61,1,81262,-0.0872051145783235,0.160891879918809,0.588153124540756
62,1,81999,-0.178511857339384,0.161071915875492,0.26849792608445
63,1,82431,-0.195668833247675,0.161780837243494,0.2272922733419
64,1,83284,-0.193874172755055,0.160604852232577,0.228182576431012
65,1,83613,-0.159526393560978,0.160694111619437,0.321519939517543
66,1,84112,-0.194609143302127,0.160602334078212,0.226420330804119
67,1,84701,-0.211627568748653,0.171966020092932,0.219278433423619
68,1,84858,-0.183334102771172,0.161094958108058,0.255871452325432
69,1,85751,-0.186448453816616,0.161749440386831,0.249813837640247
70,1,87445,-0.17219525748474,0.162137316069348,0.288946518657005
71,1,87467,-0.214411005707898,0.162846921408426,0.188813009666979
72,1,89070,-0.169868237179122,0.161972446646952,0.295011729864032
73,1,89616,-0.147967576221965,0.161159584266988,0.35917079864107
74,1,89679,-0.155772807177752,0.161159205688547,0.334417192612863
75,1,89880,-0.144901175293137,0.161228867615538,0.369409255613344
76,1,91472,-0.0982485598836702,0.162527252358798,0.545896190180902
77,1,93789,-0.132188533096204,0.160782141399112,0.411541217328656
78,1,94351,-0.125596177890801,0.161221031782546,0.436483392279355
79,1,99148,-0.06674977007664,0.160896786678144,0.678495819950065
80,1,101281,0.249578481079277,1.76006343580817,0.887318209541817
81,1,106011,-0.0545605895381933,0.167700368862649,0.745112216404083
82,1,106800,-0.103177737567809,0.161059494077724,0.522186024143455
