SNP,Chr,Pos,Effect,SE,HNM1_MID2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0298066890929254,0.073265358138369,0.684377971680461
2,1,1035,-0.0032048616548378,0.0740840406967893,0.965518885916287
3,1,1074,0.000844619103162358,0.125197137400792,0.994621072568451
4,1,1470,-0.319731076870754,0.123580095038245,0.0100740644293047
5,1,1475,-0.00870696278526939,0.0920747863643915,0.92471477611749
6,1,1491,0.05242478551775,0.0804945721572157,0.515287255318118
7,1,21249,0.267884819220585,0.462173701633521,0.562541071500786
8,1,27243,0.0649009574624126,0.0629853835501546,0.303521654389703
9,1,27272,0.00810827285027227,0.0621312181374804,0.896243295162569
10,1,27498,0.38067761147822,0.567020797681203,0.502427465307263
11,1,27561,-0.0339046295641841,0.428637071933283,0.936998947697044
12,1,27816,0.0500449534215851,0.0633445459879726,0.430032692506011
13,1,27822,0.0479008366209498,0.0632685967249055,0.449493272572433
14,1,27823,0.0449862287989113,0.0645798264657713,0.486512356787204
15,1,27825,0.0445203245667784,0.0632755909080781,0.482149484254268
16,1,27843,0.0694909598470391,0.0605497760268563,0.251883391828849
17,1,27848,0.0694909598470391,0.0605497760268563,0.251883391828849
18,1,28495,0.112211386593984,0.0603689054212005,0.0638930449486372
19,1,28975,0.0909499236987903,0.0600633611603364,0.130861590720962
20,1,29283,0.157838632291123,0.134779899267398,0.24235476658514
21,1,29752,-0.186791324234193,0.140438748629344,0.184358704606629
22,1,29787,-0.0295411486430552,0.380959537063625,0.938234676721676
23,1,30057,0.358097489969373,0.122042473748426,0.0035627635481449
24,1,30479,-0.137417365947849,0.361859513131426,0.704356869152137
25,1,30706,0.0990506399900258,0.0620079223626794,0.111074237975131
26,1,31435,0.0764077460441691,0.0599607088253312,0.203396462051111
27,1,35128,-0.179863344761074,0.0822786473622513,0.0294699916931467
28,1,35129,-0.0777625809412394,0.0829426163804471,0.349118385471993
29,1,36146,0.0316300028591067,0.0597648638174386,0.596971080670668
30,1,37255,0.117453204354281,0.120517231007342,0.330437972403898
31,1,37409,0.0468442883951714,0.0600601092035797,0.435938961852043
