SNP,Chr,Pos,Effect,SE,HUG1_ADE17_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0642219002194994,0.0659071012179778,0.330510012968375
2,1,1035,0.0311179472740081,0.0666971079857577,0.641105249408517
3,1,1074,-0.125863272005852,0.112548973839628,0.264200267489307
4,1,1470,-0.249776652340169,0.111552764043945,0.0257725236888353
5,1,1475,-0.182247505414436,0.082351065316212,0.0275329756995806
6,1,1491,-0.243583541789998,0.0713660866054451,0.000716731868820686
7,1,21249,-0.321042524580275,0.416064729070774,0.440857655769584
8,1,27243,-0.101320757149874,0.0565511238419751,0.0740428203024315
9,1,27272,-0.125037514317928,0.0555573709868938,0.0250257777111312
10,1,27498,0.481210114838489,0.510322658526578,0.34635000774171
11,1,27561,0.252661226849779,0.385784641227566,0.512940532850748
12,1,27816,0.080525148698103,0.0569352027212684,0.158146507897642
13,1,27822,0.0815682717112554,0.0568582179097817,0.152289072417716
14,1,27823,0.0839057865750475,0.0580266924972679,0.149068372310573
15,1,27825,0.0756006024259093,0.0568815785175551,0.184677446837332
16,1,27843,0.0750275888984526,0.0544844995153169,0.169371049657302
17,1,27848,0.0750275888984526,0.0544844995153169,0.169371049657302
18,1,28495,0.0916385279192291,0.0544133679899003,0.0930428400902126
19,1,28975,0.107824598144632,0.0539620354915979,0.0464664239535322
20,1,29283,-0.0471930239119098,0.12158766769752,0.698146478184105
21,1,29752,-0.279329764129223,0.12591606528299,0.027164658650606
22,1,29787,-0.150809279609626,0.342987826816221,0.660428676869384
23,1,30057,0.249670573782749,0.110442822959739,0.0243905547506286
24,1,30479,-0.275294482898952,0.325615053807267,0.398426787896625
25,1,30706,0.0978141761653796,0.0558012927471546,0.0804869589597148
26,1,31435,0.0894433006286851,0.0539127950762899,0.0979965810634768
27,1,35128,0.0070638007242998,0.0745961777858579,0.924611715658696
28,1,35129,0.0506061457358702,0.0747396365279485,0.498786513568473
29,1,36146,0.0856865177520183,0.0536499976394459,0.111129419813494
30,1,37255,0.141412371990685,0.10841856949292,0.192974714108518
31,1,37409,0.0798058650087359,0.0539677147314538,0.14009341986671
32,1,37478,0.0740765505284951,0.0540375093100932,0.171297108816629
33,1,39144,0.0378441910685227,0.0538962843819136,0.483037759866062
34,1,41499,0.0415949987362041,0.0537387259630282,0.439435384648706
35,1,45359,-0.0699716614470152,0.0904707838829992,0.439793112597161
36,1,45634,-0.0663478586251687,0.0830954986460048,0.425144441323397
37,1,51248,0.073540032142223,0.0538712318884425,0.173088582369151
38,1,51462,0.0644729033302426,0.053977514727591,0.233107850228715
39,1,52124,0.0700958116884069,0.0538842377684271,0.194155138577018
40,1,52667,0.0134655799639392,0.053921913992045,0.802946283575825
41,1,55470,0.0479625769728815,0.055335394307864,0.38666159330714
42,1,59265,0.0215133051134948,0.053887308059909,0.689966864399995
43,1,60165,-0.0164714364144078,0.0538516063049368,0.759886112467986
44,1,62308,0.000178187383484157,0.0537995082009338,0.997359231465275
45,1,62869,-0.0195474404545542,0.0537826898260041,0.71648462575331
46,1,65431,0.0434178942905513,0.0561336220077863,0.439759589850732
47,1,65451,0.0481981210221393,0.0553251239678339,0.384248166945247
48,1,65719,0.00756917304826876,0.0577544340673815,0.895804187771775
49,1,66841,0.0239318278615569,0.053803028250571,0.656733662651589
50,1,66948,0.0192178686036665,0.0541387302887217,0.722820684254485
51,1,68621,0.0453697212562836,0.0539476850065377,0.400920171832952
52,1,69417,0.00109494444465955,0.0538587103797344,0.983791656869775
53,1,69820,0.0482163204871364,0.210735271213552,0.819156526660674
54,1,69821,0.0677200232339557,0.130713080776995,0.604725989882111
55,1,70906,-0.0879904732540657,0.0863909316453756,0.309130741922847
56,1,74327,-0.000447652307254298,0.0541548480012078,0.993409308035206
57,1,74572,0.000730599231300838,0.0540106617633558,0.98921503056622
58,1,75211,0.00978070278849533,0.0539097057271888,0.856136168296309
59,1,76030,0.0572654160697458,0.0538259926847825,0.288101705004908
60,1,80108,-0.0268553216526223,0.0538805159427837,0.618495900817312
61,1,81262,-0.0758556719843297,0.0537276130439597,0.15887313070328
62,1,81999,-0.0693802426350897,0.0538842907025352,0.198736304132372
63,1,82431,-0.0672875244852989,0.0541480418212456,0.214818523242367
