SNP,Chr,Pos,Effect,SE,ERG11_MID2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0663617902837421,0.0694126383936193,0.339702426688837
2,1,1035,0.0469161027313703,0.0702184103132732,0.504477452882758
3,1,1074,0.129265516871873,0.118539685634562,0.276244219019306
4,1,1470,-0.302073999594543,0.117214060228036,0.0103682098033632
5,1,1475,-0.079638386007975,0.0872235250842226,0.361845754867874
6,1,1491,-0.10743930299472,0.0761739844337414,0.159288556418603
7,1,21249,-0.0765721413690883,0.438523287157131,0.861483344260199
8,1,27243,-0.0677907681004355,0.0597173152881272,0.257064024686072
9,1,27272,-0.0869395187545416,0.058745802289795,0.139784528876924
10,1,27498,0.366843490568804,0.537761399412577,0.495580239099792
11,1,27561,0.11691636897031,0.406482930364722,0.773799357268643
12,1,27816,0.0416738534460018,0.0600892506278752,0.488431468548283
13,1,27822,0.037167270331784,0.0600211606676447,0.53616025829686
14,1,27823,0.0334602327619098,0.0612648501725484,0.585302956520522
15,1,27825,0.0420301081519706,0.0600120714943037,0.484163284396059
16,1,27843,0.0503590104791558,0.057471043415369,0.381489943029413
17,1,27848,0.0503590104791558,0.057471043415369,0.381489943029413
18,1,28495,0.0747534976387257,0.0573967070137553,0.19362861018613
19,1,28975,0.0558980170715033,0.0570723652792292,0.32804151389942
20,1,29283,0.0126057107715485,0.128073946292105,0.921650486781161
21,1,29752,-0.266495908869391,0.132772418268802,0.0454942318357538
22,1,29787,-0.235042815041756,0.361095180621245,0.515523851483139
23,1,30057,0.186627443502108,0.116728372153797,0.110755654549732
24,1,30479,-0.255423289811617,0.342994725595973,0.456957178934611
25,1,30706,0.0640397732538444,0.0589230725037962,0.277850430978126
26,1,31435,0.0774367280220165,0.056849233019152,0.174021612470351
27,1,35128,-0.078216130101934,0.0784505589902003,0.319441735262873
28,1,35129,-0.07321922928895,0.0786656482660529,0.352611249044409
29,1,36146,0.0436549582576689,0.0566569099500645,0.441510258210817
30,1,37255,0.0998080425501415,0.114330988238225,0.38327038399898
31,1,37409,0.0787774367528339,0.0568567344263335,0.16676135354233
32,1,37478,0.06865483164109,0.0569430112650503,0.228749911992438
33,1,39144,0.0479095693854931,0.0567424885762561,0.399055057121609
34,1,41499,0.0948763076945292,0.0564166601482595,0.0935100167118039
35,1,45359,-0.0851436226853837,0.0952510140672631,0.37199149532903
36,1,45634,-0.0948522621349803,0.0874442588375952,0.278787333233354
37,1,51248,0.0716121937992897,0.056755460469134,0.207865556821266
38,1,51462,0.0596614146885158,0.0568718541591908,0.294872827811589
39,1,52124,0.05719458285176,0.0568017883512446,0.314665239094296
40,1,52667,0.013093651758538,0.0567878630060782,0.817781428947882
