SNP,Chr,Pos,Effect,SE,PLM2_SNA3_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.191958059891671,0.139001329637309,0.168158731744618
2,1,1035,0.178853257250595,0.140579133913763,0.204118059154847
3,1,1074,0.298649167252494,0.237581738360749,0.209571121075983
4,1,1470,-0.100721349918745,0.237194839898353,0.671361101994729
5,1,1475,0.0270894549717262,0.175113642494797,0.877149056507032
6,1,1491,0.195727946015423,0.152830221376411,0.201143818146382
7,1,21249,-1.19920159881855,0.877108700667318,0.172425946447448
8,1,27243,-0.0822476500932068,0.119892249643045,0.493155179609463
9,1,27272,-0.000109828746998608,0.118170432724973,0.99925896345152
10,1,27498,-1.12174839340974,1.07745419327383,0.298536994137596
11,1,27561,-0.304178125356062,0.815072806902631,0.709230030393109
12,1,27816,-0.0288685171615523,0.120571889018357,0.810911193539035
13,1,27822,-0.0261418544158011,0.120420386067977,0.828264962419864
14,1,27823,-0.0572642219004771,0.122871194343163,0.641466561452705
15,1,27825,-0.0198063577231818,0.120423810104553,0.869453640032065
16,1,27843,-0.0361382015504391,0.115358444022923,0.754261463601526
17,1,27848,-0.0361382015504391,0.115358444022923,0.754261463601526
18,1,28495,0.0028124945478197,0.115376249294275,0.980565891233747
19,1,28975,-0.029318114517819,0.114594497681243,0.798221663407764
20,1,29283,-0.525899262369171,0.255306011924325,0.0401428885137587
21,1,29752,-0.163914425200563,0.267627235136994,0.540619265184265
22,1,29787,1.26703402942618,0.721409282340313,0.0798988869276412
23,1,30057,-0.105840163375138,0.234858987375501,0.652515546274708
24,1,30479,0.0974134604137959,0.688342921340926,0.887540841945219
25,1,30706,-0.0652674510823965,0.118307565505348,0.581519373115253
26,1,31435,-0.0738839973590934,0.114233811812947,0.518195491415615
27,1,35128,0.203676990556329,0.157168276928386,0.195850873239431
28,1,35129,0.154999560120159,0.157729535549631,0.326432059750873
29,1,36146,-0.0799962718651006,0.113632350840081,0.481901849464957
30,1,37255,-0.0527881838649824,0.229503105516893,0.818216635676158
31,1,37409,-0.039998012582098,0.114307094227707,0.726609554166945
32,1,37478,-0.0511580168304609,0.114392795549524,0.654995101660518
33,1,39144,-0.00986072067983459,0.113901836401181,0.931060731418103
34,1,41499,-0.0373982881732405,0.113569661529942,0.742125579140574
35,1,45359,-0.00882621446957099,0.191226522591952,0.963212165710072
36,1,45634,-0.287798856558383,0.174978609452916,0.10090825682601
37,1,51248,-0.17602402648507,0.113685193807784,0.122435021947228
38,1,51462,-0.173263969757985,0.113852392467508,0.128946971323299
39,1,52124,-0.201180248961868,0.113566906152547,0.0773454710438023
40,1,52667,-0.267627837761517,0.11299345725286,0.0183971175995799
41,1,55470,-0.158872635885436,0.116681130258931,0.174193595644826
42,1,59265,-0.0630322807029654,0.113780866939931,0.579943547585051
43,1,60165,-0.0785951462186256,0.113667348894539,0.489738062817188
44,1,62308,-0.0806977148110343,0.113537991958473,0.477705295431028
45,1,62869,-0.064313424276066,0.113553351759403,0.571500908897149
46,1,65431,-0.0297426701805597,0.118638472283216,0.802191882303889
47,1,65451,-0.0264999295159812,0.116958184082807,0.820884521929806
48,1,65719,-0.0105229401760489,0.12197329337999,0.931298717121783
49,1,66841,0.0133443613711416,0.113656255724139,0.906602070634522
50,1,66948,-0.00209395314092858,0.114355956143879,0.985401228195691
51,1,68621,-0.114076585627625,0.113884478092313,0.317180991108844
52,1,69417,-0.0512998191980267,0.113711521784199,0.652165638748461
53,1,69820,0.342835663920562,0.444710698043884,0.44127097715661
54,1,69821,-0.0346129177139272,0.276151791817939,0.900325587675653
55,1,70906,0.0855107751462354,0.182660237742532,0.639972561097253
