SNP,Chr,Pos,Effect,SE,ERG11_ERG5_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.121136902135458,0.106404664413343,0.25570265724296
2,1,1035,0.0204080912996127,0.107760542791613,0.849900935746792
3,1,1074,-0.0380306960424885,0.182105733344877,0.834694736925787
4,1,1470,-0.417673643309129,0.180094291737047,0.0209547719966949
5,1,1475,-0.147328620597105,0.133707774160856,0.27126878240455
6,1,1491,-0.115656384680764,0.116999258354435,0.32357396321001
7,1,21249,-0.492209691046971,0.672106583265682,0.464447792981679
8,1,27243,-0.126982157473009,0.0915096047459362,0.16612276972205
9,1,27272,-0.123142364661759,0.090142876933879,0.172783556499861
10,1,27498,0.182940910258525,0.825281047728879,0.824698152972706
11,1,27561,0.583452522405994,0.622745068862576,0.349448332534196
12,1,27816,-0.00240020922638806,0.0922249540716951,0.979251630308097
13,1,27822,-0.00416258571715367,0.0921075615205445,0.963979298836141
14,1,27823,-0.0245387267035834,0.0939959774346209,0.794197351978232
15,1,27825,0.00161117918318587,0.0921077880570699,0.986053739693383
16,1,27843,-0.00629665331685681,0.0882417587792842,0.943154166151554
17,1,27848,-0.00629665331685681,0.0882417587792842,0.943154166151554
18,1,28495,0.0430509346450725,0.0882140697252787,0.625833006249611
19,1,28975,0.00816585525821492,0.0876528870156368,0.925828284756441
20,1,29283,-0.34546543320145,0.195574481631227,0.0781906953825431
21,1,29752,-0.078313922640425,0.204756883225728,0.702340933476178
22,1,29787,0.145570604249967,0.554110164838199,0.792926915698537
23,1,30057,0.154129967768927,0.179492580572162,0.391089708131427
24,1,30479,0.653777207263433,0.525332245561059,0.214140378385661
25,1,30706,-0.0081960455763079,0.0905236694487137,0.927909175450471
26,1,31435,0.0017378419142727,0.0874216786296736,0.984151253073778
27,1,35128,0.146795084363614,0.12023976604202,0.222956496087694
28,1,35129,0.166217525422474,0.120477523387585,0.16856590694583
29,1,36146,-0.0409681145533606,0.0869436054014533,0.637786625508415
30,1,37255,0.148290805081658,0.175367550530325,0.398348713754483
31,1,37409,0.0241339589415217,0.0874317485625866,0.78268502871316
32,1,37478,-0.00677125743073798,0.0875156098233085,0.938371453320613
33,1,39144,-0.0640462366007711,0.0870502740446912,0.462378441186279
34,1,41499,-0.0227565918357143,0.0868669055867716,0.793496761393463
35,1,45359,-0.212877977743293,0.145817571582585,0.145208981958309
36,1,45634,-0.00935854591902707,0.134340605435037,0.944501477968529
37,1,51248,-0.0254648522900308,0.0872346027169071,0.770525165965817
38,1,51462,-0.0189676622428776,0.0873576030154421,0.828235096267697
39,1,52124,-0.0799964033887497,0.0871411740981716,0.359240825451312
40,1,52667,-0.15684949822016,0.0867043336772405,0.0712991933184929
41,1,55470,-0.186626326531986,0.0889227389073038,0.0365492176643818
42,1,59265,-0.134358634284265,0.0867671713352869,0.122398910766567
43,1,60165,-0.140794690314548,0.0866722227135291,0.105172329089252
44,1,62308,-0.19996365893993,0.0862456925504379,0.0209909586295477
45,1,62869,-0.213689028526983,0.0861413897195585,0.0135786357231084
46,1,65431,-0.140018685385819,0.090440360672087,0.122473057915598
47,1,65451,-0.109381654680774,0.0892705390865172,0.221285599743734
48,1,65719,-0.136218275733667,0.093008226769327,0.143924704178354
49,1,66841,-0.124876901115243,0.0866754724551479,0.150544268321813
50,1,66948,-0.149784328246518,0.0870993477208175,0.086364381961592
51,1,68621,-0.207105333522035,0.0865271786235648,0.0172087597323588
52,1,69417,-0.176502291393558,0.0864868667273235,0.0420143284096244
53,1,69820,-0.472081981368633,0.33948777542283,0.16523146959507
54,1,69821,-0.173347901917831,0.211013539254109,0.411915247154157
55,1,70906,-0.0649732023461569,0.139705439699643,0.642166067484665
