SNP,Chr,Pos,Effect,SE,SSH1_ERG11_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.00216377614084734,0.177594678285797,0.990285865939641
2,1,1035,0.0317179385515191,0.179529650129596,0.85986702028311
3,1,1074,0.0688006014505316,0.303383784798556,0.820728065732005
4,1,1470,-0.123629602110473,0.302241655600206,0.682756724870687
5,1,1475,0.154923840159809,0.222986752353004,0.487658357273167
6,1,1491,0.0908110919767124,0.195129866378932,0.641940626181746
7,1,21249,-0.946103557977598,1.11944411958499,0.398596886345073
8,1,27243,-0.218450288519927,0.152426930889757,0.152700716086371
9,1,27272,-0.0851126892819571,0.150505814831353,0.572085524450819
10,1,27498,-0.532832409345965,1.37471684876376,0.698549889656341
11,1,27561,1.50283513719566,1.03569479023679,0.147656619793037
12,1,27816,0.0272401993068754,0.153639568985079,0.859374931182068
13,1,27822,0.0153712120475659,0.15344894994751,0.920265034830652
14,1,27823,0.0316996263170978,0.156602805141955,0.839704574575245
15,1,27825,0.0339448177720042,0.153440494673776,0.82504543612195
16,1,27843,0.00980074291690721,0.147010415825519,0.946884550370623
17,1,27848,0.00980074291690721,0.147010415825519,0.946884550370623
18,1,28495,0.024752690989804,0.147007818436073,0.866383369596109
19,1,28975,-0.00673931866658739,0.146030578566863,0.963216750082064
20,1,29283,-0.309302368174457,0.326848521448833,0.344634151363421
21,1,29752,0.0947330273665168,0.341157249138122,0.78141948544873
22,1,29787,1.66959803504574,0.91894806914204,0.070086764169837
23,1,30057,0.0424716546204209,0.299337263647207,0.887251290960055
24,1,30479,1.08470803262451,0.875216375145522,0.216035611868645
25,1,30706,-0.0689367668402269,0.150769043037642,0.647783962011933
26,1,31435,-0.0195429707504941,0.145640399172296,0.893331597426795
27,1,35128,0.473847454244575,0.199150648545566,0.0178744616156351
28,1,35129,0.19626425204279,0.200984023783941,0.329477207956552
29,1,36146,-0.0708367380072953,0.144844049989847,0.6251063249366
30,1,37255,0.0793319970632336,0.292426636973164,0.786327690106085
31,1,37409,-0.00135008604889017,0.145676510090616,0.992610787194687
32,1,37478,-0.0154098009931277,0.14579945028623,0.915886948620705
33,1,39144,-0.101706214410741,0.145035439768756,0.483608546245141
