SNP,Chr,Pos,Effect,SE,SRO9_DHH1_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.156152370014979,0.181577191283862,0.3903848953081
2,1,1035,0.129167882960035,0.183627168461139,0.482254817906337
3,1,1074,0.127616883514108,0.310460106423593,0.681279968165615
4,1,1470,0.0188134740592876,0.309414501217784,0.95155013961427
5,1,1475,0.156248397392597,0.228230346513371,0.494040340783122
6,1,1491,0.0768148639873651,0.199733858752074,0.700775687660196
7,1,21249,-1.45295495741549,1.14429389097905,0.205013894579657
8,1,27243,-0.153147821336871,0.156248930365516,0.327681979805637
9,1,27272,-0.0889493779720549,0.154038972789243,0.564005489989672
10,1,27498,-2.431403090439,1.40135252296628,0.0836064567270196
11,1,27561,0.447564926895456,1.06291816609646,0.6739588644843
12,1,27816,-0.00844673497762072,0.157255687181277,0.957193904893071
13,1,27822,-0.00638520488031669,0.157056095214436,0.967593467458507
14,1,27823,-0.0295420718241467,0.160283775537752,0.853875276804883
15,1,27825,-0.00463846521584754,0.157056268872378,0.976455568639507
16,1,27843,-0.0306082481696495,0.150456550967969,0.838911642952568
17,1,27848,-0.0306082481696495,0.150456550967969,0.838911642952568
18,1,28495,-0.0273408098716646,0.150460769917751,0.855911572360453
19,1,28975,-0.027075374027475,0.149455068289115,0.856345467728086
20,1,29283,-0.384034275445606,0.334327632261404,0.251467179334275
21,1,29752,-0.0132989849566663,0.349210149618204,0.969642999322801
22,1,29787,2.33506876126557,0.936717143628669,0.0131308843418076
23,1,30057,-0.310475436632885,0.305932952665596,0.310873374814493
24,1,30479,2.19977220435292,0.890058657649871,0.0139262924448669
25,1,30706,-0.129752006035158,0.154202481700648,0.400671605306009
26,1,31435,-0.0848528229323691,0.148997589463471,0.569385016104554
27,1,35128,0.298275353868593,0.204843389429603,0.14624988636783
28,1,35129,0.0389421220188009,0.205973369300267,0.850151413649859
29,1,36146,-0.23174531851538,0.14778352209032,0.11774429284793
30,1,37255,-0.264672674891964,0.298996725185881,0.376649946579104
31,1,37409,-0.149002470557357,0.148888131516569,0.317624515799647
32,1,37478,-0.141534095658269,0.14903710798313,0.342936398863027
33,1,39144,-0.120580430378938,0.148407700617974,0.417055577016258
34,1,41499,-0.147483988017731,0.147926240221722,0.319442434800018
35,1,45359,-0.164484131270041,0.249234689264894,0.509711908196396
36,1,45634,-0.105832813734378,0.229001439856451,0.644259091683909
37,1,51248,-0.201755313201076,0.14837682734247,0.174777069676136
38,1,51462,-0.188818436853321,0.148627242105225,0.204773135132694
39,1,52124,-0.177205418832339,0.148465613066312,0.233444266567378
40,1,52667,-0.204951757077703,0.148125356256838,0.167343870759837
41,1,55470,-0.0983507208901155,0.152478680884803,0.51933777993849
42,1,59265,0.0447397532287182,0.148432455034343,0.763275612586649
43,1,60165,0.0394589561255519,0.148324506689071,0.790370442281955
44,1,62308,0.044481652124112,0.148157318699398,0.764176493712412
45,1,62869,0.0576379385463405,0.14812585930148,0.697425970830059
46,1,65431,0.0895027889306131,0.154662527726099,0.563162472911793
47,1,65451,0.0711161221002328,0.152494879054735,0.641252013701765
48,1,65719,0.138465986036162,0.158902065568899,0.384132407372531
49,1,66841,0.104875774309114,0.148122307807369,0.479390775876514
