SNP,Chr,Pos,Effect,SE,ALO1_ADE17_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.0538191454573852,0.0761312814482791,0.480079149142208
2,1,1035,-0.0312779936715237,0.0770006173586836,0.684838515606886
3,1,1074,-0.0526505695963895,0.130125860631334,0.686007312281209
4,1,1470,-0.192593481130294,0.129281568749693,0.137190493232616
5,1,1475,-0.0844149832714889,0.0956174526324289,0.377923130657123
6,1,1491,-0.0136019748645573,0.0837299834254962,0.871044082441357
7,1,21249,-0.617523105443864,0.479583413473714,0.198720405974893
8,1,27243,-0.102179405725966,0.0653526528446925,0.118829127474291
9,1,27272,-0.0961727059068788,0.0643905695356723,0.136177731763996
10,1,27498,0.14348195246966,0.589806490502163,0.807937903627824
11,1,27561,-0.015246923914114,0.445618004426809,0.97272485792954
12,1,27816,0.0779321800148576,0.0657810846026952,0.236925104914414
13,1,27822,0.0788846469503127,0.0656939263305355,0.230637580062161
14,1,27823,0.0927481775240453,0.0670022683954578,0.167155067740145
15,1,27825,0.0787577784232929,0.065694357547322,0.231389861654064
16,1,27843,0.0961805803071123,0.0628572863269662,0.126877167259922
17,1,27848,0.0961805803071123,0.0628572863269662,0.126877167259922
18,1,28495,0.133611106238657,0.0626641936882238,0.0336822064412786
19,1,28975,0.0802639718883424,0.0624990226821604,0.199898928376089
20,1,29283,0.238277736820486,0.139816264862343,0.089219874031258
21,1,29752,-0.185559907703576,0.14603312400485,0.204682854452479
22,1,29787,0.0487753163215467,0.396043682912966,0.902053335345751
23,1,30057,0.30679028161749,0.127371930788457,0.0165248437120132
24,1,30479,-0.0976321418251556,0.376233220327637,0.795401530939508
25,1,30706,0.0890124020891137,0.0645228389193829,0.168598885582069
26,1,31435,0.129928379469815,0.0620949904673877,0.0371153252845667
27,1,35128,-0.101298702339873,0.0859456766055802,0.239336857881548
28,1,35129,-0.0306817674567159,0.0863197030225522,0.722469746531027
29,1,36146,0.118161636622034,0.0618377233972306,0.0568356893284468
30,1,37255,0.176119363587537,0.125108512682351,0.160090172947326
31,1,37409,0.099163633934239,0.0622695068066054,0.11216943092116
32,1,37478,0.110513831806095,0.0622693092913671,0.076797252989182
33,1,39144,0.00247036839252852,0.0622609520916699,0.96837254919284
34,1,41499,0.036992791983258,0.0620571656306512,0.551484914564302
35,1,45359,-0.203581301257746,0.103964429677601,0.0509958999884823
36,1,45634,-0.0875819045684052,0.0958984667646027,0.361719986189646
37,1,51248,0.0446346404816441,0.0623073962197596,0.474241603357007
38,1,51462,0.0454242271732215,0.062390393944515,0.467056803071315
39,1,52124,0.0556456358184661,0.0622822897700345,0.372229024062083
40,1,52667,0.00998251863175939,0.0622504735702108,0.872688808700282
41,1,55470,0.0532157167602988,0.0638841402304074,0.405405956974386
42,1,59265,0.012250871457002,0.0622179192002169,0.844017059401813
43,1,60165,0.0241393837372542,0.0621610407310036,0.69800133075167
44,1,62308,0.0601814376409348,0.0620232826416555,0.332559359050869
45,1,62869,0.0412315034299965,0.0620593495364193,0.506875592665699
46,1,65431,0.105157003037063,0.0646133618311415,0.104527239638281
47,1,65451,0.124515097032285,0.0635913203740602,0.0510112731384957
