SNP,Chr,Pos,Effect,SE,SRO9_DHH1_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.0332230489169503,0.105214847408674,0.752368339241211
2,1,1035,-0.0673133738954561,0.106320562677639,0.527067068305074
3,1,1074,-0.161150759419051,0.179571522104702,0.370107425992937
4,1,1470,-0.0615975308098475,0.17909884406478,0.731103429087677
5,1,1475,0.226454718679029,0.131665501228061,0.0863226337469103
6,1,1491,0.154676833976341,0.115361843408476,0.180848470449251
7,1,21249,1.30076422209971,0.660352546127852,0.0496424247241471
8,1,27243,0.0389742849583452,0.090555723033813,0.667174554506495
9,1,27272,0.00456602636170966,0.089218850082123,0.959212771506988
10,1,27498,-0.341247700801094,0.814528006069268,0.675506408740546
11,1,27561,0.728703491697842,0.614281631795054,0.236313742930826
12,1,27816,0.0186344834550453,0.0910342794503792,0.837926498988621
13,1,27822,0.0162358982984455,0.0909198675690014,0.858374877887161
14,1,27823,0.00668239362803086,0.0927961305429574,0.942633494837251
15,1,27825,0.0153088302700987,0.0909203231586143,0.866383659123389
16,1,27843,0.000235891035426505,0.0871082225198795,0.997840842911336
17,1,27848,0.000235891035426505,0.0871082225198795,0.997840842911336
18,1,28495,0.0195812287317758,0.0871033990386784,0.822261503812274
19,1,28975,0.0491771144942563,0.0864877583657236,0.569987798358467
20,1,29283,0.15442797639573,0.193737872655913,0.425930204047067
21,1,29752,-0.392727841975355,0.201083525657827,0.0516024959957083
22,1,29787,-0.137730635355974,0.546992585442524,0.801345150271183
23,1,30057,0.260195979320321,0.176829063374442,0.14205904678308
24,1,30479,0.83363067703441,0.51781913860289,0.108316213196525
25,1,30706,0.0544047784432854,0.0893142859903443,0.542824402231729
26,1,31435,0.0243801814377713,0.0862883472991273,0.777692659825942
27,1,35128,0.156663265969936,0.11865202389494,0.187570641623276
28,1,35129,-0.0145297548586991,0.119246742857394,0.903090207450279
29,1,36146,-0.0127282629579833,0.0858504414894564,0.882221532085142
30,1,37255,0.025380887671882,0.173283542576723,0.883633766045002
31,1,37409,0.00666233944360545,0.0863165817111351,0.93852015776744
32,1,37478,0.0160748353492033,0.0863872751981984,0.852489896405724
33,1,39144,0.0148877405717701,0.0859936347253104,0.862651554904239
34,1,41499,0.0805069819054635,0.0856516318409535,0.347893535048134
35,1,45359,0.043920748867655,0.144358349972525,0.761118180606685
36,1,45634,0.149584905554803,0.132375643812703,0.259242092101933
37,1,51248,0.0496363599040916,0.0860832473190334,0.564571226974267
38,1,51462,0.0555798291548779,0.0861898104847147,0.519440768940488
39,1,52124,0.0608610554115612,0.086062836763064,0.479927416753809
40,1,52667,0.05102186109125,0.0859428588198037,0.553111790587086
