SNP,Chr,Pos,Effect,SE,ALO1_ADE17_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0682030904288664,0.0729722350124203,0.35061049497878
2,1,1035,0.0801019342989293,0.0737386209093509,0.278089493312852
3,1,1074,0.00920647738539948,0.124820226403143,0.941244805841683
4,1,1470,-0.0446312005196514,0.124349001518875,0.719870375155219
5,1,1475,-0.0842814843076711,0.0916897879318465,0.358617324176999
6,1,1491,-0.0267540634010741,0.0802884286617877,0.739162731278795
7,1,21249,-0.384947121369292,0.460549529579821,0.403808605672722
8,1,27243,-0.0430558752689927,0.0628488459270524,0.493749174292504
9,1,27272,-0.0267027905236228,0.0619298310675326,0.666602020973232
10,1,27498,0.397609957492086,0.565282881364616,0.482281208687982
11,1,27561,-0.159091038208203,0.42726979936069,0.709860717409675
12,1,27816,0.00204052164177049,0.0632100435360432,0.974265723344983
13,1,27822,0.00362987014927785,0.0631295034951032,0.954180401944156
14,1,27823,-0.00753161289944265,0.0644288899329159,0.907007306350628
15,1,27825,0.000317677881999989,0.0631297968577892,0.995987793875263
16,1,27843,0.0381479717691219,0.0604463780703982,0.528380713833189
17,1,27848,0.0381479717691219,0.0604463780703982,0.528380713833189
18,1,28495,0.0686535835139569,0.0603709655755263,0.256227942644812
19,1,28975,0.025863651740471,0.0600613916438314,0.667007314844084
20,1,29283,0.05843997627957,0.134600008318193,0.664426522194721
21,1,29752,-0.180327515805315,0.140038909116693,0.198695421783574
22,1,29787,-0.308145615185532,0.379464511028841,0.417307995304665
23,1,30057,0.151944514667374,0.122885043679172,0.217103405122579
24,1,30479,-0.108833090540466,0.360800067071279,0.763101263545503
25,1,30706,0.0211913254514377,0.0620345000596799,0.732851070847667
26,1,31435,0.0547796712299384,0.0598470122928395,0.360644079943927
27,1,35128,-0.195360743781359,0.0819277485419607,0.0176275344634578
28,1,35129,-0.0826362459043817,0.0826795338639372,0.318248573343299
29,1,36146,0.0470871754288231,0.0595563211113598,0.429689195878291
30,1,37255,0.0283256254269126,0.12030742045462,0.814000892794535
31,1,37409,0.017348976493677,0.0599242132017845,0.772357042518249
32,1,37478,0.0259229967118695,0.0599669758872679,0.665796148004292
33,1,39144,-0.0751900061963039,0.0595748644181078,0.207742594022135
34,1,41499,-0.0281971570262038,0.05952459323766,0.636002408369464
35,1,45359,-0.168857279029162,0.0998394846437484,0.0916644892434196
36,1,45634,-0.0621316815260942,0.0920169585099074,0.499978102616323
37,1,51248,0.00738974551794253,0.0597956609982283,0.901715546053758
38,1,51462,0.0103595635312068,0.0598755009424286,0.862736125533285
39,1,52124,0.0109523019599683,0.0597941131056572,0.854772227427719
40,1,52667,-0.0252059562730569,0.0596860462832169,0.673056568506877
41,1,55470,0.0209466608407002,0.0613157040284681,0.732840277343185
42,1,59265,0.0152254208474861,0.0596655011168935,0.798732968306486
43,1,60165,0.0225447995068071,0.0596138372839241,0.7055237172857
44,1,62308,-0.0185758669987015,0.0595521303985564,0.75528080206952
45,1,62869,-0.0139760659774618,0.0595482104774847,0.814576349124194
46,1,65431,0.0599308134031675,0.0621151757524872,0.335288628489863
47,1,65451,0.0761257248979262,0.0611811034519844,0.214226264876785
48,1,65719,0.0517928927825314,0.063880857769428,0.418042160079837
49,1,66841,0.0327594390928515,0.0595554047477746,0.582621565525137
50,1,66948,0.0482781220765093,0.0598914809550242,0.420731747282401
51,1,68621,0.0430508663973954,0.0597402546221278,0.4716115868223
52,1,69417,-0.0179479509471316,0.0596182598036703,0.76355522573385
53,1,69820,0.0872227352399726,0.233271820732663,0.708695534640283
54,1,69821,0.0877556467204839,0.1446894166833,0.544565675403103
55,1,70906,-0.103728992472229,0.0956228170928866,0.278762764654819
56,1,74327,-0.0728933894040119,0.0598280673998707,0.223892826740672
57,1,74572,-0.0464127925955351,0.059743065194391,0.437753786608312
58,1,75211,-0.0430509984018397,0.0596411157541258,0.470874268178768
59,1,76030,-0.00890096722431638,0.0596832358450383,0.881530847126621
60,1,80108,-0.0439876726724426,0.0596250565805621,0.461163765766516
61,1,81262,-0.0337424681039347,0.0596214029050961,0.571790371523314
62,1,81999,-0.047185276592466,0.0597413509601536,0.430159572186455
63,1,82431,-0.0556857668557642,0.0600040108271657,0.354024002246765
64,1,83284,-0.102845005255935,0.0593882587836853,0.0841935353425215
65,1,83613,-0.108550195141231,0.0593528840982917,0.0682588778804708
66,1,84112,-0.0820399575855721,0.0594799293580794,0.16867914324198
