SNP,Chr,Pos,Effect,SE,HNM1_MAM33_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.206242350974729,0.188879975257007,0.275611715396749
2,1,1035,0.0165915362809602,0.191266467035352,0.930922863780997
3,1,1074,0.295595715189384,0.322847188214535,0.36050691212172
4,1,1470,0.137223767401982,0.32198348577627,0.670234531173156
5,1,1475,0.080662784096603,0.237680216340407,0.734528870363944
6,1,1491,0.392675448875173,0.206890365086517,0.0585131978735531
7,1,21249,0.393701073862154,1.19361023219503,0.741716078983581
8,1,27243,0.0814974836633966,0.162800406071336,0.616966354142423
9,1,27272,0.103493439827647,0.160317817844235,0.518989110088301
10,1,27498,0.991609547057348,1.46390084104625,0.49861186786307
11,1,27561,-0.619680881280952,1.10616079435924,0.575692446532303
12,1,27816,-0.0598980678493937,0.163654559069689,0.714582042783644
13,1,27822,-0.068716686051348,0.163436651935812,0.674413712057232
14,1,27823,-0.025199129348085,0.166839464966717,0.880031870643698
15,1,27825,-0.0449131137284644,0.163460091475607,0.783657519422362
16,1,27843,-0.0778272290435932,0.156562217786329,0.619427316828147
17,1,27848,-0.0778272290435932,0.156562217786329,0.619427316828147
18,1,28495,-0.0685090465845673,0.15657709039436,0.66198593003631
19,1,28975,-0.0370178931336505,0.155560154184482,0.812046200402089
20,1,29283,-0.213118353238563,0.348461504111139,0.541197447200278
21,1,29752,0.141301984770941,0.363410215656452,0.697642047473418
22,1,29787,1.06056000502619,0.981937360019459,0.280848877934957
23,1,30057,-0.0378817864755145,0.318898567231105,0.905509733716104
24,1,30479,0.731795700773201,0.933616954271083,0.433666284302731
25,1,30706,-0.107309928998345,0.160566241136032,0.504364919407529
26,1,31435,-0.134295195385997,0.154995717790625,0.386834952258123
27,1,35128,0.452269557809554,0.212498513838903,0.034000906448141
28,1,35129,0.167299197491663,0.214220268887667,0.435344668465958
29,1,36146,-0.0991363108755232,0.154270163165198,0.520891139987518
30,1,37255,-0.0588293635697177,0.311550423633579,0.850336340595133
31,1,37409,0.0096000408855581,0.155194136223694,0.950710707712136
32,1,37478,0.0434092106457953,0.155311204859335,0.780026168219383
33,1,39144,0.0371100392282578,0.154606969908464,0.810447685422506
34,1,41499,0.0511968669483936,0.154166625729718,0.740020001566559
35,1,45359,0.213353558365666,0.259335912329133,0.411238599479017
36,1,45634,-0.0521385649131014,0.238419900849061,0.82702276184642
37,1,51248,0.0488892722132639,0.154825147969087,0.75236303843298
38,1,51462,0.0233653859625307,0.15505199961079,0.880303281193224
39,1,52124,0.0775712242399071,0.154791961279697,0.616590487398007
40,1,52667,0.048044156783611,0.154577700319773,0.756129191675695
41,1,55470,-0.0748872571724362,0.158756102679393,0.637423356428162
42,1,59265,0.0452670473642415,0.154502073735832,0.769704497229177
43,1,60165,0.0102125772311807,0.154403135024377,0.947301983891927
44,1,62308,-0.0775946243612921,0.154178977094564,0.615083915259846
45,1,62869,-0.0993889739579701,0.154124154121445,0.519434790879062
46,1,65431,-0.113354478417042,0.160949066566817,0.481717860495987
47,1,65451,-0.060092405880061,0.158746162015421,0.705254077187705
48,1,65719,-0.088478992355711,0.165509440999104,0.593272863725243
49,1,66841,-0.110510921328596,0.154175431098008,0.473979602196389
50,1,66948,-0.0915368902758122,0.155157998239851,0.555595435089678
51,1,68621,-0.245359775511834,0.154262156331677,0.11260878381937
52,1,69417,-0.161837948865276,0.15416363585037,0.294537294096025
53,1,69820,-1.68739309091212,0.597475555537733,0.00500893256913418
54,1,69821,-0.413502221653644,0.374228585656084,0.26993571969638
55,1,70906,-0.262140694780145,0.247639404490068,0.290524894398528
56,1,74327,-0.200897825087784,0.154884337591019,0.195449781868048
57,1,74572,-0.24266105914236,0.154300062582611,0.116694114189616
58,1,75211,-0.284028155927368,0.153816312448747,0.0656505477233979
59,1,76030,-0.135918205779221,0.154388007761218,0.379259144840659
60,1,80108,-0.0969141376129808,0.154434738308271,0.530710351351284
61,1,81262,0.0196877170121088,0.154458887485901,0.898646923908392
62,1,81999,0.0392086612868727,0.15482559737775,0.800227047438974
63,1,82431,0.0689942627133593,0.155529285021925,0.657596737610182
64,1,83284,0.056291985110527,0.154411488019347,0.715659458884742
65,1,83613,0.0269979257092446,0.154416848704267,0.861307201257362
66,1,84112,-0.0509949107206797,0.15441670106,0.74141286829627
67,1,84701,-0.25326797044834,0.164828714807588,0.125298750610854
68,1,84858,-0.0425413006856957,0.154859879402846,0.783701024457157
69,1,85751,-0.00355747652864229,0.155512898861678,0.981762297351356
70,1,87445,0.064960178713613,0.15580339949912,0.676978027904513
71,1,87467,0.0316689586003712,0.156648528264397,0.839903650457301
72,1,89070,0.055175308366703,0.15564942443023,0.723187484895303
73,1,89616,0.0558310191819905,0.15481114396592,0.718584638168949
74,1,89679,0.0494623106781399,0.15483688982661,0.749575899252389
75,1,89880,0.0730870581445409,0.154849652781037,0.637227528274711
76,1,91472,0.0470838866915225,0.156028160627293,0.763008674186733
77,1,93789,0.0868101600185038,0.15437142194979,0.574237185519309
78,1,94351,0.0503110570641151,0.15482385763372,0.745406307569114
79,1,99148,0.073448525047824,0.154391068302545,0.634560723483829
80,1,101281,0.834519224379932,1.68849044501332,0.621444231602574
81,1,106011,-0.0875965736164354,0.160888491071003,0.586472032462195
82,1,106800,-0.157282122225452,0.154422136539673,0.309128175121455
83,1,107970,-0.238309800165199,0.153668120138978,0.121843675294759
84,1,109000,-0.112540247970908,0.154346256514754,0.466398654838947
85,1,112549,-0.0433283034008886,0.154270353881617,0.778982662216725
86,1,112742,-0.0873042377897758,0.154818976394536,0.573172278967443
87,1,113050,-0.102992002876508,0.154530930690711,0.505538749352765
88,1,113135,-0.128355514636683,0.154082905104121,0.405391683597086
89,1,114076,-0.0386729195418306,0.154220545364599,0.802142677753364
90,1,114628,0.000339159809021841,0.154624465495213,0.998251126853428
91,1,116283,0.0725796642004438,0.155436475986471,0.64083015608729
92,1,126880,-5.0240714419615,2.90505243642581,0.084607177376158
93,1,127853,-0.205794415753625,0.154807963376631,0.184590041482829
94,1,128302,-0.0910317544046956,0.154522907895562,0.556160977199918
95,1,128704,-0.0250007330132396,0.154747020549716,0.871745781821723
96,1,128911,-0.0129843146705911,0.154768326052259,0.933187337577116
97,1,130267,0.0425881227982117,0.154679897676789,0.783223279253985
98,1,130271,0.0510744167120912,0.154856251738445,0.741732933126258
99,1,130613,0.130507885559198,0.156173056215383,0.403910350504282
100,1,132012,-0.0926896278615991,0.155917607492287,0.552573098647952
101,1,133231,-0.0499232570303642,0.154865900621162,0.747367465871652
102,1,137074,-0.103668437649513,0.154569958491638,0.502856965339717
103,1,137304,-0.0873153608960574,0.154652360205083,0.572710434412221
104,1,139686,-0.082588458107492,0.154863126496568,0.594161740867665
105,1,149562,-0.197915264900033,0.154921218400514,0.202257565794309
106,1,150447,-0.149850339904296,0.156798615416093,0.339884592464505
107,1,151446,-0.125396308343449,0.315338788106574,0.691124255770478
108,1,154084,-0.16027333222342,0.15725518060063,0.308809486249129
109,1,156633,-0.154729421761865,0.159432943209405,0.332462603953667
110,1,157269,-0.246899220485097,0.154068714134984,0.109933596504773
111,1,160054,-0.180267093362871,0.155802069135215,0.248043954958598
112,1,166222,-0.208313457709948,0.154545478567644,0.178551557730011
113,1,166416,-0.164896296554978,0.154378852073973,0.286192901629556
114,1,167326,-0.23468736922062,0.15500431782285,0.130902943094869
115,1,168836,-0.206847500424588,0.154377802371831,0.181146712961121
116,1,171200,-0.175790621679623,0.154718999339157,0.256646619341657
117,1,171431,-0.210269055068017,0.155567294090044,0.177359937421613
118,1,173339,-0.13133873345484,0.154598448720276,0.396152473093914
119,1,173845,-0.117515871125652,0.154501572618289,0.447396128638672
120,1,175121,-0.147715943410577,0.154121138610994,0.338496644914614
121,1,175281,-0.109057222022635,0.154343602918142,0.480289137073054
122,1,175315,-0.125466310305291,0.154259616373619,0.416568446557056
123,1,175523,-0.101260197585241,0.155185377082308,0.514496130151135
124,1,175541,-0.117593857933328,0.154518504649945,0.447144744483546
125,1,175653,-0.129423177323505,0.154981549322347,0.404233186209568
126,1,175805,-0.117600366346618,0.16378941983461,0.473233838702827
127,1,175818,-0.152681328894821,0.159937034970923,0.340416086606837
128,1,175856,-0.147996407641035,0.15749878782716,0.348030946801524
129,1,175876,-0.116107640432212,0.155155917088823,0.454760140798619
130,1,175989,-0.11065181457456,0.155610565186381,0.477503233456541
131,1,176001,-0.129189944203489,0.156382293973392,0.409296183179339
132,1,176451,-0.0593122428252822,0.158383535256892,0.708268445602928
133,1,177692,-0.166135893374626,0.154150684006214,0.281881292251931
134,1,178191,-0.187292644415598,0.154235592244499,0.225434110876249
135,1,178224,-0.166135893374626,0.154150684006214,0.281881292251931
136,1,178960,-0.165907150147044,0.155386589036093,0.286382907051585
137,1,179139,-0.314229770884408,0.308014830806693,0.308342986799851
138,1,179139,-0.447146332818158,0.620808073476452,0.471838497274108
139,1,180955,-0.162487313496749,0.178526109099567,0.363359208560922
140,1,183802,-0.246929380866329,0.153863240529544,0.109418246915125
141,1,183954,-0.253512511213527,0.154961442211472,0.102736799776368
142,1,184450,-0.21711351234697,0.153752220147608,0.158801436102955
143,1,184641,-0.136032682081121,0.158507518229772,0.391359039782845
144,1,184718,-0.221942844121757,0.154611295455643,0.152033216481077
145,1,185296,-0.194034560507678,0.15405832664681,0.208686371179322
146,1,185438,-0.1674659314456,0.154153909258493,0.278063052662612
147,1,185469,-0.170323160057346,0.154368272093836,0.270624191304109
148,1,185503,-0.141781584805756,0.154049560852079,0.358011383863591
149,1,185705,-0.182717448314204,0.15565455465381,0.241240431744517
150,1,185749,-0.21543533982062,0.155535968495188,0.166891716693327
151,1,185806,-0.2408169312,0.155639425427521,0.122693061475947
152,1,185879,-0.213402528220873,0.156509316476564,0.173589733396867
153,1,185916,-0.167728050687613,0.156595296253847,0.284859596802778
154,1,185941,-0.177865118637743,0.15724810681994,0.258776091941565
155,1,185954,-0.190901685901492,0.157665818624682,0.226782305646011
156,1,186055,-0.192342437551052,0.154500864652098,0.213984079553304
157,1,186896,-0.251403745101039,0.156808328742428,0.10977270218087
158,1,187697,-0.66081303022672,0.319025521148778,0.0390523293050078
159,1,189392,-0.0149391226781059,0.32264021355933,0.963095146615434
160,1,189416,-0.0270850188025165,0.312093239344956,0.930891599023627
161,1,190132,0.119042191830952,0.154906551297128,0.4427173848628
162,1,190148,0.128331445668641,0.154932341699249,0.408056680697322
163,1,190165,0.123899944826741,0.156135324077098,0.427995156308551
164,1,190169,0.138459461252743,0.155905572906655,0.375092647564091
165,1,190933,0.0645071477306393,0.154775860900683,0.677094239580079
166,1,192149,0.0698212832805401,0.156035400719955,0.654809633141592
167,1,192302,0.0124379516768425,0.206083055385888,0.951907791022642
168,1,192303,-0.0618425381375589,0.186041276587627,0.739774731773169
169,1,192305,-0.0242668282570184,0.193355723297767,0.900196365700511
