SNP,Chr,Pos,Effect,SE,SSH1_PIS1_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.083434276923897,0.107766926216323,0.439324585111495
2,1,1035,-0.0690177662051756,0.108976448744321,0.526929990267806
3,1,1074,-0.195869694650396,0.183971985257834,0.287752405344097
4,1,1470,-0.135863117278998,0.183461096438014,0.459455309415182
5,1,1475,0.0246259609289785,0.135512495645503,0.855903123551037
6,1,1491,0.0654287768407267,0.118493172885436,0.581178985515307
7,1,21249,-0.28690676471269,0.680386796055313,0.673513923052004
8,1,27243,0.0278947799144174,0.0928303163435456,0.763978687749854
9,1,27272,-0.0342045273957692,0.0914297862523811,0.708549283779229
10,1,27498,0.245952033769139,0.834980141558702,0.768502908116567
11,1,27561,-0.726015649056821,0.629695834650901,0.249705920093395
12,1,27816,0.0183935836121807,0.093308751579763,0.843842366529591
13,1,27822,0.0155050302720626,0.0931916348665628,0.867954805653751
14,1,27823,0.0263692564407721,0.0951045555597692,0.781738187965522
15,1,27825,0.0253462515473517,0.0931855242182099,0.785782776284364
16,1,27843,0.0371030716174563,0.0892623771170026,0.677909146323766
17,1,27848,0.0371030716174563,0.0892623771170026,0.677909146323766
18,1,28495,0.0475622346280084,0.0892497705557576,0.594430120452905
19,1,28975,0.0661148209016018,0.0886190027673753,0.456129556667335
20,1,29283,0.125094110797395,0.198644595827393,0.529273195089379
21,1,29752,-0.526708829014829,0.205312172435363,0.010717979831883
22,1,29787,-0.640343423869153,0.559670229145253,0.25333909159059
23,1,30057,0.233371734338668,0.181376502632674,0.199052427048615
24,1,30479,-0.564014552304668,0.531852775098908,0.289655318603377
25,1,30706,0.0350146190898573,0.0915745289559979,0.702422981977678
26,1,31435,0.0269336846466378,0.088442245296229,0.760900428422009
27,1,35128,-0.142056999954054,0.121681254587022,0.243815928287436
28,1,35129,-0.119503844288931,0.122062532675148,0.328231744529127
29,1,36146,-0.0157262390273327,0.0879937761362434,0.85826016868446
30,1,37255,0.0377569981232515,0.17760625797967,0.831770867717082
31,1,37409,0.102028080886378,0.0883067351301674,0.248715158668755
32,1,37478,0.0732403569071995,0.0884637579073012,0.408278742859277
33,1,39144,0.129717023500493,0.0878747245854415,0.140792800743504
34,1,41499,0.139358077315001,0.0875875310939404,0.112488451036365
35,1,45359,-0.383177683638959,0.146571797338928,0.00932497062702389
36,1,45634,-0.150992436223745,0.135689835639607,0.266561710745709
37,1,51248,0.232239359751221,0.08740547393588,0.00824124681490283
38,1,51462,0.229532174489691,0.0875465931497575,0.00912450684903397
39,1,52124,0.113502317971491,0.0880682262005806,0.19831164640519
40,1,52667,0.103455997139043,0.087961525631955,0.24032728496926
41,1,55470,0.197415645235557,0.0899203722621188,0.0287817586723443
42,1,59265,0.134772328957,0.0877966997088076,0.125667303518399
43,1,60165,0.103805771970678,0.087849111519796,0.238145137468821
44,1,62308,0.0789240562967841,0.0878254720356993,0.369453514726056
45,1,62869,0.0709907657657601,0.0878335976065614,0.419495868176155
46,1,65431,0.141460065701097,0.0915090626103187,0.123034738377021
47,1,65451,0.166292657908617,0.0900826074887791,0.0657290317339169
48,1,65719,0.124961889582161,0.0941571881204842,0.185312680807129
49,1,66841,0.200301803831494,0.0873077766145669,0.0223654329714013
50,1,66948,0.15923332513786,0.0880893027612517,0.071514393609573
51,1,68621,0.246201007258592,0.0872780913341204,0.00505995945215669
52,1,69417,0.146189316793269,0.0876781062165645,0.0963334518314505
53,1,69820,-0.231903936863195,0.344214198660746,0.500930330691348
54,1,69821,0.209316867726083,0.213418251258378,0.327371755234623
55,1,70906,0.046927698608088,0.141376093762953,0.740135204576811
56,1,74327,0.128004255557032,0.0882440114791606,0.147787170458755
57,1,74572,0.200338422097375,0.0876245934782958,0.0228269337825185
58,1,75211,0.111860290067624,0.0879086987633985,0.20404728581938
59,1,76030,0.228024383394385,0.0872702192847045,0.00936282322881329
60,1,80108,0.108943247930384,0.0878981979198515,0.216011423608142
61,1,81262,-0.0299912835460416,0.0880414749284149,0.733570108167447
62,1,81999,-0.0348886261700069,0.0882514556871272,0.692836664468112
63,1,82431,-0.0710378597602589,0.0886082100090746,0.423261558532005
64,1,83284,-0.0879131235158075,0.0879190398093843,0.318028012308759
65,1,83613,-0.0729016060477424,0.087948212163835,0.407712546837006
66,1,84112,-0.0648944222996728,0.0879756895700582,0.461223044377566
67,1,84701,-0.0588839034324889,0.0942271571037247,0.532430994076548
68,1,84858,-0.0491619059768608,0.0882531702269431,0.577842586612289
69,1,85751,-0.080705336351914,0.0885507305426947,0.362705417040667
70,1,87445,-0.14604671444469,0.0885015488558105,0.0997881039270203
71,1,87467,-0.0884559765884868,0.0891831747492635,0.321952024986005
72,1,89070,-0.0745781749613689,0.0886595987950117,0.400819749014289
73,1,89616,-0.033414316486109,0.0882530718965851,0.705198193974888
74,1,89679,-0.0359156152626403,0.0882614691914791,0.68431121755013
75,1,89880,-0.0742732711565713,0.0882160054589446,0.400387210045505
76,1,91472,-0.0477748775778461,0.0889236531005518,0.59142841798559
77,1,93789,-0.0916126617740909,0.0879083390849609,0.298060678863499
78,1,94351,-0.0368034795206929,0.0882534445975941,0.67691703278953
79,1,99148,-0.0497108710352572,0.0880037014039283,0.572519275111434
80,1,101281,0.407517021170487,0.962663257579893,0.672317771138463
81,1,106011,-0.0939774692342782,0.0916213751438165,0.305728038433079
82,1,106800,-0.064813085755092,0.0880947110127019,0.462389367315815
83,1,107970,-0.0103275423689604,0.0878993147202648,0.906536319052649
84,1,109000,-0.0342107854680384,0.0880371165104021,0.697810017008932
85,1,112549,-0.0115762051856119,0.0879541069133252,0.895362674554074
86,1,112742,-0.0556199538440108,0.0882493036377904,0.528932648940403
87,1,113050,-0.0512667583006151,0.0881081563258432,0.561031263607409
88,1,113135,-0.0374720211659854,0.0879032518213274,0.670158492195024
89,1,114076,-0.000925668782912115,0.0879258609413124,0.991606106954846
90,1,114628,-0.0116325717323197,0.0881461373392062,0.89508387107127
91,1,116283,0.00969426863769229,0.0886370818404926,0.91297089655734
92,1,126880,0.255850974109328,1.663057650955,0.877820873234092
93,1,127853,0.0314285128746829,0.0884577335492783,0.722581455105288
94,1,128302,0.0482151460972884,0.0880963390710463,0.58451833115481
95,1,128704,0.0293660185097631,0.088207592058231,0.73939275831914
96,1,128911,0.0980487445787724,0.0880767351161541,0.266371607975899
97,1,130267,-0.0379998562848558,0.0881661844446639,0.666729533509897
98,1,130271,-0.0366322062871632,0.0882725190316651,0.678401378834339
99,1,130613,-0.0400934199481773,0.0890935997316747,0.652976144448767
100,1,132012,-0.0338394849544931,0.0889117474229061,0.703731727651298
101,1,133231,-0.105220941090311,0.0881211631909185,0.233260764063658
102,1,137074,-0.0547200272935831,0.0881252496292085,0.535043292610621
103,1,137304,-0.0534089272571033,0.0881581918342424,0.545016605430339
104,1,139686,-0.0941277675658771,0.0881777174383416,0.286485559281704
105,1,149562,0.00642883610230172,0.0885207510695449,0.942145515026094
106,1,150447,-0.00572669343603061,0.0895027957592223,0.949019658575849
107,1,151446,-0.209673645019546,0.179461937764305,0.243455652927037
108,1,154084,-0.0521743369280509,0.089736876373067,0.561332073431585
109,1,156633,0.0231787933715636,0.0910023400816009,0.799098912417335
110,1,157269,0.0414249314682623,0.0881228205666216,0.638586877232826
111,1,160054,0.0225828431061651,0.0889797810303305,0.79979978882064
112,1,166222,0.00961252499544279,0.088328239783609,0.913401294119575
113,1,166416,0.0111622509130572,0.0881483964807068,0.899305173082021
114,1,167326,0.0104364723653493,0.0886495766222235,0.90635071799953
115,1,168836,-0.0138767589582921,0.0882281113419809,0.875111946599284
116,1,171200,-0.0533881889289997,0.0883176341571144,0.545898258227442
117,1,171431,-0.0310799320173456,0.0888996032713059,0.7268420611393
118,1,173339,-0.032317505768661,0.0882067609496092,0.714298391344966
119,1,173845,-0.0376879278408681,0.0881275724496841,0.6691653036919
120,1,175121,-0.000942023140467596,0.0879756063591891,0.991462642501221
121,1,175281,-0.0182285640541263,0.0880450526447033,0.836100510761565
122,1,175315,-0.0178825620328942,0.0880175344630334,0.839118869551217
123,1,175523,-0.0372512781285299,0.088499205703031,0.674068063552027
124,1,175541,-0.018106243910062,0.0881548716470513,0.837384804442613
125,1,175653,0.00116549030607888,0.0884390847091511,0.989492865102169
126,1,175805,0.00506231112265795,0.0934408355908701,0.956825074439943
127,1,175818,0.00786877101020647,0.0912935579656797,0.931362686475025
128,1,175856,-0.0238434008693066,0.0898901707806711,0.790971424114044
129,1,175876,-0.0346105186412162,0.0885022429183754,0.695981869939169
130,1,175989,-0.0402567699988978,0.0887481171809693,0.650390420733505
131,1,176001,-0.0453900442594475,0.0892038432749695,0.611185712070978
132,1,176451,0.0265065982683236,0.090298194675818,0.76927798894216
133,1,177692,-0.0133614060895409,0.088019807655272,0.879431406765305
134,1,178191,-0.0167990933232248,0.0881055427849368,0.848893668056973
135,1,178224,-0.0133614060895409,0.088019807655272,0.879431406765305
136,1,178960,-0.00846137465769237,0.0887245610350048,0.924077624091043
137,1,179139,0.104247669616409,0.175764192777738,0.553486690276262
138,1,179139,-0.184092358989041,0.354034652084355,0.603400646976979
139,1,180955,0.0069822762813494,0.101892829363753,0.945405970548064
140,1,183802,-0.0254737799687282,0.0880233229894566,0.772446664864689
141,1,183954,-0.0124450319846786,0.0886722015795498,0.888464502673191
142,1,184450,0.00666203581777622,0.0878975593644901,0.939626575489506
143,1,184641,-0.0144694021497658,0.0904529029253689,0.872999237529113
144,1,184718,-0.00536881342863892,0.0883972268856663,0.951604557091559
145,1,185296,0.00696291713772333,0.088021900337085,0.936994429182916
146,1,185438,-0.0168170685985193,0.0880222856211566,0.848592599603521
147,1,185469,-0.0199910830781762,0.0881474553280291,0.820717242378776
148,1,185503,0.0193087228722673,0.0879198685338266,0.82629616740566
149,1,185705,-0.0100960430930806,0.0889069443331389,0.909653198914348
150,1,185749,0.0228556756505984,0.0889002456071044,0.797256380541824
151,1,185806,-0.0215523803964655,0.089019895015362,0.808837492912945
152,1,185879,-0.0102475753939231,0.0894558135074806,0.908863291639142
153,1,185916,-0.0288204276552503,0.089403631400953,0.747368503640095
154,1,185941,0.00846462172680629,0.0898051723136876,0.924959761233911
155,1,185954,-0.00435513584080486,0.0900682775582162,0.96146169163209
156,1,186055,-0.0261479378255168,0.0882600179405792,0.767205532836168
157,1,186896,0.0206799887898858,0.0897114113677492,0.817823733709838
158,1,187697,0.166605305577658,0.182756975737914,0.362589780377729
159,1,189392,0.106137347933597,0.183844511017347,0.564090461648199
160,1,189416,0.19912588692091,0.177604058333878,0.26297393622185
161,1,190132,-0.00116044858591102,0.0883829393021447,0.989531669205291
162,1,190148,0.00196881653615877,0.0884095545943762,0.982245741566082
163,1,190165,0.016372589040304,0.089084715105505,0.854286286453782
164,1,190169,-0.0101566081069503,0.0889762393575524,0.909184046695169
165,1,190933,-0.0539897741049137,0.0882095314098316,0.540890223409615
166,1,192149,-0.0440470775515751,0.0889469911656507,0.620762870229858
167,1,192302,-0.170458375589299,0.117133595687521,0.146489433962729
168,1,192303,-0.118099429734387,0.105888598329326,0.265472997224834
