SNP,Chr,Pos,Effect,SE,HNM1_MAM33_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.202746495914286,0.184439888763929,0.272405923162078
2,1,1035,0.0615406023439451,0.186747783883117,0.741944076753942
3,1,1074,0.343836291985376,0.315108174401406,0.275942716019194
4,1,1470,-0.0978986901896493,0.314459319313587,0.75573820032787
5,1,1475,0.04323893649347,0.23212467744954,0.852336407105498
6,1,1491,0.161285625784434,0.202878195889583,0.427154969094561
7,1,21249,-0.937248237687183,1.16468972363322,0.421523355827008
8,1,27243,-0.0410745521484981,0.159018381845128,0.796325413703653
9,1,27272,0.022873469607928,0.156640356953101,0.88398469381182
10,1,27498,-0.304694412718903,1.43035751353513,0.831434517044423
11,1,27561,0.475990940766333,1.08036532941645,0.659784361057386
12,1,27816,0.0173651699316374,0.159838730129228,0.913548320197251
13,1,27822,0.0126271738868016,0.15963683515706,0.936998400817943
14,1,27823,0.0307525884784424,0.162918231931021,0.850388709799124
15,1,27825,0.035149477972171,0.159627287348406,0.825844884630691
16,1,27843,0.0207070404464258,0.152934838081709,0.892374538074707
17,1,27848,0.0207070404464258,0.152934838081709,0.892374538074707
18,1,28495,0.0242933837608912,0.152935819812416,0.873880320725807
19,1,28975,-0.0111064577151497,0.151917810567691,0.941761318321785
20,1,29283,-0.402487513790861,0.339783385918763,0.236995709587149
21,1,29752,0.164357184910528,0.354843588982584,0.643519301817489
22,1,29787,1.71624613431861,0.956105618471543,0.0735029353969351
23,1,30057,0.114614042013938,0.311355607247298,0.713009626484923
24,1,30479,1.28767265412976,0.909906241933639,0.15790001754832
25,1,30706,-0.0159324737676755,0.156892168583333,0.919171150264271
26,1,31435,-0.0201968902105956,0.151512641807706,0.89403075467021
27,1,35128,0.518819998230765,0.207001357917823,0.0126472042889948
28,1,35129,0.220899974719735,0.209039499881563,0.29135384095096
29,1,36146,-0.0498327847548834,0.150711835559829,0.741105459897392
30,1,37255,-0.0777934766827304,0.304220756771422,0.79832069849911
31,1,37409,0.0796269976438718,0.15149090505783,0.599480677752635
32,1,37478,0.0644020796908588,0.151641718414919,0.671314881102739
33,1,39144,0.0336581485036545,0.15097767052156,0.823715339582913
34,1,41499,0.0481418752891243,0.150547686447683,0.749325614430436
35,1,45359,-0.179858711565673,0.253307168869659,0.478146915042294
36,1,45634,-0.0683711621497198,0.232807868287422,0.769174544898876
37,1,51248,-0.0142408958610344,0.15120848433476,0.925019181657495
38,1,51462,-0.0216884246313961,0.151411026212829,0.886180757736623
39,1,52124,-0.0309019801949022,0.151201438673746,0.838177284709789
40,1,52667,-0.0925530436333058,0.1508876580712,0.54001324539822
41,1,55470,-0.100449367864184,0.154984332903555,0.517324835102441
42,1,59265,-0.00709070882823318,0.150891417136096,0.962546075175795
43,1,60165,-0.00110165046645722,0.150777853586111,0.994174477566896
44,1,62308,-0.100816043004472,0.150516425727777,0.503422584951126
45,1,62869,-0.109676885589265,0.150479942228453,0.466578396595471
46,1,65431,-0.110301549834531,0.157169907299923,0.483267492977381
47,1,65451,-0.0723484468858041,0.155001596385003,0.6409599914478
48,1,65719,-0.0401219035624409,0.161673709020525,0.804150339757382
49,1,66841,-0.0425656316977103,0.150647064521327,0.777685868439111
50,1,66948,-0.0815045043229737,0.151526658308395,0.590992717473377
51,1,68621,-0.307085042019909,0.150291952922562,0.0417691492375652
52,1,69417,-0.208436922861685,0.150369173111201,0.166570579657706
53,1,69820,-0.924946020558954,0.587940897604158,0.116569355534604
54,1,69821,-0.526805366524653,0.364995736923469,0.149817379366268
55,1,70906,-0.0227157982417445,0.2422040125388,0.92533087781784
56,1,74327,-0.137848607214748,0.151429192437621,0.36327637875928
57,1,74572,-0.129501834174242,0.151046019401618,0.391823928157566
58,1,75211,-0.0781302607015553,0.150870275635146,0.604877665460357
59,1,76030,-0.0503019369211922,0.150903826544039,0.739077275068199
60,1,80108,-0.11537192652101,0.150766889214886,0.444643614282893
61,1,81262,-0.0910572947816941,0.150756963052622,0.54623120925333
62,1,81999,-0.143089351147107,0.151011282757319,0.344011468956366
63,1,82431,-0.145028601573961,0.151722728043204,0.339787412019431
64,1,83284,-0.0330273589023704,0.150803224617686,0.826769116478279
65,1,83613,-0.00788769629902272,0.15079626666421,0.95831368413778
66,1,84112,-0.0776788736801886,0.150756788082137,0.606694178577968
67,1,84701,-0.0913018651604012,0.161421907789344,0.572018177279445
68,1,84858,0.0439998692522888,0.151220979115743,0.771249690330873
69,1,85751,-0.00378981853938964,0.151860609981813,0.980104238850836
70,1,87445,0.0205667502177525,0.152177829928936,0.892570741978573
71,1,87467,-0.0234468201006991,0.152973355211343,0.878269874900228
72,1,89070,0.0207216662290464,0.152017000443259,0.891652732315892
73,1,89616,0.0444625374999684,0.151184684347316,0.768858780282992
74,1,89679,0.0114147102165519,0.151221131501558,0.939872732435505
75,1,89880,0.0369719554881158,0.151247867534593,0.807027343019755
76,1,91472,0.082707902257239,0.152319845395446,0.587480500722733
77,1,93789,0.103609083008387,0.150712615068409,0.492243534108686
