SNP,Chr,Pos,Effect,SE,SSH1_ERV25_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.120963808636021,0.0781459494791453,0.122537183447028
2,1,1035,0.102074698545951,0.0790821255618603,0.197637533749693
3,1,1074,0.067349434282745,0.13391025477954,0.615316897280781
4,1,1470,-0.123966693941702,0.133312641689111,0.353061165213783
5,1,1475,-0.0184837058695626,0.0985143563169584,0.851278826660126
6,1,1491,0.0224868088293944,0.0861708621522171,0.794278562891683
7,1,21249,-0.262733275548607,0.494553419514501,0.595577178362599
8,1,27243,-0.0413814832326771,0.0674583211823023,0.539981968122998
9,1,27272,-0.0960405116520302,0.0662838445798444,0.148245440101416
10,1,27498,-0.420230827069869,0.60667498066532,0.488966649038614
11,1,27561,-0.295383485122705,0.458366874395534,0.519717822092415
12,1,27816,-0.0789094997369222,0.0677070449341115,0.244621849684115
13,1,27822,-0.0768318444980123,0.067627438017642,0.256683492805757
14,1,27823,-0.0975560662367614,0.0689512576225434,0.157992366358059
15,1,27825,-0.0805060933979064,0.067615328878373,0.234591624749049
16,1,27843,-0.0785167699459313,0.0647730296443813,0.226253006849984
17,1,27848,-0.0785167699459313,0.0647730296443813,0.226253006849984
18,1,28495,-0.0531517402429961,0.0648470733654527,0.412970160584905
19,1,28975,-0.0627008910771802,0.0643884481592939,0.330827137142589
20,1,29283,0.127163681450559,0.144332824219367,0.37889305156296
21,1,29752,-0.455812558220589,0.148676100755075,0.00233813249164134
22,1,29787,-0.265606917884443,0.407376682614981,0.514829704480439
23,1,30057,-0.0259620796251809,0.132158413201717,0.844373619991975
24,1,30479,0.357964490891366,0.386791937223656,0.355353515500919
25,1,30706,-0.0489942547142749,0.0665354094997944,0.461998498970309
26,1,31435,-0.0728342320405448,0.0641870932076871,0.257263532346826
27,1,35128,-0.128908662185316,0.088364286568849,0.145500519359154
28,1,35129,0.00663860813069972,0.088856518646338,0.940486538518107
29,1,36146,-0.10043677083162,0.063748728493607,0.11603448055702
30,1,37255,-0.118219945913117,0.128970781569055,0.359956429047767
31,1,37409,-0.0428136504205699,0.0642779812388076,0.505801240525392
32,1,37478,-0.0653474625344263,0.0642796223820851,0.310034104065694
33,1,39144,-0.119852003321875,0.0637615925982156,0.060973843778366
34,1,41499,-0.113396926704446,0.063616491520673,0.0755257139394999
35,1,45359,-0.0937454203128238,0.107465314174271,0.383620297265607
36,1,45634,0.0281829467922186,0.0988050588950831,0.77562917438884
37,1,51248,-0.0272706287796261,0.0641577353493814,0.671054851876793
38,1,51462,-0.0323272011545749,0.0642381336892239,0.615109373771286
39,1,52124,0.0153185950203603,0.0641689723337966,0.811459083622151
40,1,52667,-0.030369993207927,0.0640509107129072,0.635683270348084
41,1,55470,0.0146629177264133,0.0658103247911237,0.823815569541317
42,1,59265,0.0377462323679395,0.0640074602617214,0.555758230811195
43,1,60165,0.0263844714779111,0.0639751785313622,0.680283923634878
44,1,62308,0.000425399450562997,0.0639202097362649,0.99469374635102
45,1,62869,0.0182334281104928,0.0639048171838189,0.775565060369809
46,1,65431,-0.0461112071040466,0.0667047752720437,0.489848374579294
47,1,65451,-0.0441679691238012,0.065761445985837,0.502252671919251
48,1,65719,-0.0609765180458821,0.0685440137900372,0.374288400527711
49,1,66841,-0.0297203491556041,0.0639227372270174,0.642259836661792
50,1,66948,-0.0458752115083614,0.0642883769607691,0.475955440148635
51,1,68621,0.0166422851210901,0.0641543293596243,0.795470005344713
52,1,69417,0.0204252991772341,0.0639813542187386,0.749734640739421
53,1,69820,-0.437569994275574,0.249311690569699,0.0801075641639942
54,1,69821,0.0863459164384981,0.155293726763126,0.578551640178764
55,1,70906,-0.0939739177583041,0.102671648974337,0.360666338549184
56,1,74327,-0.105709264637203,0.0640959390932162,0.0999890762292019
57,1,74572,-0.0862513159393627,0.064006688969261,0.178671916488391
58,1,75211,-0.0695874689357371,0.0639469565897229,0.277246531500005
59,1,76030,0.000628430545001918,0.0640541179800172,0.992177677240188
60,1,80108,-0.0586262806649162,0.0639629151006585,0.359995462624067
61,1,81262,-0.103966717824329,0.0637751549727479,0.103949623313625
62,1,81999,-0.0817110260671718,0.0640235625873932,0.202700935397297
63,1,82431,-0.0514432725696292,0.0644167094686436,0.425058548428326
64,1,83284,-0.0500230413928135,0.0639503008433669,0.434611164863645
65,1,83613,-0.0204333522646351,0.0639894058446468,0.749669728992055
66,1,84112,-0.0249838294904416,0.0639918855098817,0.696460136820215
67,1,84701,-0.00860923738206815,0.0685374586324182,0.900109300271882
68,1,84858,-0.00513671955854747,0.0641857616969694,0.936259575742457
69,1,85751,-0.0370905056315706,0.0644199254250147,0.565143335426681
70,1,87445,-0.00352987118853712,0.0645861364997686,0.956445276361013
71,1,87467,-0.00592041095805977,0.064923757862417,0.927393179378698
72,1,89070,-0.0353518469731914,0.0644907374043931,0.583922089936583
73,1,89616,-0.0063929813361656,0.0641702028027413,0.920698290366413
74,1,89679,-0.0203683041256271,0.0641700743112625,0.751119224660533
75,1,89880,-0.032736071893879,0.0641718430035829,0.610278224237151
76,1,91472,-0.0449922193739727,0.0646276508404565,0.486776733416064
77,1,93789,-0.059206594085886,0.0639280790354519,0.355003988584801
78,1,94351,-0.0500808442251641,0.0641187702175761,0.435288515591113
79,1,99148,-0.0165762146326763,0.0639996193108526,0.795782431406923
80,1,101281,0.78162441692954,0.698775747382864,0.264087390690146
81,1,106011,-0.0367288083759487,0.0666772965411478,0.58208886059578
82,1,106800,0.000221491609034091,0.0640920354084741,0.997244598851092
83,1,107970,0.027264539505273,0.0638856755888515,0.669806450424271
84,1,109000,-0.0106688153431008,0.064012253234116,0.867726452370461
85,1,112549,0.0442944926407792,0.0638988303416651,0.488641610050572
86,1,112742,0.0529159292775328,0.0641296101506965,0.409849163641816
87,1,113050,0.0712913263876548,0.0639710020574483,0.265852117650785
88,1,113135,0.0437942857416262,0.0638776993097355,0.493417989492179
