SNP,Chr,Pos,Effect,SE,ADE17_PGM2_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.204431923613105,0.124234171255878,0.100749188811657
2,1,1035,0.0705347310196249,0.126018155292481,0.576026234569483
3,1,1074,0.0877617855435755,0.213005080402291,0.680576796400109
4,1,1470,-0.0758283795519308,0.212250677099129,0.721111706991325
5,1,1475,-0.0358280653214278,0.156680155289625,0.819257757428027
6,1,1491,-0.0288995893798765,0.137056600295806,0.833119126917086
7,1,21249,0.953036720002068,0.785249197627005,0.225683560208736
8,1,27243,0.107037681076927,0.107196203119915,0.318710661537285
9,1,27272,-0.024915407609869,0.105727051717223,0.813834854358089
10,1,27498,2.12666687454847,0.95889516401951,0.027202519072769
11,1,27561,-0.223841591997825,0.729349317369351,0.759095976297036
12,1,27816,0.14528009856713,0.107615436014906,0.177883173452883
13,1,27822,0.127175589023387,0.107542941342431,0.23778091588236
14,1,27823,0.162969426062173,0.109632685726714,0.138038449456416
15,1,27825,0.140797297640038,0.107494853760763,0.191113572114922
16,1,27843,0.227618869555531,0.102520296209503,0.0270375880794971
17,1,27848,0.227618869555531,0.102520296209503,0.0270375880794971
18,1,28495,0.220566921464607,0.102565636298498,0.0321946389397431
19,1,28975,0.227390196242683,0.101828523805698,0.0261706753230428
20,1,29283,-0.223549401629469,0.229500793883862,0.330689735572094
21,1,29752,-0.268967128553851,0.239163980995669,0.26151682199107
22,1,29787,0.153349703630208,0.648258269064409,0.813138081302085
23,1,30057,0.558509165728969,0.208092720691535,0.007618779663671
24,1,30479,-0.884425984073824,0.614124661664636,0.1507138471475
25,1,30706,0.220104427131096,0.105253749449186,0.0372265120460649
26,1,31435,0.222173813366759,0.10158761820739,0.0293970443838322
27,1,35128,0.0928908629065823,0.140876868337843,0.510084102394018
28,1,35129,0.0279449892148596,0.141316753933814,0.84335669780601
29,1,36146,0.185565346902229,0.101265672882676,0.0677250657269915
30,1,37255,0.515154731054378,0.203529303469482,0.0118038527578129
