SNP,Chr,Pos,Effect,SE,MID2_RSN1_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.262019521202459,0.177623635155815,0.141066562016392
2,1,1035,0.241278840583073,0.179661053448968,0.180145540562795
3,1,1074,0.317758353583891,0.30391894977985,0.296490490736529
4,1,1470,0.0141981533539512,0.303292073366731,0.962688368576494
5,1,1475,0.163392326820722,0.223693327821401,0.465611845677553
6,1,1491,0.153097681491629,0.195652678524659,0.434446995401462
7,1,21249,-0.800349236845888,1.12340034887867,0.476666342097196
8,1,27243,-0.057759068047299,0.153334338861216,0.706632469713769
9,1,27272,-0.0185923120554178,0.151058715315639,0.902113765373438
10,1,27498,-0.598454352313268,1.37909768991514,0.664592524204178
11,1,27561,1.23362334862846,1.04007501012652,0.236384180503626
12,1,27816,0.0544887390529119,0.15411706346399,0.723884041031573
13,1,27822,0.054040262604076,0.153921564941589,0.72573056482084
14,1,27823,0.0332184614841743,0.157109494602135,0.832669784871361
15,1,27825,0.0529324976929137,0.153922655415041,0.731133585651315
16,1,27843,0.0836431774945927,0.147420572143299,0.57081808939754
17,1,27848,0.0836431774945927,0.147420572143299,0.57081808939754
18,1,28495,0.0825903771392111,0.147424642813959,0.575684072014466
19,1,28975,0.0676544014648376,0.14646001844137,0.644415457585174
20,1,29283,-0.386173377978015,0.327679443857735,0.239387296661474
21,1,29752,-0.538170479700816,0.341099675699755,0.115518419213123
22,1,29787,2.48369961548511,0.916744622540682,0.00707214428333722
23,1,30057,0.143355397362106,0.300218978566807,0.633299658782385
24,1,30479,1.12056520856159,0.877937538102295,0.20266702870713
25,1,30706,-0.0147120052628709,0.151300414554547,0.92259333384193
26,1,31435,0.0437501657608852,0.146097562148845,0.764766424099524
27,1,35128,0.304120586023428,0.200740257276563,0.130668426400243
28,1,35129,0.0790499669183093,0.201863694602516,0.695589545159516
29,1,36146,-0.0458006107316641,0.14534224027763,0.75285483912286
30,1,37255,-0.128359000876802,0.293325367028464,0.661944330507872
31,1,37409,-0.00264530788932316,0.146148569606945,0.985569201396338
32,1,37478,-0.0180968672070458,0.146271101338667,0.90160627292813
33,1,39144,-0.0931532841122619,0.145522348284476,0.522503065885907
34,1,41499,-0.115233457249164,0.145073315161291,0.427547557309045
35,1,45359,-0.476324218094132,0.243135006300223,0.050888650279601
36,1,45634,-0.119901733280255,0.224446867064753,0.593532601826422
37,1,51248,-0.198485624398598,0.14543777454253,0.173202160317322
38,1,51462,-0.190451755441546,0.145666416040489,0.191910379891478
39,1,52124,-0.17697094307729,0.145516423919961,0.224737394740164
40,1,52667,-0.250180932838483,0.144977031176513,0.0852838650000921
41,1,55470,-0.209795774457126,0.149131839699052,0.160372240830121
42,1,59265,-0.0879086489203358,0.145438569703361,0.545940535050489
43,1,60165,-0.0903317558262516,0.145324343207361,0.534614531252332
44,1,62308,-0.160152516994064,0.144993594987358,0.270107412034589
45,1,62869,-0.11129103242056,0.145104846296103,0.443612124236333
46,1,65431,-0.0569643200510633,0.151643464257522,0.707405427854641
47,1,65451,-0.0419812520071414,0.149506465816165,0.779029146611989
48,1,65719,-0.0258276427594525,0.155918888158272,0.868528844071366
49,1,66841,-0.024803287738477,0.145288143978872,0.86454339045377
50,1,66948,-0.0628452833570173,0.146147555945616,0.667448896539263
51,1,68621,-0.215712994631101,0.145337019321093,0.138641307743993
52,1,69417,-0.1712524356626,0.145117882907256,0.238758294544671
53,1,69820,-1.13262731839867,0.565767090603765,0.0460567670925853
54,1,69821,-0.55110452114293,0.351802950409306,0.118124115246394
55,1,70906,0.00630234920500961,0.23357406624276,0.97848915426561
56,1,74327,-0.132107110558914,0.146034094975119,0.366277367724366
57,1,74572,-0.0940831640946194,0.145728022711505,0.518952740443373
58,1,75211,-0.072585030302931,0.145496945205414,0.61817700757964
59,1,76030,-0.0322916667930096,0.14553807841157,0.824537326659415
60,1,80108,-0.123504705089637,0.145365260335926,0.396114249051687
61,1,81262,-0.133598449131739,0.145284894274184,0.358429694420858
62,1,81999,-0.253764910471303,0.145187139108957,0.0813599597645226
63,1,82431,-0.299949881707038,0.145631833795357,0.0401653146182229
64,1,83284,-0.182437651601806,0.145113676593363,0.20951053888189
65,1,83613,-0.147905899299989,0.145208929180224,0.309103291600535
66,1,84112,-0.171378905868754,0.145151863443775,0.238522052184536
67,1,84701,-0.133773585438962,0.155576202923188,0.390450392782881
68,1,84858,-0.0789985482251812,0.145788038963403,0.588248115800294
69,1,85751,-0.144321528845775,0.146246544058785,0.324398372317319
70,1,87445,-0.102952435420034,0.146655383146407,0.483140243726028
71,1,87467,-0.16177877312577,0.147274499035335,0.272741591512242
72,1,89070,-0.153074611770213,0.146376114841484,0.296386380195378
73,1,89616,-0.0688620363909395,0.145767961859583,0.636927098205329
74,1,89679,-0.0964630436329029,0.145742091223012,0.508483177394794
75,1,89880,-0.0872374137677543,0.145795530509224,0.549987132622108
76,1,91472,-0.091439498959586,0.146871591872846,0.533961698964091
77,1,93789,-0.0545434568517171,0.145409211986659,0.7078090066229
78,1,94351,-0.0824320166091218,0.145754937495088,0.572057561201071
79,1,99148,-0.0191995932001574,0.145434598355964,0.89504739717304
80,1,101281,1.2922798203403,1.58913032613805,0.416651881729102
81,1,106011,-0.0174612317528292,0.151571028070289,0.908350796565634
82,1,106800,-0.0128443362183382,0.145632763168676,0.929770313924726
83,1,107970,0.0918768359138872,0.145120537641079,0.527073667713229
84,1,109000,0.0575308233967108,0.14542656829097,0.692638739913032
85,1,112549,-0.0345014238802297,0.145282536715198,0.812423658524209
86,1,112742,0.0362182423005305,0.145847468698716,0.804023806238849
87,1,113050,0.0263243020584851,0.145608088152158,0.856637155836871
88,1,113135,0.0228406929687005,0.14523885245635,0.875127515865503
89,1,114076,0.0423332575043456,0.145226462378615,0.770841509024267
