SNP,Chr,Pos,Effect,SE,FMP45_HNM1_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.05928007520713,0.175181101869642,0.735268153220969
2,1,1035,0.0642043534311464,0.177093323589001,0.717161535656977
3,1,1074,0.0211920589220869,0.299328837367578,0.943598147948267
4,1,1470,-0.0337191153202774,0.298247629118901,0.910049278709788
5,1,1475,0.23160282572741,0.219796869255696,0.292735021604142
6,1,1491,0.144264980970199,0.192415059217381,0.453899065765591
7,1,21249,-1.04148284982229,1.10413552283255,0.346194908738237
8,1,27243,-0.00126998795996469,0.150816585339471,0.99328605404715
9,1,27272,0.0222202239447621,0.148546969505848,0.881178395056729
10,1,27498,-1.26537686272139,1.35486925199345,0.350969331033298
11,1,27561,0.741312267692727,1.02406773883013,0.469612791817321
12,1,27816,0.0451436309562794,0.151563802867727,0.765991100045853
13,1,27822,0.0389299791908662,0.151376010738352,0.797194266689284
14,1,27823,0.0271306747717003,0.154501754901859,0.860708040931577
15,1,27825,0.0470332034087791,0.151369492684636,0.756198512234202
16,1,27843,-0.00736173415618672,0.145036362400935,0.959547185722737
17,1,27848,-0.00736173415618672,0.145036362400935,0.959547185722737
18,1,28495,-0.0212060838870995,0.145034848338936,0.883836139967585
19,1,28975,-0.0153392856012554,0.144067422463081,0.915267586004546
20,1,29283,-0.215315131363687,0.322664061430844,0.505013728246488
21,1,29752,0.308415062725746,0.336211569019988,0.359598993697291
22,1,29787,1.91659207921792,0.905104735729855,0.0349131043344308
23,1,30057,-0.208116667820962,0.295117599817655,0.48115139186338
24,1,30479,1.06009198977288,0.863496810149398,0.220387646398339
25,1,30706,-0.0562589165869631,0.148758031563813,0.705516193473088
26,1,31435,-0.0799347413252825,0.143625026550848,0.578186459951211
27,1,35128,0.348815881014985,0.197173040853411,0.0777431113724939
28,1,35129,0.126189718386126,0.19843869896684,0.525245286838309
29,1,36146,-0.109383592749974,0.142828505246509,0.444284072232201
30,1,37255,-0.157694840890705,0.28840714210808,0.584876335088539
31,1,37409,-0.0595070354367069,0.143685102147398,0.679016548903803
32,1,37478,-0.0660929592983576,0.143800532024141,0.64607513079872
33,1,39144,-0.0037521393863616,0.143187018975239,0.979109060944035
34,1,41499,0.0329354300858268,0.142779228170426,0.817701843048678
35,1,45359,-0.375883446501185,0.239557036848887,0.117525903943922
36,1,45634,-0.319950024633318,0.220148660351466,0.147018822871097
37,1,51248,-0.134538436097983,0.143218866736969,0.34817264405531
38,1,51462,-0.119905673545278,0.143450325682214,0.403794048733986
39,1,52124,-0.0587803399819875,0.14336363678254,0.68204827105385
40,1,52667,-0.129754694356525,0.14300128852243,0.364831579878105
41,1,55470,-0.0951996722510823,0.146976838556968,0.517587828514082
42,1,59265,0.0998664143135971,0.142996975493158,0.485398576731908
43,1,60165,0.0634850329136754,0.142947667216294,0.657232428499639
44,1,62308,-0.0406188431433429,0.142813979432691,0.77625696009153
45,1,62869,-0.0721492973973367,0.142760764803036,0.613603122749541
46,1,65431,-0.0667405597583008,0.149111018407108,0.654723858540314
47,1,65451,-0.0375833722071249,0.147024846525732,0.798388530888415
48,1,65719,0.0224440307046306,0.153329204396214,0.883706506605666
