SNP,Chr,Pos,Effect,SE,MID2_PIN2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.136460475484143,0.0690823423595116,0.0490092474826579
2,1,1035,0.153283213390728,0.069747488956803,0.0286203285462422
3,1,1074,0.0495657002459415,0.118642632008803,0.676367019795281
4,1,1470,-0.172329624467531,0.117888326283599,0.144684559139887
5,1,1475,-0.0141883460956098,0.0872737518759046,0.870947755492236
6,1,1491,-0.065469337673038,0.0762655153657946,0.391232280931173
7,1,21249,-0.0970655810208676,0.438263504423076,0.824848581696902
8,1,27243,-0.0426786967598534,0.0597491843260755,0.475515256193745
9,1,27272,-0.0833126147457097,0.0587272331274814,0.156887202130644
10,1,27498,-1.0292594155851,0.535013753776894,0.0551835017165705
11,1,27561,0.240679846707556,0.406098418643358,0.553785609747017
12,1,27816,-0.0405818208454523,0.0600573045259048,0.49966192211928
13,1,27822,-0.0284842169701806,0.0600006027808103,0.635271437575646
14,1,27823,-0.0446605807555446,0.0612098928523541,0.466100181719129
15,1,27825,-0.0288577361261261,0.0600000971577443,0.630841836579644
16,1,27843,-0.00983122857363259,0.0574985600974323,0.864335749095068
17,1,27848,-0.00983122857363259,0.0574985600974323,0.864335749095068
18,1,28495,0.0143681576551247,0.0574967865536009,0.802813935663162
19,1,28975,-0.0254838293200747,0.0571013978876295,0.655660827321742
20,1,29283,0.193038154999675,0.12759018489772,0.131185953835078
21,1,29752,-0.224130600521733,0.132918078115129,0.0926348544012036
22,1,29787,-0.0922707771567417,0.361073873739586,0.798450697201999
23,1,30057,0.0635728437835974,0.117035024295787,0.587338358396138
24,1,30479,0.157710223007863,0.342967000992916,0.645913575598303
25,1,30706,-0.0522347638896357,0.0589226082415766,0.375952861609225
26,1,31435,-0.0317258875842873,0.0569411412360072,0.577764481268127
27,1,35128,-0.0930927612352539,0.0783599677271864,0.235626481989072
28,1,35129,-0.0922998292989194,0.0785640854398391,0.240852651013075
29,1,36146,-0.0416421077374499,0.056629075405538,0.462615531096395
30,1,37255,-0.133814672553049,0.114167597952262,0.241951449718948
31,1,37409,-0.0025089818577913,0.0569786953453065,0.96490245157525
32,1,37478,-0.0247772918589116,0.0570125829837691,0.66412313192281
33,1,39144,-0.0936909989196139,0.0565481530617413,0.0984411892250252
34,1,41499,-0.0530490870349724,0.0565396823967979,0.348750832403437
35,1,45359,-0.136159722197692,0.0950288353036162,0.152792754803813
36,1,45634,-0.00977235771131824,0.0875387386854946,0.911176534138232
37,1,51248,-0.0485518096527982,0.0567923375772223,0.393185954094134
38,1,51462,-0.0446012956869961,0.0568786727678791,0.433479150990561
39,1,52124,-0.0284720643678375,0.0568308979922926,0.616686041492888
40,1,52667,-0.0855506472023965,0.0565770510240565,0.131400934338409
41,1,55470,-0.0487527932835021,0.0582468933265233,0.403157462346923
42,1,59265,-0.0199264878601649,0.0567214387428415,0.725569620656979
43,1,60165,-0.015943485433312,0.0566821314943693,0.778661325716399
44,1,62308,0.0103613043550216,0.0566234527904779,0.854913981671444
45,1,62869,0.00195394567733841,0.0566189306825286,0.972489602360512
46,1,65431,0.0415058900628175,0.0590916513354764,0.482893551602296
47,1,65451,0.0444596222999459,0.0582464267379115,0.445793042789291
48,1,65719,0.0244528493117586,0.0607764003627815,0.687676463057965
49,1,66841,0.0157723334856881,0.056639489438578,0.780815521708961
50,1,66948,0.0033122600728645,0.0569930789917198,0.953688410808213
