SNP,Chr,Pos,Effect,SE,ERG11_MID2_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0965309431552178,0.0705180093923538,0.171906095915578
2,1,1035,0.0828796614275006,0.0713421862999084,0.24613401386625
3,1,1074,-0.0213826908828141,0.12078816081952,0.859589195433259
4,1,1470,-0.208179676860145,0.119847412998672,0.083252498303432
5,1,1475,-0.155582827428009,0.0884505330646667,0.0794470579848239
6,1,1491,-0.174758538260294,0.0771512668599252,0.0241095627150315
7,1,21249,-0.0639897573053165,0.44611657407739,0.886026669812743
8,1,27243,-0.0688933483542764,0.0607507282362476,0.257550115749926
9,1,27272,-0.0751639632455732,0.059813653287246,0.20971654695682
10,1,27498,0.329096174292954,0.547145540768291,0.547907521404667
11,1,27561,0.0254652770429287,0.413561845189455,0.950935736834911
12,1,27816,0.026479589851129,0.0611542666149885,0.665281675274752
13,1,27822,0.0256157452405951,0.0610775441683316,0.675181048038278
14,1,27823,0.0339842853859137,0.0623248963613404,0.585907896918855
15,1,27825,0.0301105422721648,0.0610717351254477,0.622293957796996
16,1,27843,0.0435454170907047,0.0584830097088338,0.457019631119698
17,1,27848,0.0435454170907047,0.0584830097088338,0.457019631119698
18,1,28495,0.0490328675713995,0.0584716530766655,0.40227530812544
19,1,28975,0.0425029088057376,0.0580945975391884,0.464888675336362
20,1,29283,0.00524311640126651,0.130291280653953,0.967923342949798
21,1,29752,-0.244640900995247,0.135212616900932,0.0712541143670616
22,1,29787,-0.46128834089764,0.36674207661786,0.20929534956537
23,1,30057,0.238550378194854,0.118498833983107,0.0448625190825417
24,1,30479,-0.317583763241677,0.348793608310414,0.363169334717542
25,1,30706,0.0512260740280092,0.0599807889705402,0.393661265304003
26,1,31435,0.0587348590058643,0.0579002574143995,0.311079802330137
27,1,35128,-0.066545158883768,0.0798416232292587,0.405146399595863
28,1,35129,-0.0950638873599154,0.079964889123246,0.235309481159043
29,1,36146,0.010627075206662,0.0576828229850609,0.853936519972859
30,1,37255,0.0839548798425085,0.116348767701067,0.47103074272922
31,1,37409,0.0475381122711539,0.0579422764732216,0.412519469141252
32,1,37478,0.0407108560554461,0.0580068947728693,0.483248970666583
33,1,39144,-0.0235202496743235,0.0577689037774887,0.684149162359785
34,1,41499,0.00661626485566688,0.0576211143158645,0.908650211853486
35,1,45359,-0.0807038511223217,0.0969134409447263,0.405553534279922
36,1,45634,-0.0249769161390723,0.0890953721961922,0.779381574397685
37,1,51248,0.0279607779315644,0.0578483176309865,0.629149435978315
38,1,51462,0.0260562329005891,0.0579293278198856,0.653135444314728
39,1,52124,0.025739921915492,0.057851237705632,0.656640902410966
40,1,52667,0.00714926927155823,0.0577734636624969,0.901586349542965
41,1,55470,-0.0257108762944772,0.0593312289376418,0.665029015025877
42,1,59265,-0.0382457313556759,0.057709680392844,0.507938249151875
43,1,60165,-0.0336948302435239,0.0576740578933366,0.55943972890274
44,1,62308,-0.0419320708488316,0.0575952493981268,0.467067227678431
45,1,62869,-0.0481465707559263,0.0575742344755138,0.403578840138089
46,1,65431,0.00764015680356622,0.0601887092073346,0.899062763831124
47,1,65451,0.0324542719049126,0.0593114890691318,0.584598383117126
48,1,65719,0.00853280290840852,0.0618754495664454,0.890395799010948
49,1,66841,0.000321531525186186,0.0576583940513911,0.995553776913817
50,1,66948,-0.00815601883978545,0.0580106288160546,0.88826989266905
51,1,68621,0.00266780807770389,0.0578549222294008,0.963247030427062
52,1,69417,-0.0255558333044394,0.0576859001454895,0.658024816928246
53,1,69820,-0.112259657771604,0.225710354664024,0.619243743121103
54,1,69821,0.279051541943633,0.13930405546468,0.0459216988030817
55,1,70906,0.0186833241808655,0.0926860838920563,0.840364028874483
56,1,74327,-0.0511670903582873,0.0579552245940672,0.377905843832693
57,1,74572,-0.0270667798656195,0.0578467738029035,0.640141457571211
58,1,75211,-0.0321958328565484,0.0577338019777939,0.57743002775194
59,1,76030,-0.0280725103707979,0.0577398984523618,0.627134764034644
60,1,80108,-0.0896323318167272,0.0575481699095608,0.12024352057664
61,1,81262,-0.117669992858448,0.0573829742616565,0.0410430958099718
62,1,81999,-0.112514223340669,0.0575539934112852,0.0513798125168628
63,1,82431,-0.101847339796353,0.0578853598785032,0.0793645633522857
64,1,83284,-0.112880357264824,0.0574020001738479,0.0500253533907619
65,1,83613,-0.110982755300107,0.0574060880340824,0.0539995515950312
