SNP,Chr,Pos,Effect,SE,TPO1_TCB2_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.255317586329506,0.187022030855725,0.173067805436041
2,1,1035,0.0653621785952586,0.189534557018045,0.730407811166347
3,1,1074,0.306262043698146,0.319939023638655,0.339095559241086
4,1,1470,0.0827294677917436,0.31916999636344,0.795630558013703
5,1,1475,0.25185273063776,0.235221974842219,0.285034788508061
6,1,1491,0.152946390953283,0.205932099882123,0.4581554498644
7,1,21249,-1.60400282485541,1.1800869718302,0.17494324331086
8,1,27243,0.00709405239447491,0.16140852921614,0.964968381567788
9,1,27272,-0.000122999648936917,0.158984974196944,0.999383149053271
10,1,27498,-0.899537324881954,1.45102712802269,0.535702890871937
11,1,27561,0.757751113345969,1.09606296546721,0.489806907116287
12,1,27816,0.00394399945597446,0.162228897883625,0.980618016653701
13,1,27822,-0.00186560549866366,0.162022816242007,0.990819496499277
14,1,27823,-0.0149980904266356,0.165358241472896,0.927781943746845
15,1,27825,0.00834816050171916,0.162022237410699,0.958936498207955
16,1,27843,0.0016908211637897,0.155223307043697,0.991315104073983
17,1,27848,0.0016908211637897,0.155223307043697,0.991315104073983
18,1,28495,0.000226649553420444,0.155225846014576,0.998835811874352
19,1,28975,-0.00423943141281749,0.154188085445709,0.978080309725967
20,1,29283,-0.336731598481554,0.345078504000602,0.329826076733298
21,1,29752,-0.0087089314940183,0.360253190945674,0.980727098263464
22,1,29787,3.08203878878194,0.960904727997468,0.00146171876507252
23,1,30057,-0.0661514295890964,0.316047518453592,0.834328159909691
24,1,30479,-0.393809002639325,0.925876724155981,0.670850691340418
25,1,30706,-0.0708226057408703,0.15919344928846,0.656676303142644
26,1,31435,-0.0508353930056046,0.153755927970208,0.741124699559608
27,1,35128,0.366375298443275,0.211055633918575,0.0834508793558029
28,1,35129,0.00813029280014987,0.212496903543173,0.96950140597166
29,1,36146,-0.112468718942722,0.152869621779192,0.462391742349772
30,1,37255,0.0575908574224844,0.308778437536188,0.852150476448198
31,1,37409,-0.0113476005344556,0.153812771730597,0.941230879095172
32,1,37478,-0.0322355188095805,0.153936621035434,0.834250753426763
33,1,39144,0.0219152943377207,0.153239247248782,0.886361048713019
34,1,41499,0.0290017637593083,0.152810826466003,0.849583817996014
35,1,45359,-0.244122979797697,0.256946153506118,0.342714548448685
36,1,45634,-0.085451257240035,0.236270529838248,0.717817263652303
37,1,51248,-0.0391925251990647,0.153454912035459,0.798562208641091
38,1,51462,-0.0372915869934188,0.153664376743734,0.808392652379997
39,1,52124,-0.0318161742070512,0.153459746638213,0.835874926505727
40,1,52667,-0.12331517332243,0.153082496469867,0.421046271925634
41,1,55470,-0.0128473965384306,0.157391491104071,0.934989585185642
42,1,59265,-0.0867630216270358,0.15307619718884,0.571212797660645
43,1,60165,-0.033156678542166,0.153019933800204,0.828581279072157
44,1,62308,0.0900778609170065,0.152786606285196,0.555858479182047
45,1,62869,0.140033277649961,0.15266077846625,0.359620148689766
46,1,65431,0.0983110867860939,0.159543093468582,0.538157058228793
47,1,65451,0.107333715733494,0.157261742763832,0.495360117243816
48,1,65719,0.168951725462446,0.163856459370644,0.303201773823418
49,1,66841,0.168474487032908,0.152651503466775,0.270494906150544
50,1,66948,0.129102697797285,0.15369957562092,0.401494959933419
51,1,68621,-0.12562014963351,0.153290563593303,0.413059602913413
52,1,69417,-0.0206792909136833,0.153026151571049,0.892581633062807
53,1,69820,-0.158300989324204,0.598752199717266,0.791637703652663
54,1,69821,0.0197976007294027,0.371537827614554,0.95753452853512
55,1,70906,-0.0889691754482982,0.245779385334479,0.717577632380721
56,1,74327,0.03166032529964,0.153862230407104,0.837088714791507
57,1,74572,0.0440141630033966,0.1534439214282,0.774401583010574
58,1,75211,0.0321443124490089,0.153172501245025,0.833900396805752
59,1,76030,0.087500420188404,0.15311124357478,0.568036196657035
60,1,80108,-0.0297318042183994,0.153137661034811,0.846169459728726
61,1,81262,0.0224385956672194,0.153083282050381,0.883549027527775
62,1,81999,-0.0606693196289852,0.153427826269571,0.692767533464757
63,1,82431,-0.142273445960529,0.154002190201195,0.356200471370462
64,1,83284,-0.0859213830930164,0.152997915743222,0.574754943794078
65,1,83613,-0.0578848533256689,0.153018366863099,0.705444815192283
66,1,84112,-0.0950377129139894,0.152982642477066,0.534847929960124
67,1,84701,-0.0916661861658385,0.163834740819271,0.576172650878049
68,1,84858,0.013729335761053,0.153496506971722,0.928779812004566
69,1,85751,-0.0363809629018783,0.154117000225835,0.813522494167712
70,1,87445,-0.0826568331856985,0.154392315502699,0.592731950950951
71,1,87467,-0.152431122989094,0.15505144717888,0.326231398279139
72,1,89070,-0.086798981333072,0.154222635597038,0.573917386969465
73,1,89616,-0.0674554895712941,0.153419799136288,0.660438545892462
74,1,89679,-0.098627306248838,0.153391439297128,0.520655863290398
75,1,89880,-0.059361499860189,0.153487609688631,0.69917352629305
76,1,91472,-0.0624590203688356,0.154623939181509,0.686500365688671
