SNP,Chr,Pos,Effect,SE,SSH1_ERG11_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0540286872095411,0.188819278740243,0.774938992968411
2,1,1035,0.0539586104880151,0.190885478770705,0.77759142759642
3,1,1074,0.129520937787829,0.322545869261082,0.688252189808156
4,1,1470,0.0187205220826012,0.321456186247676,0.953593102803943
5,1,1475,0.209187219683905,0.237008416833152,0.378044880167508
6,1,1491,0.0971549548531723,0.207485982028157,0.639896035759066
7,1,21249,-1.15553394651364,1.18995000843771,0.332174481925491
8,1,27243,-0.194406326336649,0.162220781783766,0.231563016753471
9,1,27272,-0.0429273239509549,0.160093001639403,0.788748241449555
10,1,27498,-0.380752469639882,1.46194347956271,0.794674183655881
11,1,27561,1.3390233715648,1.1022596296036,0.22525489668487
12,1,27816,0.0464086923610373,0.163357632123974,0.776505992689489
13,1,27822,0.0315475702710494,0.163160020864109,0.846793289929829
14,1,27823,0.0365816013947621,0.166518200870148,0.826243231955948
15,1,27825,0.0545532386471906,0.163142824108426,0.738284284964104
16,1,27843,0.0197243444116084,0.156317536184648,0.899660278235484
17,1,27848,0.0197243444116084,0.156317536184648,0.899660278235484
18,1,28495,0.0373475782458371,0.156310953529537,0.811297513750611
19,1,28975,0.0136900588963146,0.155276949198777,0.929795188290602
20,1,29283,-0.453796320691696,0.347148046334555,0.191991331329821
21,1,29752,0.0970813224515119,0.362764378362642,0.789151694564669
22,1,29787,2.09149695433301,0.97536806906633,0.0326900078744904
23,1,30057,-0.0306200775251639,0.318298161654739,0.923416833904666
24,1,30479,1.259494763991,0.930251093598927,0.176624904042015
25,1,30706,-0.0509760408074751,0.160341238310696,0.750731932056162
26,1,31435,-0.0157967578734396,0.154864969577358,0.918811869903094
27,1,35128,0.427798735862352,0.212235592987563,0.0445909455277234
28,1,35129,0.096405100935856,0.213938586254435,0.652539776190913
29,1,36146,-0.0568407070137025,0.154038985289747,0.71234739488396
30,1,37255,0.0465616030649656,0.310967543333636,0.881062051350661
31,1,37409,0.0330511042423944,0.154891729739022,0.831152217239908
32,1,37478,0.0283744363611056,0.15502752271823,0.854880826152239
33,1,39144,-0.0204543962837478,0.154323574909963,0.894630912892402
34,1,41499,0.0161002381611808,0.153896959180875,0.916739140703409
35,1,45359,-0.28012117402775,0.258664568197224,0.279569130582068
36,1,45634,-0.155215219031926,0.237842066805747,0.514440328639858
37,1,51248,-0.143055613923025,0.154366745177625,0.354702182363872
38,1,51462,-0.123232549239575,0.154624938885147,0.425999989975325
39,1,52124,-0.0696708177154542,0.15450992035902,0.652327772006071
40,1,52667,-0.1659664493807,0.154053667141431,0.282069081831475
41,1,55470,-0.185661004962078,0.158197719999847,0.241346100536027
42,1,59265,-0.0323470544430712,0.154219263719278,0.833986006812391
43,1,60165,-0.0529285760909118,0.154086577871097,0.73142763146431
44,1,62308,-0.207696593394904,0.153545412455156,0.177026197801444
45,1,62869,-0.205676943981254,0.153533730021164,0.18123051770402
46,1,65431,-0.189261969540363,0.160441841383504,0.238941886152668
47,1,65451,-0.162818407211739,0.158241235277329,0.304219278687422
48,1,65719,-0.167908623689954,0.165021734235393,0.309615341366289
49,1,66841,-0.174393625200097,0.153716056143794,0.257347156121493
50,1,66948,-0.212348866464931,0.154528368524057,0.170259518447671
51,1,68621,-0.384466350547994,0.153160455179631,0.0125122687095286
52,1,69417,-0.275436896200203,0.153413471278456,0.0734469155835355
53,1,69820,-0.582540813699278,0.602248630428628,0.334068167700958
54,1,69821,-0.515191402718969,0.373160697235462,0.168270783813181
55,1,70906,-0.0568666856387177,0.247544952163593,0.81844033601589
56,1,74327,-0.269612772431203,0.154293752209059,0.0814376856602456
57,1,74572,-0.239262059325272,0.154021515123534,0.121215855359274
58,1,75211,-0.207962712479807,0.153867737734474,0.177379005901025
59,1,76030,-0.171507793231849,0.153995030080788,0.266155839325518
60,1,80108,-0.199452806136192,0.153863089040645,0.195718783926563
61,1,81262,-0.208766251980672,0.153769627452337,0.175440125293467
62,1,81999,-0.181417626127405,0.15424513575099,0.240321790016069
63,1,82431,-0.188763836663487,0.154953289661983,0.223962193153911
64,1,83284,-0.113317907219696,0.15403068271526,0.462411569472185
65,1,83613,-0.0842666087958246,0.154066464773073,0.584758864080975
66,1,84112,-0.134969428562511,0.153981240177255,0.38133718065953
67,1,84701,-0.0948929107448143,0.164989224371387,0.565558887197003
68,1,84858,0.00160589498953265,0.154583751313686,0.991717185118291
69,1,85751,-0.141294572254795,0.155036867475581,0.362727061382984
70,1,87445,-0.134894884276561,0.155381488221551,0.385900468475736
71,1,87467,-0.197909178837632,0.156006359659445,0.205420809710678
72,1,89070,-0.162274829988704,0.155142724434294,0.296289995740025
73,1,89616,-0.124426103446093,0.154405116785027,0.420876555113419
74,1,89679,-0.15827431506435,0.154336911573081,0.305824008156071
75,1,89880,-0.141533498673023,0.154422177166827,0.360011507883423
76,1,91472,-0.105844613277652,0.155651498583514,0.496943683715369
77,1,93789,-0.0960411980311647,0.154063940555787,0.533433915826004
78,1,94351,-0.10570453843054,0.154451977750313,0.494181468372563
79,1,99148,-0.0845159911991669,0.154083071255938,0.583689002086102
80,1,101281,0.836645229834382,1.68529465436626,0.619894021024144
81,1,106011,-0.03564664888302,0.160640681454582,0.824517715408768
82,1,106800,-0.0561757599950196,0.154327687989817,0.716073603130228
83,1,107970,-0.0391354055381121,0.153885248218753,0.799399895276457
84,1,109000,0.00398963769817867,0.154170421322281,0.979369189990076
85,1,112549,-0.205785238894204,0.15360604590485,0.181206361400042
86,1,112742,-0.133350598988824,0.154433003805382,0.388457109940328
87,1,113050,-0.0576314263197056,0.154305454445923,0.709008553229434
