SNP,Chr,Pos,Effect,SE,HUG1_ADE17_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0694968825978874,0.179436900292141,0.698763525022023
2,1,1035,-0.0211115160295853,0.181434984137145,0.907434533552499
3,1,1074,0.046688789562026,0.30660816102562,0.879056955819653
4,1,1470,-0.127272179093482,0.30543894708847,0.677161244197052
5,1,1475,0.0496864641874275,0.225486165260067,0.825723935933226
6,1,1491,0.0301398911122368,0.197249791095917,0.87864280840415
7,1,21249,-0.687942553314537,1.13184826516273,0.543707914293909
8,1,27243,-0.124212706693768,0.154346734709298,0.421497518196839
9,1,27272,0.0148686518095187,0.152166137961415,0.922215430531715
10,1,27498,-0.304511015355835,1.38947290141058,0.826655362638575
11,1,27561,1.33295134119432,1.04737710541081,0.203977526313919
12,1,27816,0.097520664759696,0.155186381284444,0.530141797903717
13,1,27822,0.0998126040838493,0.154984791051112,0.519983613413472
14,1,27823,0.125446399091589,0.158129142911133,0.428126565205562
15,1,27825,0.108285092721806,0.154968676913676,0.485165436303389
16,1,27843,0.0571397558886848,0.148536711063204,0.700702905492721
17,1,27848,0.0571397558886848,0.148536711063204,0.700702905492721
18,1,28495,0.0534752310343138,0.14854298243018,0.719063641702096
19,1,28975,0.0913791315364613,0.147496974929201,0.535965446908787
20,1,29283,-0.111520397961325,0.330674513036841,0.73612793019905
21,1,29752,0.0318081745209247,0.344802789937237,0.926551473141516
22,1,29787,1.97091338036265,0.927093630722346,0.0342048040978362
23,1,30057,-0.270241415744404,0.302173024642488,0.371756449814847
24,1,30479,0.659526063926736,0.885709737630695,0.456990841501114
25,1,30706,0.0214057818605204,0.152406182751823,0.888382834568652
26,1,31435,0.0292474413233269,0.147177906417477,0.842594864304683
27,1,35128,0.377691097012256,0.201868162485359,0.0621750829808817
28,1,35129,0.1236448220914,0.203279625045982,0.543412863866573
29,1,36146,-0.0367504337222092,0.146414119657096,0.801957565007172
30,1,37255,0.0157654942623342,0.295552354325776,0.957489212180646
31,1,37409,0.0473648497306428,0.147197309866342,0.747811372208943
32,1,37478,0.0567268250150363,0.147314514105077,0.700415328491326
33,1,39144,-0.0110448703018314,0.146671898442197,0.940016094339839
34,1,41499,-0.0758939422023566,0.146210449009714,0.604034887078077
35,1,45359,-0.324642219047424,0.245636362816397,0.187144790453196
36,1,45634,-0.19895433959788,0.225933864663814,0.379140726418331
37,1,51248,-0.105932234830599,0.146780566212148,0.470953770681538
38,1,51462,-0.127165533103608,0.146932190381459,0.387368188229685
39,1,52124,-0.0704669768584907,0.146840924542613,0.631605309227127
40,1,52667,-0.121215183656593,0.146511425750976,0.408601681908996
41,1,55470,-0.154757152325967,0.15041910217947,0.304259415325994
42,1,59265,0.0318928712015294,0.146569593205555,0.827870078711312
43,1,60165,0.000332029060977325,0.146468656151017,0.998192561557285
44,1,62308,0.0528497231912171,0.146280530682371,0.718098650381585
