SNP,Chr,Pos,Effect,SE,MID2_PIN2_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.255272071586025,0.162089879527025,0.116179969190779
2,1,1035,0.181349187456515,0.164154258528667,0.270020969106566
3,1,1074,0.238468620111439,0.27759827664637,0.390900222607167
4,1,1470,-0.125613350772103,0.276806843403557,0.650255790487819
5,1,1475,0.0842994582635139,0.204323043868789,0.680165331513793
6,1,1491,-0.0217977514575465,0.178769751774023,0.903022263042359
7,1,21249,-0.504062586679848,1.02598067636538,0.623520781647738
8,1,27243,-0.0468520899349261,0.139990593608497,0.73806505586118
9,1,27272,-0.0151799380521123,0.137907760840606,0.912413933040901
10,1,27498,-1.03875770639654,1.2581516184247,0.409576147973968
11,1,27561,1.05419132924746,0.949757750885371,0.267772608342076
12,1,27816,0.0194687844955647,0.140720343366391,0.890041996782486
13,1,27822,0.0234210117065817,0.14053977497556,0.867740539424737
14,1,27823,0.0199432108151288,0.143436306317654,0.889498781974259
15,1,27825,0.0222523261321501,0.140540312942575,0.874284065272586
16,1,27843,0.0744089167569173,0.134588868532579,0.580708621384762
17,1,27848,0.0744089167569173,0.134588868532579,0.580708621384762
18,1,28495,0.0956441719959719,0.134553041010644,0.477659740040122
19,1,28975,0.0418411327636177,0.133730710054199,0.75455961673622
20,1,29283,-0.416643218353116,0.298917346149734,0.164242472336218
21,1,29752,-0.25652989707216,0.312200321295831,0.411811587553438
22,1,29787,2.57252535374124,0.834427972406883,0.00221069744239775
23,1,30057,0.0586949509516828,0.274151872660618,0.830595434165726
24,1,30479,1.08545414796089,0.801269393570096,0.176389677893532
25,1,30706,-0.0213816939664896,0.138124986508393,0.877067769725422
26,1,31435,0.0142645591774332,0.133392725482782,0.914900056739748
27,1,35128,0.196894627485596,0.183559232028548,0.284161373317782
28,1,35129,0.0233575878936589,0.184324773008246,0.899234367163587
29,1,36146,-0.081671563474423,0.132635832834748,0.538451119120064
30,1,37255,-0.0318442154451866,0.267854993998282,0.905433278743849
31,1,37409,-0.0137644032888793,0.133422562865848,0.917891405135219
32,1,37478,-0.0442738168440296,0.133518478427758,0.740393245828293
33,1,39144,-0.112319736796615,0.132795403078253,0.398231468250722
34,1,41499,-0.137535170574507,0.132358906560423,0.299465818219916
35,1,45359,-0.404019660001287,0.222132067538633,0.0697851124197816
36,1,45634,0.00588439033137478,0.204988536873635,0.977115334202331
37,1,51248,-0.144783391444436,0.13290219996379,0.276721545888753
38,1,51462,-0.131757298095116,0.133121355827924,0.322972660263246
39,1,52124,-0.108113619357542,0.133000999211763,0.416835756488194
40,1,52667,-0.188944594242354,0.132531072030105,0.154849411636294
41,1,55470,-0.19545671379632,0.13613224308048,0.151948883628118
42,1,59265,-0.0527425041380959,0.132815355602797,0.691525235624596
43,1,60165,-0.0369474385727376,0.13273006523732,0.780894970840426
44,1,62308,-0.0892063292011113,0.132513609241254,0.501269337913479
45,1,62869,-0.0731869686624389,0.132524751809766,0.58112565837814
46,1,65431,-0.0461706398030596,0.138446867868989,0.738962471537126
47,1,65451,-0.0526730355670012,0.136476512653663,0.699766601956208
48,1,65719,0.00371124675016027,0.142349597774191,0.979215157529217
49,1,66841,0.00411352291691008,0.132644292126017,0.975277747484019
50,1,66948,-0.0305568675921419,0.133448617475155,0.819018208722487
51,1,68621,-0.205694908594377,0.132645950018799,0.121868137226751
52,1,69417,-0.176600442400347,0.132411430485869,0.183153883003743
53,1,69820,-1.03437843046716,0.516507958321409,0.0459805251072828
54,1,69821,-0.406343562460917,0.321562054491454,0.207187688815475
55,1,70906,0.00952826552154296,0.213238144917936,0.964384706110556
56,1,74327,-0.126174491537682,0.133305402234525,0.344537521691956
57,1,74572,-0.106444013790986,0.132998487762585,0.424052105671956
58,1,75211,-0.11101303478174,0.132745001788368,0.403558712405033
59,1,76030,-0.0741069541512882,0.132817881922044,0.577225952190365
60,1,80108,-0.154140051037573,0.132591450207239,0.245810121535658
61,1,81262,-0.139679325727521,0.132586530751368,0.292834474763645
62,1,81999,-0.239922205088803,0.132505199730306,0.0710431557676575
63,1,82431,-0.278501452600736,0.132925305590194,0.0368677812002608
64,1,83284,-0.22945691222,0.13221311969645,0.0835235549082477
