SNP,Chr,Pos,Effect,SE,ERV25_UIP4_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.126906942571101,0.121414276601415,0.296627716401856
2,1,1035,-0.126728906688799,0.122747148484693,0.302573466928721
3,1,1074,-0.241690583570357,0.207348336437676,0.244552736920844
4,1,1470,0.193675101037989,0.206742035221934,0.349503988152126
5,1,1475,-0.0708098497068992,0.152740556401746,0.643223226722441
6,1,1491,-0.00543151492595428,0.133649293322872,0.967605824896277
7,1,21249,0.307553718478922,0.767102242581946,0.688714787206418
8,1,27243,0.137968271667509,0.104414512511303,0.187239983340633
9,1,27272,0.111449222216471,0.102929689052353,0.27964939360657
10,1,27498,-0.418876736360442,0.941227472502514,0.656569090455917
11,1,27561,0.298335952538762,0.711091754839973,0.675072096659053
12,1,27816,-0.156631239555672,0.104873391907829,0.136192566642301
13,1,27822,-0.143403215666944,0.10479291771292,0.172043507781705
14,1,27823,-0.183042536655107,0.106791266929713,0.0874025789896116
15,1,27825,-0.145280382849126,0.104785592780732,0.166483393546859
16,1,27843,-0.110410906785078,0.100489396268527,0.272633831515397
17,1,27848,-0.110410906785078,0.100489396268527,0.272633831515397
18,1,28495,-0.10019124775649,0.100521360985533,0.319585118037773
19,1,28975,-0.0977237233517926,0.0998544634511971,0.32841746209852
20,1,29283,-0.00820635433038142,0.22408181893011,0.9708069959491
21,1,29752,-0.673336292358454,0.230856295855847,0.00376395927163319
22,1,29787,-0.671964052696668,0.631141422191784,0.287748188406755
23,1,30057,0.071318042146439,0.204931832737566,0.728041149410543
24,1,30479,-1.0710967877083,0.597865577729842,0.0740640369495263
25,1,30706,-0.120589802106191,0.103064947981198,0.242775423272232
26,1,31435,-0.117320095473456,0.0995292289985876,0.239291596116255
27,1,35128,0.138255464613984,0.137253709512698,0.314481281660652
28,1,35129,-0.0316710685970456,0.137792503358621,0.818344493715539
29,1,36146,-0.121954775750729,0.0989981236705681,0.218810223837716
30,1,37255,0.0894043552332713,0.200193646662496,0.655445413174609
31,1,37409,-0.0517827815954296,0.0997090263724965,0.603849854386994
32,1,37478,-0.0656267223226703,0.0997717328949832,0.511115468437322
