SNP,Chr,Pos,Effect,SE,FMP45_MEP1_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.00326027754918989,0.0723689973510196,0.964092331715435
2,1,1035,-0.0335020308482106,0.0731391853763666,0.647192199966623
3,1,1074,0.0796740047798865,0.123564056229201,0.51947613099137
4,1,1470,-0.176382650868384,0.122833341589105,0.151901858412337
5,1,1475,0.00707520604830414,0.090927621900812,0.938022159749613
6,1,1491,-0.0365799716273247,0.0795152733921588,0.645772852261462
7,1,21249,0.564719916337754,0.455640425534186,0.216021437896625
8,1,27243,0.0491297684528891,0.0622389563428355,0.430423748446132
9,1,27272,0.00226933821583652,0.0613582323725112,0.970517820095993
10,1,27498,0.601066866340621,0.559397301258687,0.28333697509287
11,1,27561,-0.201789058566879,0.423162406490553,0.633757160704473
12,1,27816,-0.0141369654884455,0.0626058357609952,0.821480604280509
13,1,27822,-0.022888117767486,0.0625189141896362,0.714510441336944
14,1,27823,-0.0153950354533919,0.063813520700736,0.809501143348234
15,1,27825,-0.0210436544410658,0.0625207499933454,0.736628470602578
16,1,27843,0.0378178136442909,0.0598727659086864,0.528033362518684
17,1,27848,0.0378178136442909,0.0598727659086864,0.528033362518684
18,1,28495,0.0589944280114239,0.059825216347972,0.324753039731083
19,1,28975,0.04983378457338,0.0594479718386701,0.402443180180306
20,1,29283,-0.0187764613405594,0.133354683276108,0.888107531703849
21,1,29752,-0.301681916322213,0.138105228832172,0.029587654475745
22,1,29787,0.0176121710469266,0.376213640338404,0.962687720030876
23,1,30057,0.217573795632535,0.121431406167269,0.0740306443994579
24,1,30479,-0.759821728987276,0.355127344735531,0.0330744119520801
25,1,30706,0.0445457637486922,0.0614102796653674,0.468699781357849
26,1,31435,0.0264976232698353,0.0593326911998659,0.655442082887516
27,1,35128,-0.116091191280735,0.0815676346162431,0.155546690273632
28,1,35129,-0.122202479615448,0.0817524846285217,0.135863650014354
29,1,36146,-0.00182830438656567,0.0590433394687271,0.975314582349248
30,1,37255,0.0815215535798082,0.119096207351089,0.494107583776723
31,1,37409,0.0651389080282192,0.0592613301124516,0.272438357177791
32,1,37478,0.0489920697068823,0.05935644039506,0.409709015114521
33,1,39144,0.0301825156442637,0.0591207482552236,0.610004036853688
34,1,41499,0.0165065739399984,0.0589719775381692,0.7797140425989
35,1,45359,0.0173421390952884,0.0992877174712104,0.861442609761649
36,1,45634,0.0870817041148797,0.0910848327157351,0.339700968737268
37,1,51248,0.0420275822301458,0.0591873062034961,0.478124805169846
38,1,51462,0.0305786194776806,0.0592875422123811,0.606339306271077
39,1,52124,-0.00126511502502792,0.0592295231650361,0.982970921413729
40,1,52667,-0.00842518526870958,0.0591329378145892,0.886783173688363
41,1,55470,-0.026869893045417,0.0607271009494748,0.658420444954995
42,1,59265,-0.0473560990253938,0.0590510382491328,0.423120242261053
43,1,60165,-0.0244367275419859,0.0590458192361776,0.679227665000222
44,1,62308,-0.102293749306454,0.0587434187861473,0.0824907334335338
45,1,62869,-0.115526081469181,0.0586664298394539,0.0497115802981978
46,1,65431,-0.0600410050576401,0.0615239197254164,0.32978382705731
47,1,65451,-0.0449631090566303,0.0606861554640409,0.459239280698049
48,1,65719,-0.0434264308667341,0.063291410841294,0.493078599713604
49,1,66841,-0.0516478603795413,0.0589515225697,0.381567472469629
50,1,66948,-0.0720397052636325,0.05925383774331,0.224880683936973
51,1,68621,0.0487368257685661,0.0591600673891714,0.410602125705418
52,1,69417,0.0516862242859655,0.058996038265183,0.381573330167712
53,1,69820,-0.281217629907107,0.230618926148226,0.223505056342933
54,1,69821,-0.052842460614694,0.143363576534897,0.712653888037138
55,1,70906,0.0097136819680772,0.0948718122234122,0.918507289374576
56,1,74327,-0.0464917502049837,0.0593332731895258,0.433818103617572
57,1,74572,-0.0159937688921565,0.0592206313766602,0.787263531141701
58,1,75211,-0.0281787685277379,0.0590997565843259,0.633799511615476
59,1,76030,-0.0379629026072296,0.0590842447140461,0.520951657776236
60,1,80108,-0.037134269410312,0.0590717505070028,0.529997910094768
61,1,81262,-0.0767604207667836,0.0589410348180552,0.193654148465901
62,1,81999,-0.0743872819557808,0.0590942660714886,0.208937956520719
63,1,82431,-0.024773031496865,0.0594925034334847,0.677366053875939
64,1,83284,-0.0720674594709067,0.0589494266021845,0.222322776810838
65,1,83613,-0.0624972287159511,0.0589738420326982,0.289985237740213
66,1,84112,-0.0726566630332811,0.0589473776598563,0.218557178977385
67,1,84701,-0.109577268198227,0.0629886610219666,0.0827947720995421
68,1,84858,-0.0699994661838881,0.0591235422871337,0.237228481675911
69,1,85751,-0.059617028991434,0.0593996172771731,0.316229934646637
70,1,87445,-0.0686547187167579,0.0594979500020393,0.249321569002097
71,1,87467,-0.065516727519581,0.0598205662222155,0.274166608948895
