SNP,Chr,Pos,Effect,SE,ALO1_ADE17_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0226474170489144,0.0801299311522733,0.777623313733266
2,1,1035,0.0999450287928821,0.0808408805923535,0.217162391616879
3,1,1074,0.0430889045899647,0.136891639062434,0.753124904388256
4,1,1470,-0.160325696892743,0.136150662605176,0.239765008659526
5,1,1475,-0.0583166162762065,0.100642917401191,0.562661351693129
6,1,1491,-0.0184914060459791,0.0880731821639162,0.833823910536416
7,1,21249,-0.521870338585122,0.504892605259425,0.302018443115367
8,1,27243,-0.0999847741165723,0.0687763568618312,0.146899477433491
9,1,27272,-0.0793650846675522,0.0678145471762803,0.242659553330551
10,1,27498,-0.101322416026103,0.620444742028566,0.870370877276392
11,1,27561,-0.0657265223413379,0.468732340594995,0.888564672354111
12,1,27816,0.031311836894781,0.0693123747725765,0.651726822913639
13,1,27822,0.0295328624863951,0.0692264451206929,0.66992168670375
14,1,27823,0.0169291381828012,0.0706648273378888,0.810803045827262
15,1,27825,0.020579317874915,0.0692356249113062,0.766461198504694
16,1,27843,0.0294438975368653,0.0663198427055623,0.657337638968551
17,1,27848,0.0294438975368653,0.0663198427055623,0.657337638968551
18,1,28495,0.0842438869611332,0.0661877259991127,0.203925866334099
19,1,28975,0.0158717038430052,0.0658905739048008,0.809788173312638
20,1,29283,-0.00967531860506909,0.147675321716121,0.947799057657567
21,1,29752,-0.179251075816252,0.153666950133672,0.244203539814507
22,1,29787,-0.159231748563309,0.416520232352501,0.702475917756016
23,1,30057,0.136625912051221,0.134882869929632,0.311790888984836
24,1,30479,0.233964958227526,0.395600715034883,0.554619632260346
25,1,30706,0.0361388466503868,0.0680269613021273,0.595584506180742
26,1,31435,0.0509316889474687,0.0656654685655703,0.438490548976467
27,1,35128,-0.193270882573882,0.0899978050042157,0.0324334011716361
28,1,35129,-0.0206051248639225,0.0908091344777989,0.82062828957947
29,1,36146,0.0523344106103356,0.0653231503619277,0.423576921227094
30,1,37255,0.0652071708745385,0.131924612842379,0.621418708654696
31,1,37409,0.0355725639533679,0.0657087542759946,0.588596007845942
32,1,37478,0.0511670239097963,0.0657361475023812,0.436872525794097
33,1,39144,-0.0615613410678693,0.0654102922352937,0.347268117434714
34,1,41499,-0.0194050367652552,0.0653024790085528,0.766522039943111
35,1,45359,-0.149054051194334,0.109665739320071,0.174961370066788
36,1,45634,-0.0383806086886542,0.100973833500012,0.704096440662394
37,1,51248,-0.0446333380986499,0.0655456029160277,0.496348980779837
38,1,51462,-0.0466075840825288,0.0656307124936523,0.478080614071834
39,1,52124,-0.0337048687537252,0.0655641008584474,0.607521174211262
40,1,52667,-0.0530223125685947,0.0654226848471272,0.418223259432637
41,1,55470,-0.0217483699182426,0.0672556435775119,0.74660751150645
42,1,59265,-0.0251458983083159,0.0654368033972864,0.701004083075198
43,1,60165,-0.0269454346111828,0.0653853035835446,0.680514572708155
44,1,62308,-0.0295874652173309,0.0653101201511933,0.650805229353744
45,1,62869,-0.0577015370232007,0.0652486614081577,0.377118462536756
46,1,65431,0.012494066454003,0.0682179281210985,0.854786013551988
47,1,65451,0.0252439013787725,0.0672404270184905,0.707568085616801
48,1,65719,-0.0284669160422627,0.070116933081136,0.684994445412562
49,1,66841,-0.0359617593500779,0.065323647429227,0.582313223169137
50,1,66948,-0.00887325309175835,0.0657510581947224,0.892726544961759
51,1,68621,-0.0292551230061939,0.0655561390928813,0.655682616892517
52,1,69417,-0.0834853238962837,0.0652499062684654,0.201571779622039
53,1,69820,0.253152659817486,0.255561274529116,0.322571554925587
54,1,69821,0.0933136031638053,0.158708407987267,0.55693759054399
55,1,70906,-0.137870014468179,0.104802531107673,0.189188375238375
56,1,74327,-0.0844982101680833,0.0656066311049193,0.198606221185684
57,1,74572,-0.0786714859380938,0.065451721607108,0.23017802423071
58,1,75211,-0.0715339584505459,0.0653551596426545,0.274463670450477
59,1,76030,-0.0517079759795557,0.0654080934098165,0.429740908088589
60,1,80108,-0.098187971171302,0.0652415146563918,0.133220295318774
61,1,81262,-0.067871407201408,0.065325940651472,0.299531835921039
62,1,81999,-0.105286065776708,0.0653456831504997,0.108026203117731
63,1,82431,-0.0860242585223875,0.0657367301841744,0.191515170081918
64,1,83284,-0.123785270462859,0.0650838514481601,0.0579934194556897
65,1,83613,-0.127800994068342,0.0650546126130676,0.0502540887989561
66,1,84112,-0.0979805491113164,0.0652082745154447,0.133841811673707
67,1,84701,-0.0414645720683275,0.0700149103705373,0.554079142634596
68,1,84858,-0.0594898792727979,0.0655246412512589,0.364549975863679
69,1,85751,-0.0918476527258425,0.0656890858563662,0.162925499148181
70,1,87445,-0.0627752792086135,0.0659253693008709,0.34163831039264
71,1,87467,-0.0701921562476704,0.0662502941349285,0.290096751938586
72,1,89070,-0.059734816852442,0.0658635573899338,0.365053014946889
73,1,89616,-0.023020594576341,0.0655740783041387,0.725750947339557
74,1,89679,-0.0346101107678791,0.0655679580322287,0.597934407661075
75,1,89880,-0.0357685832438489,0.0655828236955863,0.585825912582475
76,1,91472,0.0167878203962546,0.0660914219764019,0.799636442896947
77,1,93789,0.0380794599343555,0.0653850693073557,0.560677356437041
78,1,94351,0.0266190183537476,0.0655733346465845,0.685030638121229
79,1,99148,0.0193919133987069,0.0654083311111492,0.767041961004312
80,1,101281,0.88397987733444,0.71389355209653,0.216445610337194
81,1,106011,-0.0196041969049537,0.0681682531184845,0.773832849168558
82,1,106800,-0.00546205044246389,0.0655040680994768,0.933592756140588
83,1,107970,-0.0329271530726634,0.0652871282353913,0.614334511349063
84,1,109000,-0.0898128495414493,0.0652508799349307,0.169562977352854
85,1,112549,-0.0544347239730997,0.0652874286835161,0.404974214897361
86,1,112742,-0.01549508321293,0.0656011095888615,0.81341327386125
87,1,113050,-0.0621735438374552,0.0654122741804243,0.342514942887844
88,1,113135,-0.0649866316724561,0.0652374724852569,0.319857206564302
89,1,114076,-0.0393206308494667,0.0652955726796982,0.547431319701602
90,1,114628,-0.0183543642081023,0.0654870883062368,0.779431050615337
91,1,116283,-0.0327369893379078,0.0658355939443378,0.619319762735672
92,1,126880,-1.84667933040628,1.23178142161692,0.134717068606234
93,1,127853,0.0503964622041981,0.0656812774015441,0.443423132762707
94,1,128302,0.0414881683105124,0.0654462816964366,0.526538983979927
95,1,128704,0.034664025948887,0.065522737699719,0.597111505599523
96,1,128911,0.0284410800096662,0.0655384829183069,0.664582591857775
97,1,130267,0.0341217274100567,0.0654997150387298,0.602731940861489
98,1,130271,0.0421852380015122,0.0655642228810269,0.520370303586494
99,1,130613,0.0848726710485629,0.0660614426967914,0.199720833968715
100,1,132012,-0.0416606083676868,0.0660379453822373,0.528541184279554
101,1,133231,-0.0137202540664139,0.0656022291476403,0.834457161759754
102,1,137074,-0.0361552250840203,0.0654847192356195,0.581217592049016
103,1,137304,-0.024862378648893,0.0655223978480671,0.704582965566588
104,1,139686,-0.0366882501263963,0.0655928231243782,0.576288969056135
105,1,149562,-0.0364922484586936,0.0657429040628645,0.579194855915857
106,1,150447,-0.051253673799261,0.0664451687557324,0.441004893466748
107,1,151446,0.0447149611439634,0.133576945525252,0.738012053145805
108,1,154084,-0.0125186192738782,0.0667032705569518,0.851238284463714
109,1,156633,-0.00718566169468711,0.0676200545833197,0.91543226785278
110,1,157269,0.0137829903526245,0.0654918164184743,0.833435065304984
111,1,160054,0.00282414809832221,0.0661180184846501,0.965953873467579
112,1,166222,-0.00778817179696933,0.0656278531155224,0.905602924508825
113,1,166416,0.00707174411143596,0.0654948433729181,0.914077613372182
114,1,167326,0.0149913298642679,0.0658632752635093,0.820078978429051
115,1,168836,0.0404836945339232,0.0655205415937647,0.537054238489111
116,1,171200,0.0215441704833045,0.0656441228229187,0.74295768894413
117,1,171431,-0.00656063109372224,0.0660630969482844,0.920949652511678
118,1,173339,-0.00632989315300242,0.065549396470677,0.923125251356695
119,1,173845,0.000734738266054302,0.0654959132272241,0.99105579364959
120,1,175121,0.0531101587908932,0.0653049138741403,0.416614693284638
121,1,175281,0.047239542778522,0.0653732911080682,0.470396584338849
122,1,175315,0.0501972412137411,0.0653464352747389,0.442899124944196
123,1,175523,0.0497401440500801,0.0657182864985544,0.449633117776977
124,1,175541,0.0488557558517294,0.0654515280809999,0.455897408169546
125,1,175653,0.0445224724883347,0.0656676928807201,0.498218013823419
126,1,175805,0.0137749144709115,0.0694231476848168,0.842830992017451
127,1,175818,0.0274227005980077,0.0678163077277642,0.686187495717073
128,1,175856,0.00162369303706017,0.0667951788974575,0.980620239382847
129,1,175876,0.0344208277476812,0.0657460687511846,0.600925644700997
130,1,175989,0.0419759275518715,0.0659213979042187,0.524695681271634
131,1,176001,0.0408416358774313,0.066267294613986,0.538082794733943
132,1,176451,0.0350955459205495,0.0670739246910319,0.601137759168553
133,1,177692,0.0482944274311909,0.0653504974221814,0.460394284196967
134,1,178191,0.0418193319570965,0.0654281184091621,0.523130438187654
135,1,178224,0.0482944274311909,0.0653504974221814,0.460394284196967
136,1,178960,0.0589517186440188,0.0658486652206376,0.371257816374827
137,1,179139,0.138852082243087,0.130449030840899,0.28786767315332
138,1,179139,-0.153342027836147,0.263022591295794,0.560265911586798
139,1,180955,0.0371617970875451,0.0756812403919442,0.623710003390145
140,1,183802,0.102640581205591,0.0651807300197837,0.116219761570172
141,1,183954,0.0878256678150593,0.0657194300959466,0.182288162422565
142,1,184450,0.0803956576314241,0.0651682641838863,0.218149383902688
143,1,184641,0.116608708977152,0.0669219437617661,0.0822991243356324
144,1,184718,0.106325879508588,0.0654354029657893,0.105076691532842
145,1,185296,0.10383778784447,0.0651670930897771,0.111963595263739
146,1,185438,0.0806145966621259,0.0652632262580782,0.217569237926104
147,1,185469,0.0793128212340656,0.0653623327647207,0.225775557082998
148,1,185503,0.0798726343359634,0.0651906366284891,0.221310589231057
149,1,185705,0.0869060530598134,0.0658971046848768,0.188086077463416
150,1,185749,0.0798631910150531,0.06592234593957,0.226524246938482
151,1,185806,0.0899723657858269,0.0659738853997656,0.173512966645764
152,1,185879,0.0657254727763011,0.0663749655955833,0.322747395698515
153,1,185916,0.0558091423754608,0.0663704186711134,0.400987888298307
154,1,185941,0.0713019637080371,0.0666182575112515,0.285212575717451
155,1,185954,0.0768664992262013,0.0667959609663438,0.25060756019984
156,1,186055,0.0701313348623787,0.0654792169909375,0.284879925435429
157,1,186896,0.0954226169131061,0.066467019531389,0.151990711331339
158,1,187697,0.158255822836631,0.135687360371755,0.244269653610939
159,1,189392,0.0253736392561894,0.136654643089536,0.852804624173818
160,1,189416,0.0847916439576153,0.132117866249166,0.521427448208897
161,1,190132,-0.0302377141114716,0.065648994961467,0.645371555249815
162,1,190148,-0.0330766910509762,0.0656649290750325,0.614772858116295
163,1,190165,-0.0344859279964826,0.0661678371235206,0.602562137202211
164,1,190169,-0.0315055391120903,0.0660894764463602,0.63386333154817
165,1,190933,-0.00509530689471727,0.0655740677742619,0.938108269955941
166,1,192149,-0.056472149835103,0.0660423841492589,0.393081575497427
