SNP,Chr,Pos,Effect,SE,SSH1_ORM2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.0671969378757196,0.174450867446357,0.700327758688198
2,1,1035,0.067740255323594,0.176359554573258,0.701133282640319
3,1,1074,0.30599918000709,0.297652259311621,0.304633729168478
4,1,1470,0.144760185230405,0.296924067156388,0.626183526345727
5,1,1475,0.420751897614162,0.218088360283726,0.0544982986807165
6,1,1491,0.652425482928584,0.188604607649959,0.000608018271715026
7,1,21249,-0.83419502038205,1.10007494245148,0.448772920806293
8,1,27243,0.155445669716443,0.149967081294131,0.300663563340906
9,1,27272,0.153525115822284,0.14771369903478,0.299356867902575
10,1,27498,0.0571546166933548,1.35094881274225,0.966277869629752
11,1,27561,1.10557595668272,1.01890677942707,0.278635130465648
12,1,27816,-0.10308721840256,0.150858473531718,0.49484200409287
13,1,27822,-0.134779820701025,0.150595596227091,0.371408417232967
14,1,27823,-0.129855683813945,0.153716516466188,0.398809328569594
15,1,27825,-0.125188221355215,0.15061904716443,0.406446231254324
16,1,27843,-0.105260093791432,0.144330544237474,0.466302514853084
17,1,27848,-0.105260093791432,0.144330544237474,0.466302514853084
18,1,28495,-0.0510062272888149,0.144416061299621,0.724157245127775
19,1,28975,-0.0607452153556429,0.14343963357118,0.672195879922866
20,1,29283,0.0249263938856057,0.321534331519475,0.938251199255044
21,1,29752,0.362169799690108,0.334670302110214,0.279916156849655
22,1,29787,1.45953648738011,0.903749273648674,0.107208566100297
23,1,30057,-0.254859368489491,0.293795475140449,0.386272713167972
24,1,30479,1.1823560829308,0.859471647056415,0.169793649076783
25,1,30706,-0.0813038397624199,0.148111850277828,0.58339681551607
26,1,31435,-0.100320167863406,0.14299627610521,0.483417165517173
27,1,35128,0.208180049205147,0.196917592832269,0.291146107732382
28,1,35129,-0.0569615756849933,0.197710909247568,0.773435160616672
29,1,36146,-0.093945065506484,0.142270226890878,0.509473782934898
30,1,37255,0.00218957001987263,0.287340278616362,0.993924380008377
31,1,37409,-0.00785127000675206,0.14312716743062,0.956284852649351
32,1,37478,-0.00779790581370654,0.143250214583139,0.956618941783096
33,1,39144,0.0249965219126328,0.142590919297269,0.860942582248183
34,1,41499,0.198523592585078,0.14180848158971,0.162409047558064
35,1,45359,0.0815562767371665,0.239361044254964,0.733513353328127
36,1,45634,-0.0611328742425972,0.219872358859793,0.781145955814731
37,1,51248,-0.0697924954495839,0.14275854797924,0.625226798411746
38,1,51462,-0.0791210054368548,0.142938495855053,0.580249719752929
