SNP,Chr,Pos,Effect,SE,GTR1_SLM4_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0993079470833109,0.080543395504868,0.218405761015225
2,1,1035,0.0723263846941087,0.0815088226414458,0.375497755966513
3,1,1074,0.0923089421599652,0.137810157119588,0.50340608984588
4,1,1470,-0.359921007351025,0.136059140999262,0.00852603785408123
5,1,1475,-0.196661295363667,0.100874944076274,0.0520206541830357
6,1,1491,-0.137095912208518,0.08841295522445,0.121886071472008
7,1,21249,0.809783539379796,0.507473871243038,0.111447333911496
8,1,27243,-0.0717953166179737,0.0693739965998457,0.301422930552952
9,1,27272,-0.0690204134964461,0.0683370710024987,0.313187283290592
10,1,27498,-0.631985794033626,0.624034630791697,0.311877280771651
11,1,27561,0.242917804843414,0.471947066254938,0.607074944417092
12,1,27816,0.136302869224609,0.0694543027041791,0.050491434008841
13,1,27822,0.140199430300773,0.0693430610725419,0.0439485890145948
14,1,27823,0.137990577053171,0.0708000444079702,0.0520850354295694
15,1,27825,0.146377383592101,0.0693068875124986,0.035386985706238
16,1,27843,0.132081134572447,0.0664456745889684,0.0476052893366017
17,1,27848,0.132081134572447,0.0664456745889684,0.0476052893366017
18,1,28495,0.143604573349217,0.0663790078294847,0.0311807282888362
19,1,28975,0.167349108507763,0.0657705814248763,0.011370716517737
20,1,29283,0.0471287249718371,0.148719524058689,0.751509324286981
21,1,29752,0.0869287919006618,0.155003567551274,0.575277400470579
22,1,29787,-0.69049310915451,0.417996848465648,0.099442131799846
23,1,30057,0.143642170935772,0.135837424615725,0.291026392549998
24,1,30479,0.00517461675497444,0.398649485334912,0.98965078902431
25,1,30706,0.117209097183337,0.0682602103606194,0.0868393860288325
26,1,31435,0.140813817660925,0.0657694664822975,0.0329567606725015
27,1,35128,-0.0257404191164392,0.0912264329985627,0.777986445255297
28,1,35129,-0.0597455668394629,0.0914150695777485,0.513818453829585
29,1,36146,0.095899797488118,0.0656556834996866,0.145001720511878
30,1,37255,0.218447544290672,0.132412024506599,0.099882332233741
31,1,37409,0.117620195026804,0.0659132276033386,0.0752060069567083
32,1,37478,0.139982244149984,0.0658466016492995,0.0342065923563614
33,1,39144,0.0629482476507404,0.0658792389340866,0.339973920083469
34,1,41499,0.0619901680689338,0.0656986120217312,0.346043093440455
35,1,45359,0.0755839010217594,0.110671767552188,0.495082879240888
36,1,45634,-0.0639059408388984,0.101665585366324,0.530024206333393
37,1,51248,-0.0221002695266007,0.0660509314262045,0.738129810929239
38,1,51462,-0.011317754260953,0.066148241604811,0.864245661778084
39,1,52124,0.0455225217132411,0.0660169571818889,0.490925213421487
40,1,52667,-0.00885329104949162,0.0659538489784986,0.89329353569452
41,1,55470,0.0415976789435983,0.0677142722062887,0.539405001605993
42,1,59265,0.120875436310553,0.0656075734089154,0.0662550427475663
43,1,60165,0.0674958441361211,0.0657744116592123,0.305513287476723
44,1,62308,0.00321123818190627,0.0657997765803059,0.961103750207271
45,1,62869,0.018660254212846,0.0657842373704745,0.776838439482159
46,1,65431,0.065366723897886,0.0686247755681713,0.341483217353097
47,1,65451,0.0713637205404762,0.0676320434301025,0.292066403556033
48,1,65719,0.0776753652063585,0.0705177404062705,0.271429130265053
49,1,66841,0.00716010637735751,0.0658216381114764,0.913438450235653
50,1,66948,0.0376885528331444,0.0661963167993723,0.569484020987156
51,1,68621,0.0333359839091529,0.0660234569812428,0.613936255233925
52,1,69417,-0.0324907542873747,0.065849740745035,0.622031523175508
53,1,69820,-0.468562023486848,0.256551582661488,0.0686367167233521
54,1,69821,-0.345374779942192,0.158870685743878,0.0303738798501341
55,1,70906,0.054675228224724,0.105776364968417,0.605553455258427
56,1,74327,-0.00257923415546518,0.0662344633909991,0.968959466512402
57,1,74572,-0.0410397335260079,0.06602214401367,0.534602471477799
58,1,75211,-0.0106637057629554,0.0659354068979073,0.871611336165674
59,1,76030,0.00216386095030324,0.0659377490989643,0.973839288384178
60,1,80108,-0.0805497260300399,0.0657827023084092,0.221587036681293
61,1,81262,-0.0690970024536304,0.0657946341192873,0.294348247367244
62,1,81999,-0.096526972784352,0.0658581787894705,0.143625812888038
63,1,82431,-0.0675757969371783,0.0662734447749979,0.308592219950591
64,1,83284,-0.0619107734859116,0.0658055485467624,0.347443603501426
65,1,83613,-0.063911966923883,0.065792858412896,0.33200833650828
66,1,84112,-0.0414583070454448,0.0658510388702254,0.529378556203734
67,1,84701,-0.0630273907164147,0.070474810844765,0.37175733695259
68,1,84858,-0.0383499898854401,0.0660424197630788,0.561821792201266
69,1,85751,-0.0190107536907504,0.066337820156677,0.774605962770713
70,1,87445,-0.0067092506442275,0.0664848272662898,0.919676011598138
71,1,87467,-0.0583262466848603,0.0667617048484948,0.382903777580335
72,1,89070,-0.00831454836636103,0.066414075910259,0.900442370340406
73,1,89616,0.0182700504330809,0.0660511103631857,0.782245506703297
74,1,89679,0.00600852550034148,0.0660658591196206,0.927585882522882
75,1,89880,0.0189637835562896,0.0660756642564706,0.77427992225198
76,1,91472,-0.0161458861507659,0.0665683487162039,0.808497984890987
