SNP,Chr,Pos,Effect,SE,RET2_SNA3_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.211390819589204,0.0962936640085008,0.0287945745567318
2,1,1035,0.226130867919755,0.0972675439794474,0.0206474227354211
3,1,1074,0.367239948322053,0.164471524831294,0.0261854294625279
4,1,1470,-0.0588688618817255,0.165002712965374,0.721473336205228
5,1,1475,0.124067970466182,0.121632282138287,0.308415150191164
6,1,1491,0.059158701563411,0.106507303934639,0.578943738517953
7,1,21249,-0.429148051816429,0.611294597107035,0.483122148965969
8,1,27243,0.0928231383920592,0.0833050346711426,0.265927434815545
9,1,27272,-0.00381561660827034,0.0821979040710323,0.963001843459483
10,1,27498,-0.400346506128722,0.750313465329069,0.593973255004293
11,1,27561,-0.128721981789048,0.567026823432592,0.820545699298785
12,1,27816,0.0259078028767245,0.0838640575139563,0.757559927575023
13,1,27822,0.0272241824277113,0.0837562578014431,0.745342914644933
14,1,27823,0.00400513135476543,0.0854939816817972,0.962661709629862
15,1,27825,0.0210127785738776,0.0837613246112635,0.802064498358153
16,1,27843,0.0567128630546526,0.0801965302591693,0.479925222486195
17,1,27848,0.0567128630546526,0.0801965302591693,0.479925222486195
18,1,28495,0.0862374887147575,0.0801232537376788,0.282523510599253
19,1,28975,0.080853449456943,0.0796019215557286,0.310457291930094
20,1,29283,0.27286591918439,0.178061104970868,0.126312407831253
21,1,29752,-0.405059197286716,0.185005747572555,0.0292189947017262
22,1,29787,-0.423511962292356,0.503488396561727,0.400830338712654
23,1,30057,0.183797374621074,0.163119442958294,0.260606973099433
24,1,30479,-0.863528566854696,0.476606972757594,0.0708628474102283
25,1,30706,0.0689442705531539,0.0822471918591241,0.40245370673378
26,1,31435,0.0582754302255527,0.0794464254436823,0.463729057121304
27,1,35128,-0.201464218038789,0.109058528895514,0.0655397319229179
28,1,35129,-0.168056274435308,0.109500308051382,0.125739492673503
29,1,36146,0.0627795022107944,0.0790263681688089,0.427489311546754
30,1,37255,0.329510532626706,0.158685776251305,0.0385711096992713
31,1,37409,0.184500200584017,0.0789160156101787,0.0199488148617946
32,1,37478,0.170463690563344,0.0790742044689861,0.0317790421944459
33,1,39144,0.0790880261319907,0.0791179023351695,0.318178011704586
34,1,41499,0.181952844123155,0.0784142779476249,0.0208884775243931
35,1,45359,-0.219878534252453,0.132499808038958,0.0979106232963863
36,1,45634,-0.0926588149626655,0.122079263499172,0.448355860257956
37,1,51248,0.146127542337565,0.078964238934682,0.065069146167337
38,1,51462,0.118757080723057,0.0792021168692763,0.134659002269028
39,1,52124,0.160574171775576,0.0788847207774941,0.0425415040198619
40,1,52667,0.153766220964166,0.0787952906934588,0.0517923909859414
41,1,55470,0.147488915561878,0.0809955410644831,0.0694607260221081
42,1,59265,0.211179330118029,0.0783773665348525,0.00738873398720397
43,1,60165,0.19951809778297,0.0784034905184011,0.0113603893076425
44,1,62308,0.192298726135629,0.0783668241786964,0.0146169776060812
45,1,62869,0.18654839816835,0.0783961837317463,0.0178640672069066
46,1,65431,0.132555433400425,0.0822289522474857,0.107849357550198
47,1,65451,0.163288764637262,0.0808953242612667,0.0442930204876882
48,1,65719,0.143031029647747,0.0845020569653912,0.0914075437870973
49,1,66841,0.104387629912515,0.07886421481026,0.186480040038031
50,1,66948,0.100479376218715,0.0793648996198565,0.206332556750943
51,1,68621,0.0698606965417775,0.0792422026598451,0.378587784332719
52,1,69417,0.0722724191083512,0.0790258152452518,0.361056432628193
53,1,69820,-0.736658311827086,0.307103767882482,0.0169703642182299
54,1,69821,0.0723512490563412,0.192054057874155,0.706605550714124
55,1,70906,-0.205487773453502,0.12662458772521,0.105522499556821
56,1,74327,-0.0940418253521795,0.0793967556416211,0.237030169697544
57,1,74572,-0.0830581952830162,0.0792193225271113,0.295144584378578
58,1,75211,-0.0632451883571363,0.0791263690861648,0.424657764634284
59,1,76030,-0.0911136725100981,0.0790493265708765,0.24984716486696
60,1,80108,-0.234990732753776,0.0781851357469128,0.00284050107599057
61,1,81262,-0.215173068389759,0.0783163369039664,0.00631358887094719
62,1,81999,-0.18275996310875,0.0787440349735075,0.0208593547069671
63,1,82431,-0.0985973421764268,0.0795452427525136,0.215979087873005
64,1,83284,-0.0928425774788074,0.078983634997029,0.240600539045782
65,1,83613,-0.0775061825290906,0.0790217398910147,0.327352746812575
66,1,84112,-0.124523303507353,0.0788600446355355,0.115222113515233
67,1,84701,-0.134916856832658,0.084438331051785,0.110978799733947
68,1,84858,-0.121624833181238,0.0790969589760956,0.125025745946054
69,1,85751,-0.0918977471246142,0.0795373585968855,0.248706664021618
70,1,87445,-0.0880368445230328,0.0797184747016437,0.270194908347968
71,1,87467,-0.112623473831605,0.0800499941479069,0.160332635370072
72,1,89070,-0.101892253609286,0.0795871480810573,0.201294297592818
73,1,89616,-0.107389226820123,0.0791364277688386,0.175643879714803
74,1,89679,-0.138296106736147,0.0790104911339084,0.0809264961822194
75,1,89880,-0.127253568140866,0.07908322187188,0.108486294764289
76,1,91472,-0.127207285271958,0.0796747385404614,0.11125361119664
77,1,93789,-0.0997577117307782,0.0789597469069453,0.207279382638855
78,1,94351,-0.0692047187535614,0.0792608001829276,0.383187583084053
79,1,99148,-0.0160773966110499,0.0791334372480488,0.839120640075932
80,1,101281,-0.327852957769707,0.865335674741567,0.70500940712982
81,1,106011,-0.0480599137507776,0.082437032530247,0.560272693585016
82,1,106800,-0.0197785132869172,0.0792378193750111,0.803034529237431
83,1,107970,-0.0330030257729533,0.0789905089835952,0.676340052902128
84,1,109000,-0.089810500971749,0.0790048029579667,0.256404418311367
85,1,112549,-0.125909472420247,0.078775145405616,0.110861988319271
86,1,112742,-0.11779056054041,0.079119699398759,0.137442340209516
87,1,113050,-0.091333686280594,0.0790849165066744,0.248920236332477
88,1,113135,-0.101652121219633,0.0788469564993198,0.19816113441613
89,1,114076,-0.0960222727317658,0.0788669460235712,0.22421877518678
90,1,114628,-0.0743194203022608,0.0791335017523737,0.348288171183764
91,1,116283,-0.0522872696199033,0.0796243670548486,0.511818269155426
92,1,126880,-0.956192843807211,1.49402658230328,0.522580881418636
93,1,127853,-0.114253096667941,0.0792917997898125,0.15049385266806
94,1,128302,-0.140606307415719,0.0788648977986599,0.0754657711148228
95,1,128704,-0.11925310804232,0.0790436040098239,0.132269872003081
96,1,128911,-0.149372780222187,0.0789073054469018,0.059173489482313
