SNP,Chr,Pos,Effect,SE,MID2_TPO2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.333583953922615,0.188481936733259,0.0776160458932589
2,1,1035,0.280744890105591,0.190803234530028,0.142078091059395
3,1,1074,0.471113420318392,0.322457848023916,0.144902825198909
4,1,1470,0.371206714731255,0.321660379658189,0.24926732027909
5,1,1475,0.411013126295035,0.236858733744911,0.0835662680209011
6,1,1491,0.557209312622613,0.205948232662758,0.00714935460916739
7,1,21249,-0.116577805462962,1.19452039030139,0.922310222338831
8,1,27243,0.0849728951374353,0.162896683488257,0.602250402723506
9,1,27272,0.0783856449730438,0.160457944124646,0.625490498699083
10,1,27498,0.318628507154473,1.46566473253998,0.82802595542377
11,1,27561,0.859463960337904,1.10639529532186,0.437788412780781
12,1,27816,0.0617687523438274,0.163754396323791,0.706248950093638
13,1,27822,0.0487308732938635,0.163558663557788,0.765923280271268
14,1,27823,0.0587921517921059,0.166919278567957,0.72488416521538
15,1,27825,0.0647293855184417,0.163542943071187,0.692495791685819
16,1,27843,0.0153008178117852,0.156712282106571,0.922276459205764
17,1,27848,0.0153008178117852,0.156712282106571,0.922276459205764
18,1,28495,-0.0115818509305339,0.156715723240951,0.941128977299246
19,1,28975,0.0448080796449414,0.155651102953789,0.773611271718922
20,1,29283,-0.105909648154928,0.348817334627706,0.761592513597989
21,1,29752,-0.360104837300417,0.363208707051422,0.322142901240263
22,1,29787,1.71237980991098,0.979940917930263,0.0814320384173577
23,1,30057,0.0945025016521299,0.319063605582158,0.767261424712212
24,1,30479,0.614170397850838,0.93443854009763,0.511441148282132
25,1,30706,-0.0212403073986341,0.160763727126521,0.894963648675058
26,1,31435,-0.0544990443870653,0.155229831081703,0.725733157140664
27,1,35128,0.218604647592333,0.21367403846147,0.306972802419974
28,1,35129,-0.137643431362525,0.214413459243158,0.521320141669509
29,1,36146,-0.234860742749455,0.153949692637297,0.12801288260249
30,1,37255,-0.3276331621119,0.31127182300668,0.293261343988394
31,1,37409,-0.117815002309292,0.155164828080966,0.448186210393278
32,1,37478,-0.0756281901174822,0.155372845684393,0.626735500278227
33,1,39144,0.0117792591947471,0.154714464899179,0.939354448416263
34,1,41499,0.0205959964965982,0.15428269371483,0.893877843758818
35,1,45359,-0.105392416567851,0.259685253571817,0.685101096011729
36,1,45634,-0.0714348015294961,0.238554022774296,0.764773591013322
37,1,51248,-0.00786409798485732,0.154942738065558,0.959549562716023
38,1,51462,-0.0206391574320093,0.155149518924598,0.894247406905472
39,1,52124,-0.00405662124425159,0.154943152984449,0.979127483859408
40,1,52667,-0.00571113797299033,0.154694687251139,0.970570640239528
41,1,55470,-0.0874477727565914,0.158836704235434,0.582289448603465
42,1,59265,0.0597541866353537,0.154584232764273,0.699323947971203
43,1,60165,0.0284429590432559,0.154492689811173,0.854036379225172
44,1,62308,0.0673062507909471,0.154288607553022,0.662932157236078
45,1,62869,0.000637318726680436,0.154310803279498,0.99670700101026
46,1,65431,-0.00420013180534295,0.161162106628537,0.979222984097462
47,1,65451,0.000153920507248995,0.158877114059398,0.999227555005497
48,1,65719,-0.0347907861446259,0.165669038175666,0.833787468860323
49,1,66841,-0.0176308310624272,0.154380680273509,0.909141316902368
50,1,66948,-0.0128066918236338,0.155329506697596,0.934336764481975
51,1,68621,-0.213393580398689,0.154493277344842,0.168076319707784
52,1,69417,-0.187176090856921,0.154178578336857,0.225551139338645
53,1,69820,-1.18054230076847,0.601289505468964,0.0503901022045907
54,1,69821,0.0108309801960207,0.375107860826334,0.976981152823057
55,1,70906,-0.159455744442813,0.248041224317506,0.520732379777789
56,1,74327,-0.296756382159883,0.154544506554513,0.0556381305525143
57,1,74572,-0.276946454010914,0.154233164528815,0.0734077303723052
58,1,75211,-0.3422609563062,0.153576887179953,0.0264699555374472
