SNP,Chr,Pos,Effect,SE,ERV25_EMP47_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.168475323623297,0.0725262401925465,0.0207492729777424
2,1,1035,0.129440847417018,0.0735560091126851,0.079314821401291
3,1,1074,0.0684087072897617,0.124795423774307,0.583923857880087
4,1,1470,-0.0471842249027468,0.124373578032581,0.704637530704654
5,1,1475,-0.092525441664177,0.0916874040020117,0.313598632278731
6,1,1491,-0.0138174857718532,0.0803152765723052,0.863504222978223
7,1,21249,-0.139272313735152,0.461046435062163,0.762769956927383
8,1,27243,-0.0699915374897584,0.062793981921525,0.265770841292304
9,1,27272,-0.0974368520700827,0.0617422874556437,0.115433288772158
10,1,27498,-0.0997202283384642,0.565777884029516,0.860196006717086
11,1,27561,0.299192966056353,0.427150565258858,0.484114506581552
12,1,27816,0.00804475899980561,0.0632225317993379,0.89881884250495
13,1,27822,0.0131997808129086,0.0631397178847473,0.834524565388339
14,1,27823,0.0214094248333218,0.0644341738555205,0.739883986505764
15,1,27825,0.0161516179540442,0.0631377742236497,0.798242346521034
16,1,27843,0.00330118065043782,0.0604934613577809,0.956511220110236
17,1,27848,0.00330118065043782,0.0604934613577809,0.956511220110236
18,1,28495,-0.00380508594351944,0.0604943570234592,0.949881855293629
19,1,28975,-0.0109353360114443,0.060087504807565,0.855694890898123
20,1,29283,-0.21355059984583,0.134184906770453,0.112400017527547
21,1,29752,0.0306988142987699,0.140388665403288,0.827033350156848
22,1,29787,-0.454392140024012,0.379131376997769,0.231523148470208
23,1,30057,0.190576107489988,0.122759494940935,0.121454289356649
24,1,30479,0.124886399601989,0.360864386700287,0.72949198690394
25,1,30706,-0.0167902206240492,0.0620519077551946,0.78686954589099
26,1,31435,0.00880972628117542,0.059929281488934,0.883214334599678
27,1,35128,0.155166654702516,0.0821891509787123,0.0598564445658084
28,1,35129,0.12248897608839,0.0825575591847229,0.138786206866576
29,1,36146,-0.00606633989081259,0.0596212114668231,0.919014459584405
30,1,37255,0.032449431201603,0.120330825362399,0.787572877065895
31,1,37409,0.00643774437808015,0.0599434746417187,0.91453511246314
32,1,37478,-0.0055774350131147,0.0599952501785552,0.925984415407179
33,1,39144,-0.0340091141200888,0.0596947698097389,0.569232157247523
34,1,41499,-0.0614331595054327,0.0594667261221174,0.302279407554336
35,1,45359,-0.0615594894907745,0.100211588741513,0.539416036538633
36,1,45634,0.0536485739671524,0.0920522531915996,0.560396237063734
37,1,51248,-0.0377674045656305,0.0597762626184553,0.527918194223689
38,1,51462,-0.0305703420426824,0.0598690485842398,0.60993623542622
39,1,52124,-0.00269666451306037,0.0598098796159886,0.964063238310694
40,1,52667,-0.0445481531416067,0.0596671060317935,0.455795004921696
41,1,55470,-0.0133960175000671,0.0613351270157901,0.827238266829593
42,1,59265,0.0599482885619027,0.0595987241970051,0.315169358167723
43,1,60165,0.0741376525784521,0.0595082894517252,0.213650324128094
44,1,62308,0.0187536743225899,0.0595650198297125,0.753066309232885
45,1,62869,0.00370200488964971,0.0595655744202462,0.950478494820681
46,1,65431,-0.00347901831220465,0.0622103718743465,0.955434432531458
47,1,65451,-0.00451114047765647,0.0613280819818607,0.941404150999088
