SNP,Chr,Pos,Effect,SE,PMC1_GTR2_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.00705053783603787,0.192708689014488,0.97083538258219
2,1,1035,0.0475519779139398,0.194800834754046,0.807290836674267
3,1,1074,-0.0638960034254854,0.32920991608909,0.846217883951296
4,1,1470,0.0776857563695934,0.328015826599343,0.812921871380651
5,1,1475,0.22065268104314,0.241844609143942,0.362194655085918
6,1,1491,0.196967387258988,0.211541884526598,0.352436370670165
7,1,21249,-1.5510978892542,1.21313781701436,0.201883765705676
8,1,27243,-0.0122911911826376,0.165878541225958,0.940974745939884
9,1,27272,0.0304424155659622,0.163380658346721,0.85229446547842
10,1,27498,0.0790030557750523,1.49202467546477,0.957801511512658
11,1,27561,1.47404846643115,1.12445138056518,0.190742157283722
12,1,27816,0.056855229975126,0.166695144107911,0.733251465265995
13,1,27822,0.0554631151349196,0.16648454125526,0.739224320187434
14,1,27823,0.0566567439512375,0.169913715816896,0.738996971078421
15,1,27825,0.0725608743560826,0.166465917115118,0.663182776256728
16,1,27843,0.0298378153514124,0.159514952516622,0.851726220002819
17,1,27848,0.0298378153514124,0.159514952516622,0.851726220002819
18,1,28495,0.0341514317219461,0.159515084639761,0.830596344813892
19,1,28975,0.040709904713914,0.15844428960957,0.797378538952851
20,1,29283,-0.454599154207936,0.354289552801689,0.200288698959602
21,1,29752,-0.0672976981412434,0.370214808265453,0.85585961080346
22,1,29787,2.76626803631191,0.990928949144278,0.00553030942934022
23,1,30057,-0.126788725299923,0.324751753653169,0.696463436991938
24,1,30479,0.809766673874511,0.950789984916759,0.394970375077231
25,1,30706,-0.102331507870576,0.163558139226529,0.531943377004552
26,1,31435,-0.0594931520936678,0.158007545621987,0.706755850931111
27,1,35128,0.333324977362109,0.217101810321463,0.125596244272962
28,1,35129,0.0947041175940222,0.218325119575589,0.664716351889747
29,1,36146,-0.157113737269877,0.157001812410819,0.317651106016516
30,1,37255,-0.244873731155515,0.31707916462811,0.440465648674724
31,1,37409,-0.0705018760098676,0.158029899237747,0.655776881379602
32,1,37478,-0.0704791340974252,0.158165853345214,0.656157405412021
33,1,39144,-0.00500540401698903,0.157488151721916,0.974663278312834
34,1,41499,-0.0926670540539016,0.1569740733147,0.555344803720234
35,1,45359,-0.246690399580877,0.264074489257428,0.350854896609469
36,1,45634,-0.29818484257912,0.24234083187664,0.219353236067726
37,1,51248,-0.23063018227954,0.157241613884726,0.143341209208589
38,1,51462,-0.226627087449346,0.157472598623877,0.150993424978995
