SNP,Chr,Pos,Effect,SE,HNM1_MID2_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0423757228465569,0.18550455072035,0.819440392959441
2,1,1035,0.0347435782855065,0.187538699083442,0.8531308438051
3,1,1074,-0.0460140683080805,0.316933143956075,0.884647347047143
4,1,1470,-0.232521022653195,0.315558660666623,0.461699880875617
5,1,1475,-0.030173145413305,0.233089178330259,0.897076157408693
6,1,1491,-0.0166626758028041,0.203896352653962,0.934914652422654
7,1,21249,-0.921300223016981,1.16954410872859,0.431375650816438
8,1,27243,-0.10909104198062,0.159584556530934,0.494680044050325
9,1,27272,-0.068911086433511,0.157249198036602,0.661488671715481
10,1,27498,-1.29652444531383,1.43469799062173,0.366775262877632
11,1,27561,-0.00101357784416933,1.08512501640962,0.999255251293668
12,1,27816,0.139863474347607,0.160328754221662,0.383608103595915
13,1,27822,0.144149860561949,0.160113773639196,0.368576287034429
14,1,27823,0.132545348253287,0.163447096607919,0.417948080535041
15,1,27825,0.161070560573273,0.16006807950068,0.314978408058345
16,1,27843,0.138164216683236,0.15339421423308,0.368354828953189
17,1,27848,0.138164216683236,0.15339421423308,0.368354828953189
18,1,28495,0.170600999902828,0.153304196294583,0.266540107513686
19,1,28975,0.127495596233297,0.15239531491085,0.403377244945631
20,1,29283,-0.343624381972712,0.341374390600197,0.314820852775497
21,1,29752,0.136823787817502,0.35634279722435,0.701234260530601
22,1,29787,1.95034209310467,0.958822756248691,0.0426886694657996
23,1,30057,0.300122035168004,0.312293109900346,0.337196521002787
24,1,30479,1.08935651954141,0.914415544615021,0.234330513504171
25,1,30706,0.0569404178657878,0.157513216161925,0.717944870567458
26,1,31435,0.105492562794234,0.152038512515449,0.488229971651146
27,1,35128,0.361785511308267,0.20881151513033,0.0840413166045455
28,1,35129,0.157092956912411,0.210068158899904,0.455067238073638
29,1,36146,0.0165818697050727,0.151355072745743,0.912823690638327
30,1,37255,0.175079618104364,0.30536320281758,0.566773634666915
31,1,37409,0.123192271149595,0.152034690735293,0.418319123824379
32,1,37478,0.117837012188851,0.152177643501906,0.439248941279277
33,1,39144,0.0722321396336109,0.151563065001508,0.633955088294426
34,1,41499,-0.0115384015320089,0.151190032292602,0.939209968197405
35,1,45359,-0.209805039527481,0.254289722935234,0.409893022696214
36,1,45634,-0.197654761910428,0.233561020019442,0.397977649007798
37,1,51248,-0.207541837089622,0.151432463298657,0.171394230339918
38,1,51462,-0.189928819401737,0.151704276588871,0.211410622897227
39,1,52124,-0.177058953565009,0.151542082181402,0.24344140715638
40,1,52667,-0.326906616019872,0.150589627846941,0.0306088667634718
41,1,55470,-0.205714746932144,0.155331507275908,0.186240510116008
42,1,59265,-0.0443358120443643,0.151496632581653,0.769960006399169
43,1,60165,-0.00692971127831125,0.151400065364398,0.963518766138483
44,1,62308,-0.0463409929234936,0.151213892750743,0.759435192158292
