SNP,Chr,Pos,Effect,SE,SSH1_ORM2_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.023298158951377,0.152920053187048,0.878993864806141
2,1,1035,0.0170592481761159,0.154595402309869,0.912196331765136
3,1,1074,0.327411233550079,0.260678026358756,0.209947121299456
4,1,1470,0.174953103202526,0.26015242008729,0.501703927001221
5,1,1475,0.233280259201958,0.191741369685717,0.224553971734809
6,1,1491,0.29241221419344,0.167353838141995,0.0814602423634286
7,1,21249,0.11424056597806,0.964898040095411,0.905820829042276
8,1,27243,0.0190931391012796,0.131630715238086,0.884753555263204
9,1,27272,0.0529679474132243,0.129627131262963,0.683067968169427
10,1,27498,-0.572617795211256,1.18361483837587,0.628836820455245
11,1,27561,0.805599646581613,0.893454180604772,0.367847684791209
12,1,27816,-0.0538178094263776,0.132272415956376,0.684349325419006
13,1,27822,-0.0765185890951954,0.132072496178676,0.562710375880475
14,1,27823,-0.0645895306035318,0.134813152613871,0.6321612434689
15,1,27825,-0.0819497014395236,0.132063265593182,0.535306915660466
16,1,27843,-0.0724386847854425,0.126531307957753,0.567350338283507
17,1,27848,-0.0724386847854425,0.126531307957753,0.567350338283507
18,1,28495,-0.0661038706725567,0.126543182683294,0.601732108153072
19,1,28975,-0.0680311551786088,0.125693744686333,0.588679885811875
20,1,29283,-0.187256222261662,0.281626548092491,0.50654240238817
21,1,29752,-0.322621894804023,0.293297037691597,0.27208889117707
22,1,29787,1.81160724702528,0.789119354381803,0.0222767784385664
23,1,30057,-0.261109970422147,0.257388835649401,0.311059427521241
24,1,30479,0.8958156927051,0.753771717969907,0.235457337311868
25,1,30706,-0.0842956095393093,0.129786668426173,0.51644177150592
26,1,31435,-0.0427154783390464,0.125392119309006,0.733565807742015
27,1,35128,0.117414370795214,0.172743327140529,0.49713722831329
28,1,35129,-0.0914300485228852,0.173230647813841,0.597974108758825
29,1,36146,-0.0703590485500533,0.124709834624847,0.572988527746797
30,1,37255,0.202184639492106,0.251601951653059,0.422174977228361
31,1,37409,-0.017874477334117,0.125437032339359,0.886768264457814
32,1,37478,-0.0193567706332748,0.125544246593064,0.877553668730061
33,1,39144,-0.0707421154498071,0.124918832605777,0.571546548322614
34,1,41499,-0.0168465297593691,0.124625684184722,0.892548954030215
35,1,45359,-0.319162440067861,0.209127492041855,0.127864965138778
36,1,45634,-0.120575234062958,0.192615662601434,0.531726872176278
37,1,51248,-0.0329675774317614,0.125147087583963,0.792372378322955
38,1,51462,-0.024937073320317,0.125322077116545,0.842389912684222
39,1,52124,-0.0357103299059602,0.125144955609885,0.775542037032557
