SNP,Chr,Pos,Effect,SE,RET2_EMP70_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.014211282426042,0.130299065154476,0.913211598986023
2,1,1035,0.0569046113527317,0.131691922026502,0.665929624140658
3,1,1074,-0.0279684953591595,0.222603949843568,0.900086520841943
4,1,1470,0.15787339975174,0.221648062053324,0.476767718374488
5,1,1475,0.401186899084983,0.16231875300544,0.0139221628328265
6,1,1491,0.51226129352795,0.140591370717784,0.000309169919348212
7,1,21249,0.462787925061064,0.821797758980182,0.573696453359921
8,1,27243,0.031536475512441,0.112147976983968,0.778718585921261
9,1,27272,0.11941700636857,0.110293154194624,0.279670128493144
10,1,27498,0.304370133441843,1.00871441422534,0.76302746802557
11,1,27561,-0.196879479467955,0.762080195493376,0.796291349891964
12,1,27816,0.0600094445530219,0.112685129667069,0.594686445719778
13,1,27822,0.0538896507571517,0.112550568416764,0.632374583217486
14,1,27823,0.0525531743550288,0.1148721121996,0.647598256371503
15,1,27825,0.0631949870162644,0.112536856251128,0.574779498161163
16,1,27843,0.0374564247169667,0.107843810429657,0.728557126676676
17,1,27848,0.0374564247169667,0.107843810429657,0.728557126676676
18,1,28495,0.0510986713174522,0.107829689135029,0.63587620514363
19,1,28975,0.0473334490149834,0.107113350357058,0.65883175947258
20,1,29283,0.00856883658060781,0.240112349213419,0.971552283199076
21,1,29752,0.0397049485935401,0.250325523795749,0.874064279044423
22,1,29787,1.29413831714813,0.673866214443918,0.0556042278262265
23,1,30057,0.0751828565641137,0.219593585968896,0.732274164951474
24,1,30479,0.567343417724114,0.642833072010637,0.378070733750067
25,1,30706,0.0476100208472817,0.11062299453783,0.667181245866282
26,1,31435,-0.0111699038035624,0.106857446845992,0.916807423997315
27,1,35128,0.278197124349927,0.146537685225126,0.0584497779982983
28,1,35129,0.0387897374973543,0.147646605010988,0.792919550651443
29,1,36146,-0.104084431048002,0.106163647410442,0.327552761414686
30,1,37255,0.0109803887556605,0.214575021940803,0.959216828899746
31,1,37409,-0.0151354830091738,0.106879847098673,0.887467166208355
32,1,37478,-0.0192480735109734,0.106969858122912,0.857303527528193
33,1,39144,0.094288339419529,0.106368290860583,0.375987849548802
34,1,41499,0.146612067667142,0.105904140289543,0.167115198105792
35,1,45359,-0.126142346985726,0.178649841337185,0.480599716305
36,1,45634,-0.185543893926515,0.163913843680151,0.25841965437352
37,1,51248,-0.0155895878423823,0.106640011680489,0.883855700431955
38,1,51462,-0.0154391828830698,0.106784687050739,0.885123130117072
39,1,52124,-0.00693899911109334,0.106642600188193,0.948156852553284
40,1,52667,0.0163082420343989,0.106468791372566,0.878348645115774
41,1,55470,-0.0317285583151315,0.10935684819442,0.771881157742989
42,1,59265,-0.0433146926312335,0.106393642050171,0.68416858735207
43,1,60165,-0.0316217868732837,0.106324879526646,0.766330573766739
44,1,62308,0.0385398472980436,0.106201442579378,0.716901395348433
45,1,62869,0.0512010258225844,0.106172942007772,0.629933093955589
46,1,65431,-0.024422837587297,0.110915961750143,0.825848701417654
47,1,65451,-0.00799995754280608,0.109349945180699,0.941720846743199
48,1,65719,-0.00760307885625,0.114031874122947,0.946878157985689
49,1,66841,0.0112149954956713,0.106256287887621,0.916002002975263
50,1,66948,-0.01072290420755,0.106908558877026,0.920163276913413
51,1,68621,-0.104978148591072,0.106473955830577,0.324832248414223
52,1,69417,-0.0532264823853499,0.106300456392305,0.616882112560499
53,1,69820,-0.0962752121857875,0.416073059137567,0.817145772955008
54,1,69821,0.0244873058638699,0.258173500576678,0.924489174632129
55,1,70906,-0.352965319219084,0.169783706239546,0.038347165241362
56,1,74327,-0.0450280940668004,0.10689597654226,0.673841441709613
57,1,74572,-0.034595358886818,0.106622278071944,0.745777054570991
58,1,75211,-0.0984918664885688,0.106314621116561,0.354861298915437
59,1,76030,-0.0103416123130711,0.106442361305115,0.922656914940333
60,1,80108,-0.0773239809380332,0.106339006509567,0.467618489526887
61,1,81262,-0.0613815261881315,0.106328206601259,0.564115904895435
62,1,81999,-0.0545174045425311,0.106598691261853,0.6093721308938
63,1,82431,-0.0523119808708419,0.107106790057502,0.625563025784061
64,1,83284,-0.0806613409584056,0.106276631852859,0.448373803666254
65,1,83613,-0.0984538663942447,0.1062224141114,0.354629751400964
66,1,84112,-0.145532131752373,0.106080888549741,0.170966510407519
67,1,84701,-0.229282734804412,0.113240975092721,0.0436471974767463
68,1,84858,-0.112544439148418,0.106495166856659,0.291324075252752
69,1,85751,-0.0857392218299826,0.107004650617091,0.423516488617426
70,1,87445,-0.0627434337486253,0.107276354696261,0.559004312840801
71,1,87467,-0.0619346172817291,0.107839818645059,0.566116736497939
72,1,89070,-0.0291628114703659,0.107203702570631,0.785756638645469
73,1,89616,-0.0450936954148603,0.106611163593421,0.672572161497993
74,1,89679,-0.0613920420790105,0.106601612970332,0.565048641213605
75,1,89880,-0.0685419551784971,0.106616307186448,0.520716501165617
76,1,91472,-0.0523482099328843,0.107434433204918,0.626378454643438
77,1,93789,-0.0719127644310154,0.10629442035432,0.499138895901263
78,1,94351,-0.0487289175380721,0.106611696949579,0.647902491615583
79,1,99148,-0.0487051639195159,0.106331715367237,0.647198881194914
80,1,101281,0.366113086149527,1.16310353536769,0.753120314813134
81,1,106011,-0.0730531178116901,0.110782310406722,0.510049998828841
82,1,106800,-0.125103704697709,0.1062984369988,0.240024351626889
83,1,107970,-0.122694118640813,0.105990254751284,0.247810736355201
84,1,109000,-0.0285772842331097,0.106367510919476,0.788344021366378
85,1,112549,-0.0566093122805816,0.106215238053741,0.594391161907461
86,1,112742,-0.0801652039587366,0.106586578472862,0.452484007057024
87,1,113050,-0.0446777722157961,0.106465939866724,0.675000959402189
88,1,113135,-0.0466127790413198,0.106192273769689,0.660968492973405
89,1,114076,0.0140269791179565,0.106218627030078,0.895013953831972
90,1,114628,0.0538522419489377,0.106451390875417,0.613252613893808
91,1,116283,0.0893195218530561,0.106976677401047,0.404314023681401
92,1,126880,-0.988856317569667,2.00848002241908,0.622784622686825
93,1,127853,0.059045786213177,0.106836670551754,0.580836858034643
94,1,128302,0.12377133638893,0.106268336707046,0.244924642296625
95,1,128704,0.116786590813228,0.106396896120424,0.273105355717192
96,1,128911,0.17759207190888,0.106170175766704,0.0952700870538314
97,1,130267,0.141120180734988,0.106274489141056,0.185074459371599
98,1,130271,0.144002320350743,0.106390312703314,0.176752891553476
99,1,130613,0.161223047348185,0.107320310610522,0.133923891519097
100,1,132012,0.0748192170863964,0.107360468019573,0.486325757453661
101,1,133231,0.0335911855060173,0.106656961658001,0.752988723849126
102,1,137074,0.0452816917088509,0.106492967440754,0.670943933666226
103,1,137304,0.0138471513369659,0.106554712063646,0.896677282990593
104,1,139686,0.0492501568784525,0.106665088642765,0.644561477246102
105,1,149562,0.00150390002353012,0.106940676288734,0.988787713856934
106,1,150447,0.0323848005414047,0.108113180655608,0.764700268746132
107,1,151446,0.0193186189769072,0.217220234491991,0.929183499755071
108,1,154084,0.0049042345638744,0.108460661973172,0.963960141040279
109,1,156633,0.020865133232536,0.109942351713334,0.849588658716212
110,1,157269,-0.00720915383878462,0.106491801592658,0.946065326746485
111,1,160054,0.0291857208866803,0.107493034352251,0.786155469402936
112,1,166222,-0.00805783537036109,0.106708266993602,0.939849524555542
113,1,166416,0.0079352321910855,0.106491655334367,0.940642765433397
114,1,167326,0.0197636723143985,0.107092474864486,0.853689768439595
115,1,168836,-0.0051833898567184,0.106589753545029,0.96124218583198
116,1,171200,-0.0151698790231448,0.106746683249935,0.887073394023685
117,1,171431,-0.0181858482224122,0.107411820322137,0.865650134672468
118,1,173339,-0.00288577720346983,0.106580731527376,0.978414437142213
119,1,173845,-0.00788981092620367,0.106491664895674,0.940981906748782
120,1,175121,-0.00410329553690281,0.106281123253922,0.969224794326992
