SNP,Chr,Pos,Effect,SE,FMP45_MEP1_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0166672566406007,0.192594366650644,0.931085647955752
2,1,1035,-0.0102985449188537,0.194702626980672,0.957846513424688
3,1,1074,-0.00971499572901813,0.329034631056967,0.976461964365652
4,1,1470,-0.191948739620043,0.327690915589281,0.558410068836872
5,1,1475,0.123153684842484,0.241899268795003,0.610992193352435
6,1,1491,0.0323219853094019,0.211670698788063,0.878722590025075
7,1,21249,-0.816920271119576,1.21445479246151,0.501601023321723
8,1,27243,-0.0414994008501728,0.165768154144092,0.80246539343964
9,1,27272,-0.0401178855771394,0.163279225375128,0.806056409669632
10,1,27498,-1.23428354356379,1.48971064809801,0.407925094125557
11,1,27561,1.91187552266648,1.12192086075318,0.0892406973792371
12,1,27816,-0.116489398847934,0.166509761597392,0.484641002697099
13,1,27822,-0.128132776152559,0.166273578955413,0.441451107591368
14,1,27823,-0.126893051953529,0.169706798690529,0.455127286614696
15,1,27825,-0.122933569698386,0.166284698400066,0.460218751641243
16,1,27843,-0.103607416489903,0.159334213798091,0.515952316986259
17,1,27848,-0.103607416489903,0.159334213798091,0.515952316986259
18,1,28495,-0.0940219743675194,0.159353635944465,0.555554128837072
19,1,28975,-0.0877588161980632,0.15829758179202,0.579662071101985
20,1,29283,-0.0714271925459649,0.35488687068303,0.840605338295571
21,1,29752,0.0752931527979799,0.369994020951392,0.838862833959682
22,1,29787,1.7866779396922,0.996695465274063,0.0738927633164123
23,1,30057,-0.281386951732732,0.324286335964831,0.386141824970771
24,1,30479,0.967138822071545,0.949816155058791,0.309262258681284
25,1,30706,-0.126343051873911,0.163414842213199,0.439955112074162
26,1,31435,-0.184160874967069,0.157642454806855,0.243506905760679
27,1,35128,0.314229317241786,0.217054767769857,0.148589617475351
28,1,35129,0.0227015291984229,0.218252302554646,0.917216457320448
29,1,36146,-0.293822867744144,0.156352297800868,0.061035918582702
30,1,37255,-0.263018574504004,0.316852314224824,0.407044224860373
31,1,37409,-0.17606994908738,0.157703854903838,0.264984917529193
32,1,37478,-0.204051768491393,0.157744422815488,0.196663471357887
33,1,39144,-0.103156887234861,0.157300527962391,0.512383273082812
34,1,41499,-0.118713194999879,0.15683251003633,0.449589219841822
35,1,45359,-0.404745791365019,0.26336657569295,0.125234358510215
36,1,45634,-0.187741906998462,0.242512222452344,0.439357656644561
37,1,51248,-0.200605209365504,0.157265799991226,0.202942571272461
38,1,51462,-0.196175629204322,0.157495843413575,0.213740185418032
39,1,52124,-0.169502422451029,0.157369444255059,0.282171707117687
40,1,52667,-0.223264284619654,0.156925930429702,0.155695580039846
41,1,55470,-0.211394882293357,0.161266023338768,0.19076201382944
42,1,59265,-0.0907922991712176,0.15722157204245,0.563983443496134
43,1,60165,-0.111324526453092,0.157065232661662,0.478929488572383
44,1,62308,-0.281456669535446,0.156287788191241,0.0725740553266833
45,1,62869,-0.287708968260645,0.156235719800212,0.0663863053012617
46,1,65431,-0.268834101266843,0.163328976861977,0.100660569518753
47,1,65451,-0.241013266857826,0.161119949939916,0.135583005900671
48,1,65719,-0.181590752297628,0.168272586645407,0.281259284611357
49,1,66841,-0.196471013829163,0.156709852886752,0.210771749748538
50,1,66948,-0.270043630518371,0.157367240115764,0.0870377267819055
51,1,68621,-0.355811069355347,0.156452149632181,0.0235506885361388
52,1,69417,-0.237713626747705,0.156666897337648,0.130081232729269
53,1,69820,-0.486338221340754,0.614493254718465,0.429215248462027
54,1,69821,-0.492509131648674,0.380705975959353,0.196624147276026
55,1,70906,-0.0428933245888521,0.252476100376847,0.865193468734237
56,1,74327,-0.162205270927421,0.157805120430216,0.304708456028463
57,1,74572,-0.117892944344423,0.157495398564782,0.454627832328378
58,1,75211,-0.0736438493475794,0.157284185868872,0.639915113860926
59,1,76030,-0.106434068566504,0.157231000955696,0.498894977372569
60,1,80108,-0.114852172229494,0.157176990497687,0.465435674955783
61,1,81262,-0.190222537215094,0.156910053577564,0.226207149246248
62,1,81999,-0.182362777228669,0.157321211664057,0.247168471420432
63,1,82431,-0.175730831278106,0.158090036009559,0.267072258525947
64,1,83284,-0.0638052655717264,0.157177388259125,0.68502948079271
65,1,83613,-0.0561245221340526,0.157168362009051,0.721231754017465
66,1,84112,-0.0890844376768462,0.157142554973154,0.571141015263856
67,1,84701,-0.0526482498924113,0.168325647576493,0.754635426623277
68,1,84858,0.0262249351662953,0.157651598931075,0.867978795796336
69,1,85751,-0.0468188422799719,0.158286178519327,0.767567401194501
70,1,87445,-0.0380855374601198,0.158627488473437,0.810396605916189
71,1,87467,-0.0985356851998234,0.159384668141838,0.536825296191261
72,1,89070,-0.0668285515489824,0.158432928606713,0.67342065827882
73,1,89616,-0.0318092084415803,0.157611254123541,0.840173177537899
74,1,89679,-0.0875540636488384,0.157571413765238,0.578804257724708
75,1,89880,-0.0835502459366171,0.157617530168733,0.596388203949077
76,1,91472,-0.0260428900969317,0.158844627696389,0.869862783417361
77,1,93789,0.0178544047220704,0.15721119939743,0.909643590907007
78,1,94351,-0.0506567708625918,0.15760477052661,0.748085020618904
79,1,99148,-0.0115848265586961,0.157212862329263,0.941299751284876
80,1,101281,1.18181521538258,1.71825681572767,0.492031087016069
81,1,106011,-0.0503329361763158,0.163824654229366,0.758844430291254
82,1,106800,-0.151180537702902,0.157220359335834,0.33691695579274
83,1,107970,-0.0560277617696398,0.156931407154662,0.721289634890104
84,1,109000,-0.0614255209455061,0.1572023608226,0.696223865439792
85,1,112549,-0.237408381839827,0.156549228838638,0.130285557724079
86,1,112742,-0.203415900310416,0.157298102135207,0.196791953118342
87,1,113050,-0.173355040693829,0.157134354832399,0.270679628081462
88,1,113135,-0.173887958712795,0.156731071084223,0.267983996195092
89,1,114076,-0.0756289894801628,0.156952485449952,0.630204618887026
90,1,114628,-0.00936173635341902,0.157400499313055,0.952605704787882
91,1,116283,-0.0461742535719233,0.158257656712929,0.770636685116432
92,1,126880,-2.64320508930889,2.96639024645178,0.373508714501033
93,1,127853,-0.0162168722231696,0.157979686412664,0.918297753004658
94,1,128302,0.0373397843457068,0.15736266190457,0.812573421838786
95,1,128704,0.00108731423982239,0.157531855967415,0.994496794685171
96,1,128911,0.110031793657393,0.157440417334014,0.485087877610891
97,1,130267,0.043194291706018,0.15745783809403,0.783996945660061
98,1,130271,0.0380967125956235,0.157648482928261,0.809186989812447
99,1,130613,0.173328242785999,0.158867231554333,0.276005676882585
100,1,132012,-0.0788332069394556,0.158741638620949,0.619770893162517
101,1,133231,-0.192107114673031,0.157338374205227,0.222908226350545
102,1,137074,-0.128543207374553,0.157297302016364,0.41436587192179
103,1,137304,-0.189884979961133,0.157176152102793,0.227816367849681
104,1,139686,-0.125365375862413,0.157566508674631,0.426779094613765
105,1,149562,-0.15011209590711,0.157865460699959,0.342312708537739
106,1,150447,-0.0784838752586945,0.159766237148286,0.623560619782978
107,1,151446,-0.0916179371890706,0.321036653679301,0.775519215638621
108,1,154084,-0.136972887639285,0.160148750629421,0.392973296598388
109,1,156633,-0.0975301276492884,0.162429563743701,0.548594552505953
110,1,157269,-0.198393339613429,0.157050429310662,0.20733446270542
111,1,160054,-0.133892287814581,0.158740607643063,0.39953911993373
112,1,166222,-0.0974064630665278,0.157639991890192,0.537036710702985
113,1,166416,-0.110441511473857,0.157295216687607,0.483061497835495
114,1,167326,-0.152792415498107,0.158090446086743,0.334462048058202
115,1,168836,-0.114511323699598,0.157431367851415,0.467479629297691
