SNP,Chr,Pos,Effect,SE,FMP45_MID2_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0303214734095735,0.197165224032682,0.877865462882199
2,1,1035,0.0748589193394928,0.199289047393898,0.707417699297679
3,1,1074,0.131071792505481,0.336779515220832,0.697369010919073
4,1,1470,0.113590349610053,0.335584255525737,0.735198711483011
5,1,1475,0.105266163657999,0.2476734904372,0.671081120645075
6,1,1491,0.0253501781394423,0.216702212933112,0.906941137580854
7,1,21249,-1.92831961659374,1.23986188232361,0.120777913687617
8,1,27243,0.0703142415042701,0.169680025409032,0.678837894926136
9,1,27272,0.0708590094699268,0.16712991557278,0.671841835392595
10,1,27498,-1.15183620189363,1.52535169414348,0.450675536647338
11,1,27561,1.131194360556,1.15171590161748,0.326682986133732
12,1,27816,0.145646838918138,0.170407354920918,0.393297997185736
13,1,27822,0.13258777672227,0.170220562505946,0.436550146121823
14,1,27823,0.170623767587164,0.173638651867278,0.326459112305212
15,1,27825,0.136259870349821,0.170212347389127,0.423942972571343
16,1,27843,0.113854525170334,0.163104570135052,0.485607856989075
17,1,27848,0.113854525170334,0.163104570135052,0.485607856989075
18,1,28495,0.0590855689067177,0.163189447116442,0.717518357941683
19,1,28975,0.0961559701229315,0.162047918204325,0.553306965232182
20,1,29283,-0.54645886726956,0.362172597450024,0.132235318703954
21,1,29752,-0.134503195312378,0.378738353971196,0.722700649094177
22,1,29787,2.01361991540022,1.01938883794652,0.0490103882058585
23,1,30057,-0.00217259242628476,0.332344095235437,0.994787816703808
24,1,30479,0.307364396611473,0.973670010817937,0.752434884697541
25,1,30706,0.0172013770326373,0.167436091718877,0.918232435103525
26,1,31435,0.0155651477393487,0.161697037140674,0.923367766464572
27,1,35128,0.3331673955467,0.222163335454472,0.134598712224594
28,1,35129,0.172452478179929,0.223252034345391,0.440360986061951
29,1,36146,-0.0757117960393057,0.160814889430014,0.638073701611197
30,1,37255,-0.0774227915258976,0.324669913733348,0.81165791967574
31,1,37409,-0.05054083089587,0.161712774761114,0.754818847074013
32,1,37478,-0.0594717255414278,0.161843229416898,0.71349238869783
33,1,39144,-0.0357025281230363,0.161124302581819,0.824766055388396
34,1,41499,0.0272574527506898,0.160682004388826,0.865393579032919
35,1,45359,-0.281004163771062,0.270109962383989,0.298897476075332
36,1,45634,-0.571848320882674,0.246613036190246,0.0209759585210883
37,1,51248,-0.202609289972235,0.161011798778524,0.209096639725926
38,1,51462,-0.18875523857394,0.161278736400806,0.242643007211712
