SNP,Chr,Pos,Effect,SE,ERG11_ERV25_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.103374615040665,0.143615223765917,0.472122825432458
2,1,1035,0.00891285393132379,0.14529209763503,0.951119662436585
3,1,1074,0.0281050046066884,0.245530169132373,0.908932996982086
4,1,1470,-0.220385101205947,0.244369159400773,0.367749793205105
5,1,1475,0.0349851518293081,0.18056834838946,0.846482930582208
6,1,1491,0.00683313590396528,0.157959122310273,0.965519622142637
7,1,21249,-1.97943325329224,0.900698488713586,0.0286220002718673
8,1,27243,-0.0777877353995071,0.123642301889889,0.529667409844414
9,1,27272,-0.00894268519285824,0.121852804029889,0.941537943147617
10,1,27498,-0.572416765096636,1.11232507387203,0.60714563640935
11,1,27561,0.742144683135444,0.839715376637764,0.377402992601209
12,1,27816,-0.0246119974995843,0.124333236159242,0.843196658678371
13,1,27822,-0.0101032670464387,0.124180940855282,0.935202371824574
14,1,27823,-0.0153390668354943,0.126737359435948,0.903735858723445
15,1,27825,-0.0160988674303723,0.12417914895913,0.896923293358216
16,1,27843,-0.00769255888649294,0.118969926296309,0.948481556724775
17,1,27848,-0.00769255888649294,0.118969926296309,0.948481556724775
18,1,28495,0.0202946053785323,0.118967653538205,0.864644466512524
19,1,28975,-0.0230652603992144,0.118170917125324,0.845359953028767
20,1,29283,-0.234857127521945,0.264546087288347,0.375266837149677
21,1,29752,-0.527759366559081,0.274683075185879,0.0554939332799352
22,1,29787,1.66923829357229,0.741837175182847,0.0250552930974582
23,1,30057,0.350923606839189,0.241527939141784,0.147131049315429
24,1,30479,0.326273696902866,0.70960582791524,0.645945936276095
25,1,30706,-0.0124154331008599,0.122045930700053,0.919030694605347
26,1,31435,0.0440019813257273,0.117840915717223,0.709073741421072
27,1,35128,0.278126301360623,0.161776314811102,0.0864540737977799
28,1,35129,0.179733526355871,0.162587003431071,0.269712914889565
29,1,36146,-0.0235247408830338,0.11724974327903,0.841097276791472
30,1,37255,0.0052724023071935,0.236674145300999,0.982239540801316
31,1,37409,-0.00111168592459171,0.117890402701918,0.992481526227083
32,1,37478,-0.00591580302929451,0.117991340757495,0.960041091253071
33,1,39144,-0.0823969786298835,0.117371430644665,0.483129900676013
34,1,41499,-0.184173298977454,0.116716629895923,0.115472192550356
35,1,45359,-0.197419695812282,0.196907372840035,0.316739766862659
36,1,45634,-0.0623269833575861,0.18109226808412,0.730921473961988
37,1,51248,-0.126011186917422,0.117434728837995,0.283989877317848
38,1,51462,-0.107811072100301,0.117645737954368,0.360080452260055
39,1,52124,-0.174174746657763,0.117260214755922,0.138338444317754
40,1,52667,-0.179272282262929,0.117049313236447,0.126517773671109
41,1,55470,-0.177223243567967,0.120264203460337,0.14147619194815
42,1,59265,-0.165869314231045,0.117045866011319,0.15732662594564
43,1,60165,-0.11223560778217,0.117137416387803,0.338641204393776
44,1,62308,-0.0791782528678596,0.117084828992276,0.499326722848433
45,1,62869,-0.0534604499711205,0.117111369014704,0.648316678265496
46,1,65431,0.0758477304438167,0.122280631874039,0.535476370901482
47,1,65451,0.103084550372616,0.120487611514003,0.392820759601539
48,1,65719,-0.0183084307664499,0.125772678065527,0.884345806868135
49,1,66841,0.0693424734172503,0.11714301475181,0.554264906457446
50,1,66948,0.0365099373095256,0.117904405518473,0.75700443379137
51,1,68621,-0.00753967641325987,0.117600284146833,0.948916747592908
52,1,69417,-0.0589434543991382,0.11724767416351,0.615470416276715
53,1,69820,-0.289305640046576,0.458699547622989,0.528639343597287
54,1,69821,0.266159835195506,0.284413028956391,0.350004839999495
55,1,70906,-0.24812359168241,0.18794870513482,0.187634806348664
56,1,74327,0.0452025481843817,0.117909945681725,0.70167991019868
57,1,74572,0.0501037877461234,0.117590274418333,0.670303519396625
