SNP,Chr,Pos,Effect,SE,ERV25_ORM2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0701371893533094,0.184386347240522,0.703890889626517
2,1,1035,0.156285832958721,0.186256061539807,0.401985967517133
3,1,1074,0.289278922244966,0.31469695364571,0.35860290571409
4,1,1470,0.518084691776643,0.312725386245693,0.0984734816550596
5,1,1475,0.394002474570632,0.230769119127589,0.08863726116665
6,1,1491,0.362066589821274,0.201777605391624,0.0736073732480445
7,1,21249,0.853162192823381,1.16278163129079,0.463603257132621
8,1,27243,0.186700037268048,0.158437031797294,0.239436347103596
9,1,27272,0.0876238689726492,0.156294741115965,0.575403930271735
10,1,27498,1.6564885461477,1.42516087722221,0.245891984146946
11,1,27561,0.817173315830418,1.07784810527777,0.448865499843089
12,1,27816,-0.0433249696305928,0.159538228393771,0.786115402216195
13,1,27822,-0.0348238878685951,0.159341324595924,0.827127675839306
14,1,27823,-0.045702933552156,0.162616221748373,0.778838386607837
15,1,27825,-0.0285919468840992,0.159344837636238,0.857699564255236
16,1,27843,0.037906012600849,0.152651340271693,0.804033085481218
17,1,27848,0.037906012600849,0.152651340271693,0.804033085481218
18,1,28495,0.0340047842298644,0.152656415442167,0.823856023133877
19,1,28975,0.0349869087485723,0.151635217833387,0.817657641276702
20,1,29283,-0.162722086181169,0.339737383906516,0.632260562160792
21,1,29752,-0.174027184727853,0.354194072952899,0.623496387713218
22,1,29787,1.22479198425544,0.95651893041891,0.201221274258926
23,1,30057,0.0712717155216644,0.310834015154241,0.818774856117997
24,1,30479,0.503915354421578,0.91045316170737,0.580286852709943
25,1,30706,0.050667577486516,0.156590012986793,0.746456434501667
26,1,31435,0.0334863191006089,0.151234365791399,0.824893418520788
27,1,35128,0.25968256237057,0.208002055841978,0.212689472451713
28,1,35129,0.00159316430030731,0.208994576118149,0.99392209621651
29,1,36146,-0.0137688202145692,0.150463200721777,0.927139622299106
30,1,37255,0.146695420059045,0.303603196803256,0.629266477522733
31,1,37409,0.0331559389577028,0.151268235021536,0.82663153316786
32,1,37478,0.0326786697833966,0.151398582908888,0.829233016380966
33,1,39144,0.0723447421461478,0.150668463117645,0.631412097218714
34,1,41499,0.112507073876359,0.150180264773304,0.454267604585581
