SNP,Chr,Pos,Effect,SE,PLM2_HNM1_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0676469402068146,0.0715937442192725,0.345370390672256
2,1,1035,0.11258079069083,0.0722202887394862,0.119927303875678
3,1,1074,0.0358027227164852,0.122451738348415,0.770166100778885
4,1,1470,-0.219505742363295,0.121464968420193,0.071589742050376
5,1,1475,-0.0811292817207363,0.0899641840064933,0.367780476781256
6,1,1491,-0.0241663037396365,0.0787757582782777,0.759196766409149
7,1,21249,0.0651314656271067,0.452295377291397,0.885581016536463
8,1,27243,0.0188868260118624,0.0616960558154582,0.759688447405822
9,1,27272,-0.00293176483565283,0.0607773866772902,0.961554038972424
10,1,27498,0.229807241680344,0.554873131760463,0.679007171456863
11,1,27561,-0.0658581914506566,0.419277454811623,0.875275193536069
12,1,27816,-0.0321970714171371,0.0619940618277285,0.603837045364818
13,1,27822,-0.0300747402929187,0.0619182328271148,0.627469149170291
14,1,27823,-0.0350634251332844,0.0631871749283571,0.579305170337522
15,1,27825,-0.0339356195670335,0.061912579123147,0.583954880117709
16,1,27843,0.0191408187835731,0.0593308217158683,0.747180305459528
17,1,27848,0.0191408187835731,0.0593308217158683,0.747180305459528
18,1,28495,0.0209885086338788,0.0593300125440984,0.723730911660968
19,1,28975,0.011830660161812,0.0589405074896872,0.841031505420989
20,1,29283,-0.0669412436852923,0.132048115491793,0.61250933713806
21,1,29752,-0.236755087390523,0.137141831084205,0.0851590257687095
22,1,29787,-0.255650457918515,0.372405388528794,0.492858425987887
23,1,30057,0.157339072774687,0.120537202434372,0.192635602985145
24,1,30479,0.320073317850234,0.353629460111555,0.366024804014256
25,1,30706,0.0149204684982168,0.060869162169701,0.806503162741396
26,1,31435,0.00331717183176251,0.0587874355230614,0.955033935828107
27,1,35128,-0.273534502871365,0.079708397576091,0.000670977285911528
28,1,35129,-0.165188655070092,0.0807573776332746,0.0415471327478598
29,1,36146,-0.0547673281924039,0.0584118777710405,0.34908796050773
30,1,37255,-0.150134332772156,0.117776443935191,0.203239748155789
31,1,37409,-0.0412634265644805,0.0587597549896905,0.482992534921759
32,1,37478,-0.0566407532759724,0.0587740669215235,0.335854479525419
33,1,39144,-0.0805060890046753,0.05842586307881,0.169101228951852
34,1,41499,-0.0920130957524182,0.058214648110053,0.114868943590143
35,1,45359,-0.104657488937185,0.098194326565743,0.287233400595089
36,1,45634,-0.0581550129751496,0.0902863942568843,0.519917776941014
37,1,51248,-0.0549098196945873,0.0585961086473112,0.349353003822578
38,1,51462,-0.0593082797799175,0.0586636341931083,0.312714234259471
