SNP,Chr,Pos,Effect,SE,SRO9_SGN1_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0944795063125025,0.144837078276214,0.514622041388293
2,1,1035,0.0702393880058528,0.14646210303364,0.631827460859411
3,1,1074,0.194421703226583,0.247374920182527,0.432430210307134
4,1,1470,-0.268159886640257,0.246286432658452,0.276979103473382
5,1,1475,0.0344810173820109,0.182081174887825,0.849910358535486
6,1,1491,0.00894829585198087,0.159281857319196,0.955230992312331
7,1,21249,-0.867011778268344,0.913269548542593,0.343092489451383
8,1,27243,-0.141503851519918,0.124520217968412,0.256563173252356
9,1,27272,-0.101820928279052,0.122754779807882,0.407401260592504
10,1,27498,-0.02344805636407,1.12206158577138,0.983339388205034
11,1,27561,0.368863927952081,0.847457552975222,0.663640097513878
12,1,27816,0.0599138693004821,0.1253410187805,0.632941183271191
13,1,27822,0.0644857161757878,0.125175176444189,0.606761025113504
14,1,27823,0.0369662927377,0.127786384497189,0.772535456100841
15,1,27825,0.0654366582459607,0.125173778410867,0.601464698387865
16,1,27843,0.0684447361734194,0.119911774160809,0.568503507913012
17,1,27848,0.0684447361734194,0.119911774160809,0.568503507913012
18,1,28495,0.0677848067561687,0.119914779469365,0.572245929581944
19,1,28975,0.0508317444956594,0.119136400246168,0.669880913669746
20,1,29283,-0.236052728857946,0.266763794185554,0.376826143374042
21,1,29752,-0.477748400016649,0.277264720002231,0.0857503636825156
22,1,29787,1.87373822679916,0.746766349322303,0.0125500267577223
23,1,30057,0.0636569430438829,0.244254573351799,0.794539686609752
24,1,30479,0.975038138090786,0.713879716678636,0.172861987663376
25,1,30706,0.0144598860575298,0.123067553391195,0.906534218023229
26,1,31435,0.0425267107598358,0.118829830673155,0.720647698948253
27,1,35128,0.240700312648795,0.163311109057756,0.141406187746171
28,1,35129,0.140299539999604,0.164062477233237,0.393043040077773
29,1,36146,-0.0110670605152456,0.118237070926503,0.925479537215906
30,1,37255,0.0103749216070703,0.238655995809349,0.965349636021805
31,1,37409,0.0599762499947715,0.118834969464261,0.614083045510128
32,1,37478,0.0442799964669064,0.118956685228217,0.709940288029955
33,1,39144,0.0516516715099903,0.118405182671274,0.662937887848372
34,1,41499,0.0199104516769431,0.118103820792066,0.866220171811415
35,1,45359,-0.39797452281795,0.197707658562545,0.0448793075751112
36,1,45634,-0.174871209642756,0.182402374686736,0.338360390241504
37,1,51248,-0.0294538453033514,0.11860093968792,0.804012579481815
38,1,51462,-0.0187434013448106,0.118767948145814,0.874692563576371
39,1,52124,-0.047491646372246,0.118584362750694,0.689039188355918
40,1,52667,-0.112206474605267,0.118270521613816,0.343408358106855
41,1,55470,-0.0608109904801666,0.121600878265818,0.617325578967552
42,1,59265,0.117958727134321,0.118194839462914,0.318961835487156
43,1,60165,0.149496352591719,0.118004068675943,0.20603536261716
44,1,62308,0.082875382071543,0.118059578553658,0.483154641707913
45,1,62869,0.0987888244825196,0.118010036641151,0.403090239496538
46,1,65431,0.0962264359449382,0.1232656466582,0.435535793107732
47,1,65451,0.101533854141758,0.12150256762291,0.403916003553987
48,1,65719,0.172393126482514,0.126497583915279,0.173808749337131
49,1,66841,0.151710956133348,0.117906613251054,0.199040508183776
50,1,66948,0.125487678790363,0.118720360985742,0.291233413677191
51,1,68621,-0.0577244300219183,0.118546157691037,0.626605667989859
52,1,69417,-0.0564394006808193,0.118233871955465,0.633405543628444
53,1,69820,-0.651930061150072,0.461499432820428,0.158644228312133
54,1,69821,-0.25960825920156,0.286818095932575,0.366012761984733
55,1,70906,0.0331063790785429,0.189982025980766,0.861760568690502
56,1,74327,0.0246895935492162,0.118915016801948,0.835642407873297
57,1,74572,0.0346261880272911,0.118591348988512,0.770474169383685
58,1,75211,0.0750913464633114,0.118321979160702,0.526077160173604
59,1,76030,0.0696803772761398,0.11833135632382,0.55633308614012
60,1,80108,0.00161849169298917,0.118361437241116,0.989097674099954
61,1,81262,-0.000678419024403548,0.11831671675969,0.995428254882586
62,1,81999,-0.0312533927211282,0.118594002850524,0.792293820642671
63,1,82431,-0.0458339396898771,0.119142143949181,0.700691625974402
64,1,83284,-0.0226691554097456,0.118293802397167,0.84813881874661
65,1,83613,0.0110348051651703,0.118285461458209,0.925726406608215
66,1,84112,-0.0356054684764207,0.118284775470746,0.763580429581221
67,1,84701,-0.0168764848879609,0.126675524993877,0.894090492503858
68,1,84858,0.088197299882277,0.118540923251468,0.457356877492895
69,1,85751,-0.000536643326376998,0.11912144691689,0.996408078906066
70,1,87445,-0.00795358736375018,0.119372514166992,0.94691533757025
71,1,87467,-0.0715647967685365,0.119937720815117,0.551101527933985
72,1,89070,-0.0202663638940593,0.119242279410448,0.865139311577085
