SNP,Chr,Pos,Effect,SE,ALO1_HYR1_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0785242635061333,0.183079191390862,0.668251273069708
2,1,1035,0.0440203013426304,0.185115456697683,0.812174828741603
3,1,1074,-0.200521073096275,0.31267505244615,0.521738623711412
4,1,1470,-0.234781602792488,0.311479938970428,0.451494880865403
5,1,1475,0.0659635613461917,0.230063281153226,0.774495542490907
6,1,1491,0.147312421599525,0.201117210019623,0.464367504937018
7,1,21249,0.234872799630573,1.15541507754734,0.83903329752787
8,1,27243,-0.129812781693311,0.157480215313701,0.41031910132275
9,1,27272,-0.0517667051523046,0.155239989820751,0.738983223630205
10,1,27498,-0.60159170642695,1.41748005324146,0.671525883534307
11,1,27561,0.883411440082414,1.07010502846272,0.409624263449384
12,1,27816,0.0353035060868491,0.158421438200699,0.823784635694546
13,1,27822,0.0338814030732164,0.158220942935807,0.830561669429259
14,1,27823,0.031210972774754,0.161481897308149,0.846852052497214
15,1,27825,0.0551295852735972,0.158204010479063,0.727693864517982
16,1,27843,-0.00362846533794946,0.151590703659289,0.980917234570387
17,1,27848,-0.00362846533794946,0.151590703659289,0.980917234570387
18,1,28495,0.0363268291448059,0.151580950504512,0.81073836983215
19,1,28975,0.0316288989865749,0.150570556461244,0.833741784420395
20,1,29283,-0.301610773997057,0.337075219425971,0.371510259170288
21,1,29752,0.1275678945803,0.351757383500508,0.717076851947902
22,1,29787,2.38063467272642,0.943523989952611,0.0120700629376583
23,1,30057,-0.0813072664485253,0.30864025038913,0.792367469120094
24,1,30479,1.82630202619038,0.899202553796687,0.0430014910126603
25,1,30706,-0.0113928326970128,0.155510430892405,0.94164000632292
26,1,31435,0.00273072239795949,0.150180938717706,0.985503230698405
27,1,35128,0.272736807317761,0.206484811288837,0.187404834450034
28,1,35129,-0.0976285140490578,0.207459457375226,0.638223609555134
29,1,36146,-0.102390358518961,0.14930718923104,0.493308420444024
30,1,37255,-0.224284954378186,0.301330958095383,0.457181511816571
31,1,37409,0.00525620801856996,0.150214172493585,0.972106355990074
32,1,37478,0.0103220042013739,0.150342559567713,0.945301863398536
33,1,39144,0.00413613252503839,0.149657345478142,0.977967009129011
34,1,41499,-0.0162212307206462,0.14923989338988,0.913508287691818
35,1,45359,-0.117987588933809,0.251175291270656,0.638829381887162
36,1,45634,-0.213881879270812,0.230503186461581,0.354098012934547
37,1,51248,-0.172901454201066,0.149594844537379,0.248545377750228
38,1,51462,-0.182557485721574,0.149766005393101,0.223676560798055
39,1,52124,-0.16661163686431,0.1496150628023,0.266207648364322
40,1,52667,-0.219063197034859,0.14918249601687,0.142879523781734
41,1,55470,-0.263458353579831,0.15306874610009,0.0860949418175495
42,1,59265,-0.0562266448153178,0.14953200434315,0.707129790962891
43,1,60165,-0.0242641608568877,0.149443348594888,0.871112428731237
44,1,62308,-0.117814315554092,0.149152812116533,0.430122279836519
45,1,62869,-0.152413936809054,0.149045217905977,0.307196345499384
46,1,65431,-0.155686267764824,0.155672891425076,0.317953969138008
47,1,65451,-0.169842027824046,0.153416740848864,0.269020419035273
48,1,65719,-0.118790826246048,0.160137950094299,0.45869989870481
