SNP,Chr,Pos,Effect,SE,MID2_TPO2_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.255134864008924,0.151201059877464,0.0924121021653074
2,1,1035,0.177065584927229,0.153180776049418,0.248493322193092
3,1,1074,0.298224271893273,0.258868010793641,0.250087470135827
4,1,1470,0.320281683836499,0.25785734949949,0.215028427752125
5,1,1475,0.219088724405753,0.190384664577809,0.250606293061577
6,1,1491,0.140699399505382,0.166681857814797,0.399174335652578
7,1,21249,-0.734462578155649,0.957080959269483,0.443357539602929
8,1,27243,0.0320191678890733,0.130663363999203,0.80655945428416
9,1,27272,-0.0096203527802543,0.128711024648033,0.940460885438394
10,1,27498,-1.62217462814999,1.1721954230979,0.167270398746321
11,1,27561,1.38677026733507,0.884884976012244,0.117969571533567
12,1,27816,0.0257243531085261,0.131331252065064,0.844821639267532
13,1,27822,0.0151651948933289,0.131168979250335,0.90802285038912
14,1,27823,0.0292324826801212,0.133864270624668,0.827263873644973
15,1,27825,0.0261727780282277,0.131164065495938,0.841953458261215
16,1,27843,-0.026767116069091,0.125658594369357,0.83143853254623
17,1,27848,-0.026767116069091,0.125658594369357,0.83143853254623
18,1,28495,-0.0355096980168132,0.125654492040253,0.777650704542962
19,1,28975,-0.0098754448107759,0.124827575094964,0.936987820568659
20,1,29283,-0.352475094368338,0.279117582513488,0.207487623574959
21,1,29752,-0.109387420660028,0.291598140822933,0.707788538735554
22,1,29787,1.98763322795821,0.782066865091845,0.0114645026898752
23,1,30057,-0.063097561104267,0.255861551147689,0.80535479010118
24,1,30479,0.669296126933825,0.748922343601392,0.372102567802215
25,1,30706,-0.111347752749553,0.128780652941972,0.387828486184541
26,1,31435,-0.043855149282736,0.124476067960558,0.724810098679898
27,1,35128,0.100928458422731,0.171511388870511,0.556596507905238
28,1,35129,-0.0969447224018767,0.17195752281982,0.573267734423315
29,1,36146,-0.130899423653662,0.123659878290099,0.290531299539306
30,1,37255,-0.0746182103682234,0.249963534037966,0.765484715881473
31,1,37409,-0.110230842329079,0.124387371421484,0.376118466806646
32,1,37478,-0.0941466459471372,0.124531932459731,0.450150959832637
33,1,39144,-0.0685967943935642,0.124010241445118,0.580507921185618
34,1,41499,-0.0994487921845021,0.123606569650811,0.421615666875096
35,1,45359,-0.122821333464758,0.208183253792303,0.555589949588274
36,1,45634,-0.145098247768142,0.191160864363664,0.448336709921146
37,1,51248,-0.155969166458545,0.123968823859677,0.209175507249987
38,1,51462,-0.147010791207469,0.124168645552124,0.237225259868598
39,1,52124,-0.110441245361814,0.124107330083256,0.374133719704047
40,1,52667,-0.163460261103775,0.123741868110516,0.187364428397064
41,1,55470,-0.0905130492718232,0.127332082363364,0.477651269964294
42,1,59265,0.0144975861230237,0.123982356982608,0.906979919904878
43,1,60165,0.0323207029758318,0.123879123212916,0.794317782695911
44,1,62308,-0.0778897443900981,0.123685356785215,0.529271410898657
45,1,62869,-0.0899924261552247,0.123646531535806,0.467206216147486
46,1,65431,-0.0835040391444783,0.129156890471249,0.51835512811283
47,1,65451,-0.0611109457296464,0.127359389323605,0.631644943055201
48,1,65719,-0.0407033447783978,0.132837880765047,0.7594703367589
