SNP,Chr,Pos,Effect,SE,SSH1_ERV25_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.132916119635372,0.188440038676485,0.481057825890401
2,1,1035,0.238217601398011,0.19021365211444,0.2112646686901
3,1,1074,0.16023738087361,0.322048100003752,0.619105898210004
4,1,1470,0.127386437150601,0.320929248660124,0.691658970837146
5,1,1475,0.15978260565555,0.236779896864036,0.500235091172623
6,1,1491,0.119602690905932,0.207157643923967,0.564070350346781
7,1,21249,-1.68034204734615,1.1864788688572,0.157586241370177
8,1,27243,-0.0649058419265174,0.162282653958171,0.689431192305288
9,1,27272,0.126833943838537,0.159739169350245,0.427725060317847
10,1,27498,-1.80225912794085,1.45685135085604,0.216875261811038
11,1,27561,0.523448853694663,1.10263948490551,0.635277633260851
12,1,27816,0.107585728050437,0.163043584704547,0.509774798272837
13,1,27822,0.0990485824715354,0.162851450672326,0.543436473462548
14,1,27823,0.0859407435732732,0.166229982323245,0.605480588731815
15,1,27825,0.112379374902164,0.162826934382938,0.490536510331459
16,1,27843,0.0685521619366287,0.156056243080677,0.660728482308107
17,1,27848,0.0685521619366287,0.156056243080677,0.660728482308107
18,1,28495,0.104153331382895,0.156002955751426,0.504801624198216
19,1,28975,0.067161940349998,0.155016759563663,0.665093421634129
20,1,29283,-0.462238008437336,0.346620675737341,0.183209328355186
21,1,29752,0.111965553432919,0.362236530210355,0.757431504143497
22,1,29787,2.46375816991673,0.971494519310071,0.0116416001973205
23,1,30057,0.102659262442776,0.317802980446366,0.746865294274457
24,1,30479,1.23185863492444,0.929027087850655,0.185708200265849
25,1,30706,0.00518878090459346,0.160136037021009,0.974169516263172
26,1,31435,0.0474845504314641,0.154626494432965,0.758954470124414
27,1,35128,0.447878584620107,0.211812928815121,0.035173098525468
28,1,35129,0.293895858425232,0.213122680895507,0.168768332681469
29,1,36146,-0.0245673354126932,0.153844165030861,0.873216812083726
30,1,37255,0.107154048447054,0.310483066455135,0.730209385968427
31,1,37409,0.0645457535065312,0.154643411062213,0.676650969176096
32,1,37478,0.0529077202834329,0.154788923191661,0.732700589022137
33,1,39144,0.0509735945229806,0.154084194592915,0.740979368389018
34,1,41499,0.0136189366420996,0.153678906818169,0.929434622489966
35,1,45359,-0.031779864838799,0.258720131866173,0.902307730640206
36,1,45634,-0.165374958872527,0.237484201246516,0.486660452303642
37,1,51248,-0.240881289620572,0.153801308246624,0.118201301468356
38,1,51462,-0.224138272080484,0.154082901362972,0.146651941158296
39,1,52124,-0.139904459906455,0.154155011123863,0.364731448451888
40,1,52667,-0.272534739065362,0.153403124690701,0.0764965910335448
41,1,55470,-0.134611020527069,0.158118535048991,0.395163314724737
42,1,59265,0.0223642442089591,0.154005076456731,0.884621968193826
43,1,60165,0.0637734978539363,0.153855858701232,0.678758573397975
44,1,62308,-0.0208150686500879,0.15372005508582,0.892365741793666
45,1,62869,-0.0400821359274719,0.153689934335502,0.794399817352026
46,1,65431,-0.137943345452655,0.160361300435778,0.390260733212416
47,1,65451,-0.102938770609874,0.158158242353898,0.51556071017744
48,1,65719,-0.0992281179991306,0.164944137510923,0.547835759804542
49,1,66841,-0.077244559041539,0.153722210817211,0.615633073574353
50,1,66948,-0.129755641949185,0.154566717531578,0.401768263462707
51,1,68621,-0.298765427202882,0.153480219355765,0.052375022837227
52,1,69417,-0.21943546922598,0.153449467090734,0.153596389786769
53,1,69820,-0.740457974555008,0.60089814518491,0.218675069580477
54,1,69821,-0.648171656918215,0.372038952354465,0.0823418571145046
55,1,70906,0.0190407529141048,0.247209529557739,0.938649099042738
56,1,74327,-0.0746177719669298,0.154688415996823,0.62983878908875
57,1,74572,-0.0457210440133067,0.154308237439235,0.767177635268398
58,1,75211,-0.050096705945561,0.154023021618598,0.745181032112392
59,1,76030,0.00661477076638817,0.154045697152033,0.965773389773571
60,1,80108,-0.0816022121128057,0.153948422069609,0.596402172499237
61,1,81262,-0.12838526551255,0.153799728873703,0.404419607245052
62,1,81999,-0.161600938961757,0.154087553718139,0.295005866086693
63,1,82431,-0.156828078114026,0.154833134875524,0.311809093505905
64,1,83284,-0.141528338633928,0.153745211684213,0.357920234221778
65,1,83613,-0.107960533926668,0.153805374091003,0.483185652006309
66,1,84112,-0.134973036920581,0.153761909516202,0.380646373220019
67,1,84701,-0.0740140918226186,0.164784830385543,0.653594768722373
68,1,84858,-0.0121449316827145,0.154362720117437,0.937333419431985
69,1,85751,-0.116608820315951,0.15487424061104,0.451996292710289
70,1,87445,-0.0900050677072414,0.155252315968994,0.562463731499484
71,1,87467,-0.167296653803905,0.155885242425602,0.283912723403598
72,1,89070,-0.10324934413814,0.155064772277169,0.50594404989168
73,1,89616,-0.048193729202501,0.154306105809116,0.754977585784808
74,1,89679,-0.0792523391275346,0.154289317058954,0.607810679475093
75,1,89880,-0.0743185052486331,0.154335393617232,0.63043187244563
76,1,91472,-0.0194245668931741,0.155528613449356,0.900678682147739
77,1,93789,-0.057804063725884,0.15389888766715,0.707441620758559
78,1,94351,-0.103608925823366,0.154236200523822,0.502179119025586
79,1,99148,-0.0823919546938594,0.153867158290737,0.592658906516532
80,1,101281,2.43400165320312,1.67849483712947,0.147915835321647
81,1,106011,-0.0552471818245361,0.160396607960571,0.730719701077333
82,1,106800,-0.0525244737137361,0.154111916066145,0.733441598042422
83,1,107970,-0.0331037800421129,0.153670515737436,0.829563895130354
84,1,109000,0.0100720290432615,0.153950520095079,0.947873604763001
85,1,112549,-0.0856666980334704,0.153709567820618,0.57765633377044
86,1,112742,-0.0480046124663491,0.154355150548224,0.755983397379631
87,1,113050,0.0108682610209032,0.154115504963254,0.943819532200393
88,1,113135,-0.0302239526068878,0.153715630104229,0.844236107151826
89,1,114076,0.0907005086569011,0.153648227961552,0.555358693724613
90,1,114628,0.11453080299701,0.153992335579045,0.457526396613626
91,1,116283,0.090969911031785,0.154894445533609,0.557375948587401
92,1,126880,-4.29717028947558,2.89867324333228,0.139109817216712
93,1,127853,0.0943503807322992,0.154600027837532,0.542064422056543
94,1,128302,0.0838718738107099,0.154022732783061,0.58641225328257
95,1,128704,0.0479864558595443,0.154219645015865,0.755865263030121
96,1,128911,0.11077993795993,0.154145136263888,0.472817887974338
97,1,130267,0.114644215129104,0.154063953552615,0.457290501816274
98,1,130271,0.119395528650622,0.154236882280479,0.439386886235728
99,1,130613,0.137402092709248,0.155638576531634,0.377930010965234
100,1,132012,-0.143108390528953,0.155292889041549,0.357398679874413
101,1,133231,-0.167180296800737,0.154119642865533,0.27877550273579
102,1,137074,-0.147318706812829,0.153957200875774,0.339282228567695
103,1,137304,-0.176191461316161,0.153924923455971,0.253126199763416
104,1,139686,-0.0974973906413371,0.154325758626989,0.527950300794006
105,1,149562,-0.156152903790372,0.154541923708035,0.312984168667346
106,1,150447,-0.121800565969854,0.15634760047668,0.436479847730918
107,1,151446,-0.0913459274370805,0.314328383127466,0.77152280627406
108,1,154084,-0.147666799111962,0.156768498882608,0.346866616612848
109,1,156633,-0.139655430722368,0.158943652165005,0.380190150945711
110,1,157269,-0.188722923687024,0.1537889051019,0.22058187326397
111,1,160054,-0.119893480521715,0.155449901106764,0.441064252164208
112,1,166222,-0.127907032957436,0.154279978926252,0.407631890777451
113,1,166416,-0.11550513305237,0.153993925365136,0.453716428629585
114,1,167326,-0.142242926841636,0.154807350143746,0.358807546980606
115,1,168836,-0.0999742365187279,0.154166061248447,0.517093519861546
116,1,171200,-0.180637611815495,0.154189417749279,0.242175723140726
117,1,171431,-0.253969983452006,0.15486453745709,0.101906496258102
118,1,173339,-0.216961685940436,0.153811576091826,0.159252630940231
119,1,173845,-0.21060888210968,0.153708388864754,0.171500027661008
120,1,175121,-0.230962362940145,0.153318996841924,0.132854445687616
121,1,175281,-0.219584490097171,0.153497463149882,0.153446241913574
122,1,175315,-0.231849956280078,0.153397744150832,0.131573585867166
123,1,175523,-0.211005609372376,0.154357226539265,0.172496663763114
124,1,175541,-0.226353416797661,0.153662060231781,0.141625978094912
125,1,175653,-0.246707359859324,0.15406278233408,0.110195446470169
126,1,175805,-0.152089400951358,0.163166059342452,0.351914580712834
127,1,175818,-0.239606281004996,0.159103282010924,0.132966724067626
128,1,175856,-0.258612285802216,0.156570083113235,0.0994778104638166
129,1,175876,-0.226501192899711,0.154295003873365,0.143001492391615
130,1,175989,-0.212674671730228,0.154793490478985,0.170336698650582
131,1,176001,-0.219662993799211,0.155576866887116,0.158852691984747
132,1,176451,-0.169045521327996,0.157634363446846,0.284277461519922
133,1,177692,-0.24275201133302,0.1533499602194,0.114318397046227
134,1,178191,-0.257641629596422,0.153434538737546,0.0940051013098131
135,1,178224,-0.24275201133302,0.1533499602194,0.114318397046227
136,1,178960,-0.25373438770471,0.154533432681088,0.101493287003406
137,1,179139,-0.266625626966858,0.307120407948867,0.385903734985838
138,1,179139,-0.345676822626685,0.61893544062356,0.576855565544938
139,1,180955,0.000713438288077795,0.178144169640474,0.996806873504689
140,1,183802,-0.176474682993371,0.153625801096189,0.251444805093437
141,1,183954,-0.191324656368783,0.154698406277771,0.216998719251805
142,1,184450,-0.12340358350098,0.153535368095654,0.422084035268565
143,1,184641,-0.114803048697472,0.158029788923839,0.468035425665675
144,1,184718,-0.162144644760202,0.154307794795264,0.29407518186089
145,1,185296,-0.117765939739016,0.153765595105613,0.444259720151718
146,1,185438,-0.097491113472112,0.153813062291923,0.526603183264318
147,1,185469,-0.107541787924076,0.154016347467211,0.485481086962719
148,1,185503,-0.0930132718825909,0.153644311027272,0.545315192616143
149,1,185705,-0.109227911898292,0.155333372407535,0.482404714962862
150,1,185749,-0.114425249727727,0.155322772518107,0.461798179220519
151,1,185806,-0.150320648906739,0.155443919560114,0.334185582825276
152,1,185879,-0.158497573938672,0.156174127849613,0.310859422511135
153,1,185916,-0.066263190997289,0.156290881459593,0.671843384414956
154,1,185941,-0.0808196175245294,0.156952732555812,0.606924446688607
155,1,185954,-0.103217659823131,0.157374350670542,0.512332793995608
156,1,186055,-0.0999001164917777,0.154235799816708,0.517593366646342
157,1,186896,-0.126887831203016,0.156712115706435,0.418665290035471
158,1,187697,-0.42204949066952,0.319106977420354,0.186826105021103
159,1,189392,-0.372833533323854,0.320960984349154,0.246176164107874
160,1,189416,-0.365557554765303,0.310455008151558,0.239793397808076
161,1,190132,0.137873307455029,0.15434884381576,0.372327694879838
162,1,190148,0.158600783493723,0.154339113540533,0.304835817640856
163,1,190165,0.127713757668476,0.155609143925722,0.412351535647964
164,1,190169,0.159131930134783,0.155332568399685,0.306319795069541
165,1,190933,0.0380350228493566,0.154288505530516,0.805423916164077
166,1,192149,0.23433469682405,0.155062513424765,0.131625208495467
167,1,192302,0.190692794021681,0.205151443433961,0.353253784192945
168,1,192303,0.204473103958946,0.185135241357994,0.270149096126875
169,1,192305,0.191880746694906,0.192449576755826,0.319425981894219
170,1,192315,0.124742433306569,0.218523360764853,0.568469582738833
171,1,192795,0.192715594919382,0.153667725868814,0.210633360200723
172,1,194020,0.129624577257583,0.162071849047795,0.42436629993853
173,1,194187,0.0850148539229393,0.154070839072414,0.581440909110893
174,1,194867,-0.0578423076550171,0.154022622049011,0.707481317948623
175,1,197325,-0.0394047445604904,0.157798584965048,0.80295266074238
176,1,197392,-0.0691180464658265,0.159798690470737,0.665618922333614
177,1,198857,-0.30023070496307,0.738513101870567,0.684596617450723
178,1,206666,-0.128762359377223,0.173121405703313,0.457510917787808
179,1,206675,-0.129156530003078,0.225460672990891,0.567106808262545
180,1,223051,-0.329550708675323,0.177662951546618,0.0644411324186277
181,1,223059,-0.451946074259418,0.183813442317665,0.0144226578008727
182,2,7366,-0.397863120642134,0.222428282998391,0.0745164221697372
183,2,8180,0.218208523303726,0.307402720878927,0.478268408548672
184,2,8187,0.321763923069749,0.319437907547998,0.314489425605485
185,2,8250,0.137110485308821,0.315079299457817,0.663710896687732
186,2,8253,0.0830670160062947,0.315132787256654,0.792246819435708
187,2,8285,0.0917204030651443,0.17079775872234,0.591597808781005
188,2,8302,0.141752511172129,0.159764841999537,0.375544526547292
189,2,8306,0.141752511172129,0.159764841999537,0.375544526547292
190,2,8314,0.166546098604298,0.156410768810525,0.287694489320139
191,2,8317,0.129496289289614,0.160086294096404,0.41910859453826
192,2,8328,0.0825731254564335,0.159457180218888,0.604895074925247
193,2,8331,0.0774980538006518,0.159164405855436,0.626627359535911
194,2,8498,0.0618552234940934,0.156397670786534,0.692713087740594
195,2,8651,0.0339194744659421,0.156568377988952,0.82861156267845
196,2,9418,-0.0773657884277679,0.39819944588142,0.846061327208253
197,2,9812,0.0530959362690926,0.157483790978051,0.736202876654775
198,2,9932,0.0234037509281404,0.156883409411982,0.881497373961629
199,2,10135,0.0229560018896497,0.156282752547868,0.883304575267588
200,2,11616,0.0842284933286779,0.156057264761171,0.589724842734611
201,2,12133,0.0803223012394425,0.156683983731318,0.608524575089585
202,2,12194,0.102669858823458,0.157253484544305,0.514249583836163
203,2,12359,0.057749750271137,0.156858242117793,0.712970709237865
