SNP,Chr,Pos,Effect,SE,SNA4_VAC8_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.120975078893969,0.0740962000375673,0.10342882109829
2,1,1035,0.082754326432266,0.0750599782099626,0.270991392829912
3,1,1074,0.0481581440608849,0.127038428059363,0.704853937917318
4,1,1470,-0.0657176767200891,0.126558380433993,0.603899497940289
5,1,1475,0.0211088325140651,0.0934423810717988,0.821408281919996
6,1,1491,-0.0213572374478725,0.0817361989877171,0.79401761697381
7,1,21249,-0.72279492468032,0.46771003894851,0.123147691293441
8,1,27243,-0.0689992651951101,0.063915365892172,0.281083627254563
9,1,27272,-0.10094506604421,0.0628300372114045,0.109028107201047
10,1,27498,-0.370657772688563,0.575506357241457,0.519957985856011
11,1,27561,0.0301998885343555,0.435030472953443,0.944694483568661
12,1,27816,0.152984633616028,0.0638287817140798,0.0170585612666286
13,1,27822,0.14881484827827,0.0637742928060124,0.0201848608896128
14,1,27823,0.148060295749028,0.0651128339734368,0.0235716588302719
15,1,27825,0.144307861912209,0.0638036277651214,0.0243206176525608
16,1,27843,0.133430384831876,0.0611563655917656,0.0297840237908388
17,1,27848,0.133430384831876,0.0611563655917656,0.0297840237908388
18,1,28495,0.15104979731364,0.0610411700914202,0.0138094400095206
19,1,28975,0.140789064493716,0.0606959635686314,0.0209336922846718
20,1,29283,-0.19450417285961,0.136663872669609,0.15555257395668
21,1,29752,-0.286311527909088,0.142074983891961,0.044639807270034
22,1,29787,-0.257277227211066,0.386401740531329,0.505955682450868
23,1,30057,0.304624069170421,0.124311068950969,0.0147505334275352
24,1,30479,0.0209131352314476,0.36732945989332,0.954630849951048
25,1,30706,0.122810246294189,0.0628205762349832,0.0513794269140073
26,1,31435,0.116573575071784,0.0606783505237349,0.055515026183525
27,1,35128,-0.0434904664439459,0.0840371699085602,0.605121088113964
28,1,35129,-0.0121252220931169,0.084281858614964,0.885689050082575
29,1,36146,0.0945729681474009,0.0604710947726094,0.118728423193724
30,1,37255,0.132539304868418,0.122275695444149,0.279131948848504
31,1,37409,0.113773684102979,0.0607070460705039,0.0617365012285835
32,1,37478,0.111995874223881,0.0607691074529889,0.0661710900138567
33,1,39144,0.0626091444181845,0.0606907148634456,0.302961153847681
34,1,41499,0.055812061099745,0.0605406991584252,0.357213904417861
35,1,45359,-0.0260873065378351,0.102035151885474,0.798354730264809
36,1,45634,-0.0730950119485994,0.093650243194719,0.435613425626858
37,1,51248,0.118532273631194,0.0605437216301878,0.0510413819348275
38,1,51462,0.105693525923144,0.060693930288032,0.0824814159222796
39,1,52124,0.123339764248742,0.0605165116705754,0.0422831736861539
40,1,52667,0.106337740739694,0.0605098615919262,0.0797229186358973
41,1,55470,0.0607360479786407,0.0623441399169688,0.330621268021791
42,1,59265,0.13684254954285,0.0603050835253257,0.023860871843126
43,1,60165,0.0795259510827998,0.0605496531929514,0.189901030804709
44,1,62308,-0.00996776741499159,0.0606283431658315,0.869504288619612
45,1,62869,0.00371296958191329,0.0606227272245698,0.951197037346875
46,1,65431,0.0139485472441581,0.0633103815185226,0.825749259346831
47,1,65451,0.0398148349029268,0.062380999923413,0.523723102547621
48,1,65719,0.0391765253013547,0.0650559388544398,0.547429269637037
49,1,66841,0.0276315654190197,0.0606337872680632,0.648877042013486
50,1,66948,0.0502447256134717,0.060965221258967,0.410408610698852
51,1,68621,0.0451520852163555,0.0608110638087366,0.458279529427563
52,1,69417,0.0312015552654488,0.0606746956180926,0.607403681719011
53,1,69820,-0.231165494925918,0.237191948987122,0.330429809333758
54,1,69821,-0.0483969144344014,0.147343762818995,0.742756679355279
55,1,70906,-0.121498262106381,0.0972886319464908,0.212549917749378
56,1,74327,0.0388280374663163,0.060996128828264,0.524820391810776
57,1,74572,0.0199374323400206,0.060859393142039,0.743409624302527
58,1,75211,0.0334246788640257,0.0607316348547275,0.582415870647105
59,1,76030,0.0708571851574167,0.0606405253040379,0.243402087385692
60,1,80108,0.0347912582849364,0.0607150882596275,0.566992651812372
61,1,81262,-0.0320043764019083,0.0606964579284884,0.598326404364376
62,1,81999,-0.0460944109386548,0.0608191814662467,0.449020898194083
63,1,82431,-0.0298792108631902,0.0611360993017077,0.625334438639146
64,1,83284,-0.0332979080251322,0.0606858782507105,0.583563111070474
65,1,83613,-0.0043457210962183,0.0607046206774533,0.942970348387881
66,1,84112,-0.00498157529577785,0.0607111724084579,0.934650529572609
67,1,84701,0.0135396868126362,0.0650077489508269,0.835131993027284
68,1,84858,-0.00149517894343491,0.0608830465923566,0.980421225356429
69,1,85751,-0.0449620155191919,0.0610864869595343,0.462195983176894
