SNP,Chr,Pos,Effect,SE,TPO1_MID2_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.172187788718526,0.0723873056994595,0.0179050334222994
2,1,1035,0.159641480553322,0.0732723644297913,0.030011893772669
3,1,1074,0.122864258172132,0.124483269978297,0.324321532953891
4,1,1470,-0.158931018140337,0.123917630501133,0.200490015374288
5,1,1475,-0.119482885046942,0.0914563363741129,0.192251042451258
6,1,1491,-0.0570216792060616,0.0801366384005201,0.477209914404738
7,1,21249,-0.196115503700098,0.460272610241945,0.670305204289854
8,1,27243,-0.0976242925201187,0.062591533883232,0.119725791547637
9,1,27272,-0.141532504413243,0.0614032669822021,0.021748001302102
10,1,27498,0.229986653266749,0.564792715469387,0.684103934980425
11,1,27561,0.233612263058449,0.426603264660576,0.584305710656078
12,1,27816,-0.0258531961184798,0.0631109369610893,0.682313497069464
13,1,27822,-0.0238384086364641,0.0630329369882398,0.70551698495221
14,1,27823,-0.0257203661893604,0.0643297468953956,0.689530380052567
15,1,27825,-0.0197600180818089,0.0630369325111129,0.754110787646857
16,1,27843,-0.00952536634109295,0.0603977771515449,0.874775064205133
17,1,27848,-0.00952536634109295,0.0603977771515449,0.874775064205133
18,1,28495,-0.0102990086033254,0.0603983954989069,0.864700535143383
19,1,28975,-0.0167330280175007,0.059990527051877,0.780463538765857
20,1,29283,-0.177525686655908,0.134124188603073,0.186495174746824
21,1,29752,-0.412322384266698,0.13845195630966,0.00310101043533144
22,1,29787,-0.262552671163938,0.37905533234308,0.488984639879445
23,1,30057,0.0194765101116241,0.12298245416201,0.874257227140201
24,1,30479,-0.359787230624733,0.35985673381507,0.318088837496853
25,1,30706,-0.0384513927129231,0.061928297141071,0.535064913120446
26,1,31435,-0.023361348846903,0.0598252567756512,0.696407512126793
27,1,35128,0.0614668945584862,0.0824100312554128,0.456244351354049
28,1,35129,0.0161161589753189,0.0826816979475085,0.845569204425866
29,1,36146,-0.0175694547878041,0.059522280621252,0.768034172363524
30,1,37255,0.00514260436344927,0.120156283439871,0.965885723319116
31,1,37409,0.0137592331573971,0.0598470136609168,0.818297385810521
