SNP,Chr,Pos,Effect,SE,ERG11_MID2_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.139733112958387,0.100894007038575,0.166942522155558
2,1,1035,0.167009563628078,0.101887495188516,0.102071518924654
3,1,1074,0.0763989906196141,0.172788890094861,0.658649826635541
4,1,1470,-0.398604721313692,0.170902519066312,0.0202438595973437
5,1,1475,-0.187864735442611,0.126718489012727,0.139089878709615
6,1,1491,-0.193607387195694,0.110712306476323,0.0812046275032229
7,1,21249,-0.548264041330097,0.637674644915453,0.390490271912025
8,1,27243,-0.0418408614325898,0.0870545535321118,0.631078598046769
9,1,27272,-0.0434783491115758,0.0857440217313201,0.612421267617846
10,1,27498,-0.0324537105104996,0.783279277225742,0.966974027702002
11,1,27561,0.802458812336086,0.590202434696804,0.174813853904242
12,1,27816,-0.0417390438282441,0.0874972739123469,0.633634160402808
13,1,27822,-0.0403993496600952,0.0873877800357279,0.644151181791146
14,1,27823,-0.0609754196502706,0.0891557260816428,0.4944741394875
15,1,27825,-0.041772711513079,0.0873859508479152,0.63292795455424
16,1,27843,-0.0197357455896326,0.0837391826663204,0.81381678356814
17,1,27848,-0.0197357455896326,0.0837391826663204,0.81381678356814
18,1,28495,0.0261614110046613,0.0837355501995872,0.754899020194902
19,1,28975,0.00551147347583128,0.0831868078853025,0.947212971692774
20,1,29283,-0.0734968059450622,0.186385926022563,0.693578528098578
21,1,29752,-0.341744597039096,0.193510235773178,0.0782553934940416
22,1,29787,0.810816320816951,0.524151849762962,0.122780696844481
23,1,30057,0.0961894309366933,0.170447011237721,0.5728836909015
24,1,30479,0.818288656728221,0.497753273783569,0.101073829985983
25,1,30706,-0.0139509272794163,0.0859085852327225,0.871089534007189
26,1,31435,-0.00256723261068331,0.0829668098524374,0.975332574679799
27,1,35128,0.0534437398181531,0.114317903684916,0.640429904718313
28,1,35129,0.0214748510657783,0.114640428539027,0.851514587500045
29,1,36146,-0.00863602750882597,0.0825378301067509,0.916727925804284
30,1,37255,0.0294538299670375,0.166592334487292,0.859765444311762
31,1,37409,0.011174438891132,0.0829832559791722,0.892958268494477
32,1,37478,-0.0049006859206121,0.0830563152957341,0.952982011782614
33,1,39144,-0.122987521331112,0.0824181718039426,0.13652993321587
34,1,41499,-0.0533994315826625,0.0823993840809232,0.517369893091376
35,1,45359,-0.366658768151671,0.137425458789736,0.00798098006398284
36,1,45634,-0.0997333009565766,0.127385248794316,0.434195130809915
37,1,51248,-0.0813179332150599,0.0826861270288111,0.326058018995995
38,1,51462,-0.0850722555834477,0.0827878699838214,0.304844810843874
39,1,52124,-0.0943610785604466,0.0826468654299178,0.254336769180467
40,1,52667,-0.169682901951687,0.0821718126738485,0.0396549445696666
