SNP,Chr,Pos,Effect,SE,MID2_TPO4_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.104233174492136,0.0589164225197987,0.0777288940602768
2,1,1035,0.041457750858657,0.0597837290383412,0.488475628037937
3,1,1074,0.0449735253114838,0.101070745131638,0.6566136116048
4,1,1470,-0.0102936432313516,0.100733524416228,0.91866637354361
5,1,1475,0.00446808044888147,0.0743527103523245,0.952115538716484
6,1,1491,0.0291752502706337,0.0650214061832193,0.653921784559159
7,1,21249,0.339512799082783,0.372954129631359,0.363267600342337
8,1,27243,0.023321422578982,0.0509232080045877,0.647254066019995
9,1,27272,-0.0307690424956056,0.0501466217239703,0.539887039569914
10,1,27498,-0.0539552197455118,0.45816335640441,0.906321511454487
11,1,27561,0.0217602190699084,0.34613375368632,0.949908389401722
12,1,27816,-0.00727255784999603,0.0511956707133309,0.887118267835808
13,1,27822,-0.0111018521023897,0.0511286500184774,0.828228083506144
14,1,27823,-0.0152738752978477,0.0521789422842793,0.769907356729248
15,1,27825,-0.0106445076806761,0.0511289255426803,0.835201038686423
16,1,27843,0.0254230634231672,0.0489675441701429,0.603959236608085
17,1,27848,0.0254230634231672,0.0489675441701429,0.603959236608085
18,1,28495,0.0417773814756228,0.0489365377642638,0.393847232021016
19,1,28975,0.0240067144279165,0.0486428002234059,0.621944574297128
20,1,29283,0.0615127639543829,0.108999401066496,0.572880895549944
21,1,29752,-0.177838062935985,0.11329607855069,0.117386558736188
22,1,29787,0.17222489240921,0.307498124611908,0.575777142548976
23,1,30057,0.117370209478765,0.0995503967737755,0.239191064662347
24,1,30479,-0.225326752084926,0.292021989313474,0.44086234356851
25,1,30706,0.0219384902613881,0.0502396620925899,0.662612801047846
26,1,31435,0.0092483184659371,0.0485281605232836,0.848967093190145
27,1,35128,-0.174452861695238,0.0662422035678586,0.00882116591305294
28,1,35129,-0.145145203485659,0.0666146294316306,0.0300015418449412
29,1,36146,-0.0038992268520735,0.0482799663788682,0.935676335356957
30,1,37255,0.0131730891623292,0.097448282927279,0.892546361554917
31,1,37409,0.0328444706290712,0.0485099696068907,0.498807276155819
32,1,37478,0.0202147784040403,0.0485712708139598,0.677525383656436
33,1,39144,-0.0189582446702066,0.0483509607087293,0.695223497501629
34,1,41499,0.0155984865752402,0.0482201979264955,0.746519898504401
35,1,45359,-0.212978770529334,0.0803968795862756,0.00843350132026489
36,1,45634,0.00273552338791561,0.0745772293247399,0.970760561962906
37,1,51248,0.0668112782230796,0.0483019020856676,0.167477192790963
38,1,51462,0.0508982938073411,0.0484225768440404,0.293919147876625
39,1,52124,0.022483302565975,0.0484178367158451,0.642676158817455
40,1,52667,-0.0296335540742368,0.0483292728468501,0.540165714282226
41,1,55470,0.0133623273911061,0.0496658524822956,0.788052573744916
42,1,59265,-0.00263799931941139,0.0483304047281715,0.956501876529214
43,1,60165,-0.0052652102732463,0.048293273717541,0.913244016714721
44,1,62308,-0.0348634527056001,0.0482052728068816,0.470018122599392
45,1,62869,-0.0317588094391624,0.0482052873964361,0.510438171141345
46,1,65431,0.04404598431615,0.0503219846632351,0.382015031369138
47,1,65451,0.0579743180674177,0.0495663110835893,0.24293842791435
48,1,65719,0.0288228322647271,0.0517658117549338,0.578021812396102
49,1,66841,0.0366105631553296,0.0482182908585639,0.448199487693004
50,1,66948,0.0184169441595982,0.0485439146938498,0.704628407502574
51,1,68621,0.00700926282772668,0.0484208399624928,0.884985226926453
52,1,69417,0.00162299596333645,0.0482940095457875,0.973209878094155
53,1,69820,-0.301380648455202,0.188294202116352,0.110363664292511
54,1,69821,-0.0983801071248678,0.117135452042791,0.401542303048249
55,1,70906,-0.0449399889061386,0.0775419274099961,0.562582887693134
56,1,74327,-0.0402970853839057,0.0485122148756535,0.406728012262639
