SNP,Chr,Pos,Effect,SE,RET2_SNA3_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.171582476881534,0.0930860673076919,0.0661281803402513
2,1,1035,0.0829721631617458,0.0944530325739838,0.380297683149616
3,1,1074,0.208944101731561,0.159405890418627,0.190788344193501
4,1,1470,0.00987044606600662,0.159217042080427,0.950602972037517
5,1,1475,0.124758060530201,0.117331904530065,0.288376441260469
6,1,1491,0.0929969365569958,0.102680417802439,0.365716119540325
7,1,21249,-0.239665911091581,0.590030678162331,0.684847445253549
8,1,27243,-0.0444351858282221,0.0804764369676329,0.58119396114781
9,1,27272,-0.012282800642341,0.079299391543125,0.876995389679334
10,1,27498,-1.5565631416271,0.719415066082677,0.0311615527197148
11,1,27561,0.544241165251572,0.54632142262351,0.319839117813574
12,1,27816,0.0588127734124149,0.0808596627275589,0.467497486745088
13,1,27822,0.0604431570928874,0.0807533286871007,0.454662327830152
14,1,27823,0.0512947564152437,0.0824368521979062,0.534191750083535
15,1,27825,0.0600788646854737,0.080754098790998,0.457387766323245
16,1,27843,0.0711820532251837,0.0773330212383243,0.357960339591841
17,1,27848,0.0711820532251837,0.0773330212383243,0.357960339591841
18,1,28495,0.10301390504892,0.0772326495027909,0.183125109661412
19,1,28975,0.0663230029434116,0.0768284152550326,0.388579916697641
20,1,29283,-0.0925663047473479,0.17228755108041,0.591414128594609
21,1,29752,-0.0483526099072797,0.179676874058067,0.788003256567632
22,1,29787,1.17180452629277,0.482219093398331,0.0155956617493649
23,1,30057,0.0549026951207257,0.157627957963517,0.727818339637406
24,1,30479,0.251831028617628,0.461753360148824,0.585836653767668
25,1,30706,0.033178066202627,0.0794086993292624,0.67633714299331
26,1,31435,0.0704464345372662,0.0766140042894958,0.358462965400519
27,1,35128,0.156193854684838,0.105396086123967,0.139240348980016
28,1,35129,0.0139037813120719,0.105991601229147,0.895709114777265
29,1,36146,0.0416034159210562,0.0762780385247644,0.585810517607416
30,1,37255,0.170021281604599,0.153760953144842,0.269587469255598
31,1,37409,0.0720972593587068,0.0766267465487739,0.347405180333649
32,1,37478,0.0625383437492413,0.0767165483264304,0.415514852084143
33,1,39144,0.021235955122627,0.0764299611254025,0.781291268510376
34,1,41499,0.00462782906962916,0.0762258972655308,0.951622907274222
35,1,45359,-0.174397658024229,0.12799298218416,0.173891009784688
36,1,45634,-0.00500168708181814,0.117873838848637,0.966177874347843
37,1,51248,-0.0974258027373906,0.0763749197574399,0.202926687567966
38,1,51462,-0.104612631864241,0.0764520650203606,0.172075072499655
39,1,52124,-0.095215721807475,0.076382815267078,0.213385615997187
40,1,52667,-0.114776856585914,0.0761835287995981,0.132811749882949
41,1,55470,-0.0457575595144692,0.0784702096006827,0.560184763063979
42,1,59265,0.00556565964388772,0.0763889362341574,0.941959188280455
43,1,60165,0.0109909130210791,0.0763295439019932,0.885588237088555
44,1,62308,0.0183526582509669,0.0762415799608762,0.809914065040781
45,1,62869,0.0154631589600146,0.0762338182032756,0.839378069059161
46,1,65431,-0.00849694245045229,0.0796219822607731,0.915074880317191
47,1,65451,0.0126982418578042,0.0784913649039134,0.871572574324613
48,1,65719,-0.0272918009231119,0.0818420917073366,0.738978269631336
49,1,66841,-0.00775232756991356,0.0762730750638648,0.919100841148179
50,1,66948,-0.021946896445561,0.0767334042595499,0.775034484751754
51,1,68621,-0.0652685945280423,0.0764555174785179,0.393860882627499
52,1,69417,-0.026113482294853,0.0763191307274582,0.73243284172622
53,1,69820,-0.345080136907825,0.298123367123847,0.247847541618716
54,1,69821,-0.192752326261608,0.185040523708379,0.298274675708868
55,1,70906,-0.122599882034828,0.122444346843283,0.317382023563649
56,1,74327,0.0204683628029425,0.0767437198882128,0.789847732465274
57,1,74572,0.0067099987538437,0.0765462820178436,0.930197119872709
58,1,75211,-0.000316988770538151,0.0764075747093537,0.996692204125174
59,1,76030,-0.0128171727290898,0.0764045311183547,0.866872804526294
60,1,80108,-0.06470750166109,0.076311833743815,0.397048545154592
61,1,81262,-0.0535916173430621,0.0763073385940539,0.482946974030609
62,1,81999,-0.108462876644894,0.0763291196379099,0.156202560968592
63,1,82431,-0.11715585622203,0.0766562717027833,0.127326888194874
64,1,83284,-0.0779390170813634,0.076237034205459,0.30732725302289
65,1,83613,-0.068581271559119,0.0762540811180286,0.369064247367063
66,1,84112,-0.0757164541776185,0.0762433789362716,0.321346863191518
67,1,84701,-0.0438492884262569,0.0817240708064371,0.591914450504071
